Ic,Noise_1Hz,Noise_1kHz
1e-08,2.125652868220188e-07,2.125632996171255e-07
1.0139254075588142e-08,2.111005714515468e-07,2.110985649161878e-07
1.0280447320933098e-08,2.0964594949343256e-07,2.0964392343957419e-07
1.0423606739764011e-08,2.0820135139895038e-07,2.0819930563672993e-07
1.056875971184805e-08,2.0676670809865166e-07,2.0676464243635962e-07
1.0715933998226712e-08,2.053419509990647e-07,2.0533986524312688e-07
1.0865157746525373e-08,2.0392701197941343e-07,2.039249059343727e-07
1.101645949633657e-08,2.0252182338836115e-07,2.025196968568592e-07
1.1169868184678226e-08,2.0112631804077658e-07,2.0112417082353538e-07
1.1325413151528126e-08,1.9974042921452034e-07,1.9973826111032366e-07
1.1483124145435111e-08,1.9836409064725644e-07,1.9836190145293064e-07
1.1643031329208755e-08,1.9699723653328258e-07,1.9699502604367796e-07
1.1805165285688055e-08,1.9563980152038474e-07,1.9563756952835598e-07
1.1969557023590428e-08,1.94291720706713e-07,1.9428946700310006e-07
1.2136237983442418e-08,1.929529296376774e-07,1.9295065401128564e-07
1.2305240043592616e-08,1.9162336430286732e-07,1.9162106654044796e-07
1.2476595526308684e-08,1.9030296113299026e-07,1.903006410192202e-07
1.2650337203959038e-08,1.8899165699683265e-07,1.8898931431429454e-07
1.2826498305280599e-08,1.8768938919824239e-07,1.8768702372740398e-07
1.3005112521734099e-08,1.8639609547312976e-07,1.8639370699232344e-07
1.3186214013947485e-08,1.8511171398649175e-07,1.851093022718939e-07
1.3369837418249452e-08,1.8383618332945488e-07,1.838337481550648e-07
1.355601785329369e-08,1.825694425163394e-07,1.8256698365395805e-07
1.3744790926775366e-08,1.8131143098174398e-07,1.8130894820095285e-07
1.3936192742241436e-08,1.8006208857764893e-07,1.800595816457881e-07
1.4130259905995337e-08,1.788213555705417e-07,1.788188242526884e-07
1.4327029534098295e-08,1.7758917263855996e-07,1.7758661669750632e-07
1.4526539259467813e-08,1.7636548086865558e-07,1.7636290006488657e-07
1.4728827239075018e-08,1.7515022175377876e-07,1.751476158454497e-07
1.4933932161242533e-08,1.7394333719007932e-07,1.73940705932993e-07
1.514189325304352e-08,1.7274476947413007e-07,1.7274211262171428e-07
1.535275028780421e-08,1.7155446130016704e-07,1.7155177860345114e-07
1.556654359271062e-08,1.7037235575734968e-07,1.7036964696494152e-07
1.5783314056521166e-08,1.6919839632704091e-07,1.6919566118510305e-07
1.6003103137387018e-08,1.6803252688010334e-07,1.6802976513232941e-07
1.622595287078087e-08,1.6687469167421727e-07,1.6687190306180797e-07
1.645190587753661e-08,1.657248353512143e-07,1.6572201961285306e-07
1.6681005372000592e-08,1.645829029344311e-07,1.6458005980625976e-07
1.691329517029647e-08,1.6344883982608171e-07,1.6344596904167557e-07
1.714881969870541e-08,1.6232259180464563e-07,1.6231969309498867e-07
1.7387624002162504e-08,1.61204105022277e-07,1.6120117811573668e-07
1.762975375287204e-08,1.600933260022289e-07,1.6009037062453065e-07
1.7875255259042354e-08,1.5899020163629714e-07,1.5898721751049862e-07
1.8124175473742358e-08,1.578946791822815e-07,1.5789166602874682e-07
1.8376562003881723e-08,1.5680670626146308e-07,1.5680366379783645e-07
1.86324631193156e-08,1.5572623085610124e-07,1.5572315879728066e-07
1.8891927762076642e-08,1.5465320130694565e-07,1.5465009936505602e-07
1.915500555573528e-08,1.5358756631076662e-07,1.5358443419513296e-07
1.9421746814890246e-08,1.5252927491790313e-07,1.5252611233502327e-07
1.9692202554791734e-08,1.514782765298255e-07,1.5147508318334254e-07
1.9966424501097933e-08,1.5043452089671767e-07,1.5043129648739233e-07
2.024446509976802e-08,1.493979581150736e-07,1.493947023407561e-07
2.0526377527092522e-08,1.4836853862531176e-07,1.483652511809136e-07
2.0812215699863372e-08,1.4734621320940646e-07,1.4734289378687175e-07
2.1102034285685966e-08,1.463309329885333e-07,1.4632758127680994e-07
2.1395888713434215e-08,1.4532264942073353e-07,1.453192651057442e-07
2.1693835183851822e-08,1.4432131429859247e-07,1.44317897063205e-07
2.1995930680300747e-08,1.4332687974693492e-07,1.4332342927093269e-07
2.2302232979659362e-08,1.4233929822053666e-07,1.423358141805887e-07
2.2612800663372796e-08,1.4135852250185059e-07,1.4135500457148106e-07
2.2927693128656486e-08,1.4038450569875014e-07,1.4038095354830807e-07
2.3246970599856504e-08,1.394172012422863e-07,1.3941361453891445e-07
2.357069413996728e-08,1.384565628844624e-07,1.3845294129206617e-07
2.3898925662310477e-08,1.3750254469602193e-07,1.374988878752379e-07
2.4231727942376005e-08,1.3655510106425302e-07,1.365514086724172e-07
2.45691646298279e-08,1.3561418669080839e-07,1.3561045838192406e-07
2.491130026067791e-08,1.3467975658953848e-07,1.3467599201424376e-07
2.5258200269627847e-08,1.3375176608434187e-07,1.3374796488987716e-07
2.560993100258457e-08,1.328301708070283e-07,1.3282633263720305e-07
2.5966559729348726e-08,1.31914926695198e-07,1.319110511903575e-07
2.63281546564802e-08,1.3100598999013537e-07,1.31002076787127e-07
2.6694784940343234e-08,1.3010331723471603e-07,1.3009936596685527e-07
2.7066520700332412e-08,1.2920686527133047e-07,1.292028755683665e-07
2.7443433032283627e-08,1.2831659123981922e-07,1.2831256272790032e-07
2.782559402207126e-08,1.274324525754247e-07,1.2742838487706335e-07
2.8213076759394707e-08,1.2655440700675655e-07,1.265502997407937e-07
2.8605955351757447e-08,1.2568241255376935e-07,1.2567826533533918e-07
2.9004304938639915e-08,1.248164275257571e-07,1.2481223996625073e-07
2.9408201705870607e-08,1.2395641051935908e-07,1.2395218222638824e-07
2.981772290019673e-08,1.2310232041658055e-07,1.230980509939408e-07
3.0232946844057763e-08,1.2225411638282753e-07,1.2224980543046117e-07
3.06539529505653e-08,1.2141175786495367e-07,1.2140740497891236e-07
3.108082173869064e-08,1.2057520458932238e-07,1.2057080936172923e-07
3.151363484866476e-08,1.1974441655988062e-07,1.1973997857889197e-07
3.1952475057592136e-08,1.1891935405624702e-07,1.1891487290601405e-07
3.239742629528195e-08,1.180999776318135e-07,1.180954528924431e-07
3.284857366030047e-08,1.1728624811185829e-07,1.1728167935937382e-07
3.330600343624589e-08,1.1647812659167418e-07,1.1647351339797578e-07
3.376980310825088e-08,1.1567557443470772e-07,1.1567091636753226e-07
3.424006137971426e-08,1.1487855327071235e-07,1.1487384989359289e-07
3.471686818926559e-08,1.1408702499391456e-07,1.1408227586613952e-07
3.520031472796683e-08,1.1330095176119099e-07,1.132961564377629e-07
3.56904934567523e-08,1.1252029599026054e-07,1.1251545402185438e-07
3.6187498124112765e-08,1.117450203578865e-07,1.1174013129080762e-07
3.669142378402494e-08,1.1097508779809284e-07,1.1097015117423448e-07
3.7202366814130656e-08,1.1021046150039237e-07,1.1020547685719278e-07
3.772042493417001e-08,1.0945110490802615e-07,1.0944607177842528e-07
3.8245697224669993e-08,1.0869698171621678e-07,1.0869189962861261e-07
3.877828414589453e-08,1.0794805587043192e-07,1.0794292434863626e-07
3.93182875570577e-08,1.0720429156466104e-07,1.0719911012785492e-07
3.9865810735804386e-08,1.0646565323970379e-07,1.0646042140239258e-07
4.04209583979631e-08,1.0573210558146957e-07,1.0572682285343738e-07
4.0983836717572616e-08,1.0500361351928987e-07,1.0499827940555375e-07
4.1554553347188797e-08,1.0428014222424093e-07,1.0427475622500456e-07
4.213321743847289e-08,1.0356165710747949e-07,1.0355621871808634e-07
4.2719939663067766e-08,1.028481238185885e-07,1.0284263252947461e-07
4.331483223376403e-08,1.021395082439353e-07,1.0213396354058165e-07
4.391800892596086e-08,1.0143577650504104e-07,1.0143017786792524e-07
4.45295850994266e-08,1.0073689495696042e-07,1.0073124186150827e-07
4.514967772036102e-08,1.0004283018667395e-07,1.0003712210321025e-07
4.5778405383766165e-08,9.935354901149008e-08,9.934778540518903e-08
4.641588833612782e-08,9.866901847745902e-08,9.866319880829424e-08
4.7062248498412815e-08,9.798920585779771e-08,9.79833295804917e-08
4.771760948938751e-08,9.731407865132469e-08,9.730814521529772e-08
4.8382096649259575e-08,9.664360458090705e-08,9.663761343022568e-08
4.905583706365045e-08,9.597775159191668e-08,9.597170216524178e-08
4.973895958790068e-08,9.531648785069836e-08,9.531037958123254e-08
5.043159487171359e-08,9.465978174304809e-08,9.465361405848267e-08
