temp (C),CMRR1 mcparamset 1  (dB),CMRR1 mcparamset 2  (dB),CMRR1 mcparamset 3  (dB),CMRR1 mcparamset 4  (dB),CMRR1 mcparamset 5  (dB),CMRR1 mcparamset 6  (dB),CMRR1 mcparamset 7  (dB),CMRR1 mcparamset 8  (dB),CMRR1 mcparamset 9  (dB),CMRR1 mcparamset 10  (dB),CMRR1 mcparamset 11  (dB),CMRR1 mcparamset 12  (dB),CMRR1 mcparamset 13  (dB),CMRR1 mcparamset 14  (dB),CMRR1 mcparamset 15  (dB),CMRR1 mcparamset 16  (dB),CMRR1 mcparamset 17  (dB),CMRR1 mcparamset 18  (dB),CMRR1 mcparamset 19  (dB),CMRR1 mcparamset 20  (dB),CMRR1 mcparamset 21  (dB),CMRR1 mcparamset 22  (dB),CMRR1 mcparamset 23  (dB),CMRR1 mcparamset 24  (dB),CMRR1 mcparamset 25  (dB),CMRR1 mcparamset 26  (dB),CMRR1 mcparamset 27  (dB),CMRR1 mcparamset 28  (dB),CMRR1 mcparamset 29  (dB),CMRR1 mcparamset 30  (dB),CMRR1 mcparamset 31  (dB),CMRR1 mcparamset 32  (dB),CMRR1 mcparamset 33  (dB),CMRR1 mcparamset 34  (dB),CMRR1 mcparamset 35  (dB),CMRR1 mcparamset 36  (dB),CMRR1 mcparamset 37  (dB),CMRR1 mcparamset 38  (dB),CMRR1 mcparamset 39  (dB),CMRR1 mcparamset 40  (dB),CMRR1 mcparamset 41  (dB),CMRR1 mcparamset 42  (dB),CMRR1 mcparamset 43  (dB),CMRR1 mcparamset 44  (dB),CMRR1 mcparamset 45  (dB),CMRR1 mcparamset 46  (dB),CMRR1 mcparamset 47  (dB),CMRR1 mcparamset 48  (dB),CMRR1 mcparamset 49  (dB),CMRR1 mcparamset 50  (dB),CMRR1 mcparamset 51  (dB),CMRR1 mcparamset 52  (dB),CMRR1 mcparamset 53  (dB),CMRR1 mcparamset 54  (dB),CMRR1 mcparamset 55  (dB),CMRR1 mcparamset 56  (dB),CMRR1 mcparamset 57  (dB),CMRR1 mcparamset 58  (dB),CMRR1 mcparamset 59  (dB),CMRR1 mcparamset 60  (dB),CMRR1 mcparamset 61  (dB),CMRR1 mcparamset 62  (dB),CMRR1 mcparamset 63  (dB),CMRR1 mcparamset 64  (dB),CMRR1 mcparamset 65  (dB),CMRR1 mcparamset 66  (dB),CMRR1 mcparamset 67  (dB),CMRR1 mcparamset 68  (dB),CMRR1 mcparamset 69  (dB),CMRR1 mcparamset 70  (dB),CMRR1 mcparamset 71  (dB),CMRR1 mcparamset 72  (dB),CMRR1 mcparamset 73  (dB),CMRR1 mcparamset 74  (dB),CMRR1 mcparamset 75  (dB),CMRR1 mcparamset 76  (dB),CMRR1 mcparamset 77  (dB),CMRR1 mcparamset 78  (dB),CMRR1 mcparamset 79  (dB),CMRR1 mcparamset 80  (dB),CMRR1 mcparamset 81  (dB),CMRR1 mcparamset 82  (dB),CMRR1 mcparamset 83  (dB),CMRR1 mcparamset 84  (dB),CMRR1 mcparamset 85  (dB),CMRR1 mcparamset 86  (dB),CMRR1 mcparamset 87  (dB),CMRR1 mcparamset 88  (dB),CMRR1 mcparamset 89  (dB),CMRR1 mcparamset 90  (dB),CMRR1 mcparamset 91  (dB),CMRR1 mcparamset 92  (dB),CMRR1 mcparamset 93  (dB),CMRR1 mcparamset 94  (dB),CMRR1 mcparamset 95  (dB),CMRR1 mcparamset 96  (dB),CMRR1 mcparamset 97  (dB),CMRR1 mcparamset 98  (dB),CMRR1 mcparamset 99  (dB),CMRR1 mcparamset 100  (dB),CMRR2 mcparamset 1  (dB),CMRR2 mcparamset 2  (dB),CMRR2 mcparamset 3  (dB),CMRR2 mcparamset 4  (dB),CMRR2 mcparamset 5  (dB),CMRR2 mcparamset 6  (dB),CMRR2 mcparamset 7  (dB),CMRR2 mcparamset 8  (dB),CMRR2 mcparamset 9  (dB),CMRR2 mcparamset 10  (dB),CMRR2 mcparamset 11  (dB),CMRR2 mcparamset 12  (dB),CMRR2 mcparamset 13  (dB),CMRR2 mcparamset 14  (dB),CMRR2 mcparamset 15  (dB),CMRR2 mcparamset 16  (dB),CMRR2 mcparamset 17  (dB),CMRR2 mcparamset 18  (dB),CMRR2 mcparamset 19  (dB),CMRR2 mcparamset 20  (dB),CMRR2 mcparamset 21  (dB),CMRR2 mcparamset 22  (dB),CMRR2 mcparamset 23  (dB),CMRR2 mcparamset 24  (dB),CMRR2 mcparamset 25  (dB),CMRR2 mcparamset 26  (dB),CMRR2 mcparamset 27  (dB),CMRR2 mcparamset 28  (dB),CMRR2 mcparamset 29  (dB),CMRR2 mcparamset 30  (dB),CMRR2 mcparamset 31  (dB),CMRR2 mcparamset 32  (dB),CMRR2 mcparamset 33  (dB),CMRR2 mcparamset 34  (dB),CMRR2 mcparamset 35  (dB),CMRR2 mcparamset 36  (dB),CMRR2 mcparamset 37  (dB),CMRR2 mcparamset 38  (dB),CMRR2 mcparamset 39  (dB),CMRR2 mcparamset 40  (dB),CMRR2 mcparamset 41  (dB),CMRR2 mcparamset 42  (dB),CMRR2 mcparamset 43  (dB),CMRR2 mcparamset 44  (dB),CMRR2 mcparamset 45  (dB),CMRR2 mcparamset 46  (dB),CMRR2 mcparamset 47  (dB),CMRR2 mcparamset 48  (dB),CMRR2 mcparamset 49  (dB),CMRR2 mcparamset 50  (dB),CMRR2 mcparamset 51  (dB),CMRR2 mcparamset 52  (dB),CMRR2 mcparamset 53  (dB),CMRR2 mcparamset 54  (dB),CMRR2 mcparamset 55  (dB),CMRR2 mcparamset 56  (dB),CMRR2 mcparamset 57  (dB),CMRR2 mcparamset 58  (dB),CMRR2 mcparamset 59  (dB),CMRR2 mcparamset 60  (dB),CMRR2 mcparamset 61  (dB),CMRR2 mcparamset 62  (dB),CMRR2 mcparamset 63  (dB),CMRR2 mcparamset 64  (dB),CMRR2 mcparamset 65  (dB),CMRR2 mcparamset 66  (dB),CMRR2 mcparamset 67  (dB),CMRR2 mcparamset 68  (dB),CMRR2 mcparamset 69  (dB),CMRR2 mcparamset 70  (dB),CMRR2 mcparamset 71  (dB),CMRR2 mcparamset 72  (dB),CMRR2 mcparamset 73  (dB),CMRR2 mcparamset 74  (dB),CMRR2 mcparamset 75  (dB),CMRR2 mcparamset 76  (dB),CMRR2 mcparamset 77  (dB),CMRR2 mcparamset 78  (dB),CMRR2 mcparamset 79  (dB),CMRR2 mcparamset 80  (dB),CMRR2 mcparamset 81  (dB),CMRR2 mcparamset 82  (dB),CMRR2 mcparamset 83  (dB),CMRR2 mcparamset 84  (dB),CMRR2 mcparamset 85  (dB),CMRR2 mcparamset 86  (dB),CMRR2 mcparamset 87  (dB),CMRR2 mcparamset 88  (dB),CMRR2 mcparamset 89  (dB),CMRR2 mcparamset 90  (dB),CMRR2 mcparamset 91  (dB),CMRR2 mcparamset 92  (dB),CMRR2 mcparamset 93  (dB),CMRR2 mcparamset 94  (dB),CMRR2 mcparamset 95  (dB),CMRR2 mcparamset 96  (dB),CMRR2 mcparamset 97  (dB),CMRR2 mcparamset 98  (dB),CMRR2 mcparamset 99  (dB),CMRR2 mcparamset 100  (dB)
-55.0000,127.305,123.626,119.881,138.793,123.693,127.710,133.905,120.684,151.900,137.191,129.139,133.613,135.861,124.424,124.640,133.323,120.247,128.655,153.395,129.851,163.274,125.233,127.990,133.940,123.582,132.070,152.362,118.778,141.853,114.403,131.114,117.150,118.261,125.496,136.225,117.305,140.162,128.641,134.784,159.068,145.665,120.128,130.773,127.400,150.115,139.111,123.147,129.841,137.768,118.727,131.649,121.287,117.993,121.730,124.655,118.393,127.956,133.582,133.380,118.114,119.841,145.937,132.081,131.493,122.216,121.348,148.293,141.170,160.088,117.086,123.534,120.323,132.231,148.030,144.680,120.995,130.750,127.705,118.436,121.924,124.769,132.982,155.573,118.518,120.043,132.143,119.169,131.835,123.259,121.998,128.026,116.858,134.713,145.110,119.936,137.400,129.950,119.039,147.047,139.974,127.188,118.541,126.120,125.434,117.928,122.830,121.900,126.220,123.288,119.009,134.201,129.858,122.668,129.405,123.742,129.964,129.314,121.501,123.690,117.550,120.930,115.570,130.125,124.349,135.267,118.834,122.791,121.877,143.226,119.103,117.083,115.109,122.722,125.991,116.993,117.420,118.987,129.501,130.603,143.532,131.400,129.787,139.978,152.166,139.242,130.476,123.306,123.316,119.632,147.454,127.219,121.155,117.420,137.674,121.817,123.994,134.666,139.185,123.062,148.002,127.664,127.568,132.126,123.722,121.717,125.248,154.473,121.738,125.982,139.934,114.864,134.775,122.239,120.407,131.821,126.613,120.276,126.219,123.087,125.317,120.625,132.989,141.847,126.101,126.278,130.206,126.286,127.823,120.267,121.158,125.588,118.932,125.635,125.508,125.039,125.921,120.507,123.236,119.027,134.230
-53.0000,127.223,123.546,119.801,138.718,123.614,127.633,133.830,120.603,151.844,137.116,129.062,133.531,135.777,124.347,124.562,133.241,120.170,128.573,153.233,129.770,163.194,125.159,127.912,133.861,123.504,131.997,152.308,118.700,141.763,114.323,131.039,117.071,118.181,125.421,136.148,117.226,140.059,128.564,134.705,158.956,145.580,120.054,130.691,127.326,150.027,139.037,123.071,129.764,137.701,118.651,131.565,121.210,117.915,121.652,124.577,118.316,127.878,133.504,133.304,118.035,119.765,145.849,132.003,131.414,122.140,121.270,148.175,141.106,159.899,117.008,123.456,120.245,132.158,147.980,144.602,120.918,130.674,127.624,118.357,121.846,124.689,132.901,155.569,118.440,119.966,132.063,119.089,131.760,123.182,121.920,127.951,116.779,134.639,145.041,119.859,137.331,129.867,118.964,146.977,139.888,127.105,118.461,126.042,125.354,117.854,122.750,121.821,126.143,123.211,118.931,134.122,129.780,122.594,129.326,123.665,129.886,129.237,121.421,123.611,117.475,120.852,115.492,130.047,124.271,135.185,118.758,122.715,121.798,143.151,119.025,117.007,115.033,122.644,125.912,116.916,117.345,118.910,129.427,130.527,143.439,131.325,129.708,139.901,152.063,139.165,130.396,123.226,123.237,119.554,147.375,127.140,121.078,117.339,137.599,121.738,123.918,134.590,139.118,122.984,147.896,127.587,127.490,132.050,123.644,121.639,125.173,154.452,121.659,125.908,139.863,114.784,134.699,122.163,120.328,131.740,126.533,120.199,126.139,123.010,125.238,120.545,132.906,141.762,126.024,126.200,130.129,126.209,127.745,120.188,121.081,125.509,118.856,125.557,125.432,124.964,125.844,120.427,123.161,118.948,134.154
-51.0000,127.141,123.467,119.723,138.644,123.536,127.557,133.755,120.524,151.789,137.041,128.985,133.450,135.694,124.272,124.486,133.160,120.094,128.491,153.072,129.689,163.115,125.086,127.834,133.783,123.427,131.926,152.256,118.623,141.673,114.245,130.964,116.993,118.102,125.346,136.072,117.147,139.957,128.488,134.626,158.844,145.497,119.980,130.610,127.252,149.940,138.963,122.995,129.687,137.634,118.574,131.481,121.134,117.838,121.574,124.500,118.239,127.799,133.427,133.228,117.958,119.691,145.762,131.927,131.335,122.065,121.193,148.058,141.043,159.710,116.931,123.378,120.167,132.085,147.932,144.525,120.842,130.598,127.544,118.278,121.769,124.610,132.820,155.568,118.363,119.889,131.984,119.011,131.686,123.105,121.843,127.876,116.702,134.565,144.972,119.783,137.262,129.785,118.890,146.908,139.803,127.023,118.381,125.966,125.276,117.780,122.671,121.743,126.067,123.135,118.853,134.043,129.704,122.520,129.247,123.588,129.808,129.161,121.342,123.532,117.400,120.775,115.414,129.969,124.193,135.103,118.683,122.640,121.720,143.077,118.948,116.931,114.958,122.567,125.835,116.839,117.270,118.833,129.354,130.452,143.347,131.251,129.629,139.825,151.959,139.088,130.315,123.148,123.158,119.476,147.297,127.062,121.001,117.260,137.524,121.660,123.844,134.514,139.051,122.907,147.791,127.511,127.412,131.974,123.566,121.562,125.098,154.433,121.580,125.834,139.793,114.705,134.623,122.088,120.249,131.660,126.453,120.123,126.060,122.933,125.159,120.467,132.825,141.677,125.947,126.122,130.052,126.132,127.669,120.110,121.005,125.430,118.781,125.480,125.356,124.889,125.768,120.347,123.086,118.869,134.079
-49.0000,127.060,123.389,119.645,138.571,123.458,127.481,133.681,120.445,151.736,136.967,128.909,133.370,135.611,124.197,124.410,133.079,120.019,128.411,152.911,129.609,163.037,125.013,127.758,133.705,123.351,131.855,152.204,118.547,141.584,114.167,130.891,116.916,118.023,125.273,135.996,117.070,139.856,128.413,134.548,158.734,145.414,119.908,130.530,127.179,149.854,138.890,122.921,129.612,137.569,118.499,131.398,121.059,117.762,121.497,124.423,118.163,127.722,133.351,133.153,117.881,119.617,145.676,131.852,131.257,121.990,121.116,147.941,140.980,159.523,116.854,123.301,120.090,132.014,147.885,144.450,120.767,130.523,127.465,118.200,121.693,124.531,132.740,155.569,118.287,119.814,131.906,118.933,131.613,123.029,121.766,127.801,116.625,134.492,144.904,119.708,137.194,129.704,118.816,146.840,139.719,126.943,118.303,125.890,125.198,117.707,122.593,121.666,125.991,123.060,118.776,133.966,129.628,122.447,129.169,123.512,129.731,129.086,121.264,123.453,117.325,120.699,115.336,129.893,124.116,135.023,118.608,122.565,121.642,143.004,118.872,116.857,114.883,122.490,125.758,116.764,117.197,118.758,129.282,130.377,143.255,131.177,129.551,139.749,151.856,139.013,130.236,123.070,123.079,119.398,147.219,126.985,120.925,117.181,137.450,121.583,123.770,134.439,138.986,122.831,147.686,127.435,127.335,131.900,123.488,121.485,125.023,154.417,121.502,125.761,139.723,114.627,134.548,122.013,120.171,131.580,126.375,120.047,125.981,122.858,125.081,120.389,132.744,141.594,125.872,126.046,129.976,126.056,127.593,120.033,120.930,125.353,118.706,125.403,125.281,124.815,125.692,120.269,123.012,118.791,134.005
-47.0000,126.980,123.312,119.567,138.498,123.382,127.406,133.608,120.367,151.684,136.894,128.834,133.291,135.529,124.123,124.335,132.999,119.944,128.331,152.750,129.530,162.960,124.941,127.682,133.628,123.275,131.785,152.154,118.472,141.495,114.090,130.818,116.840,117.945,125.200,135.922,116.993,139.755,128.338,134.471,158.625,145.332,119.836,130.450,127.106,149.769,138.818,122.847,129.537,137.505,118.425,131.316,120.985,117.686,121.421,124.347,118.088,127.646,133.276,133.079,117.805,119.544,145.590,131.777,131.180,121.917,121.040,147.825,140.919,159.335,116.779,123.225,120.014,131.943,147.839,144.375,120.693,130.449,127.387,118.123,121.617,124.453,132.661,155.573,118.212,119.739,131.828,118.856,131.540,122.954,121.690,127.728,116.548,134.420,144.837,119.634,137.127,129.623,118.744,146.772,139.636,126.862,118.225,125.815,125.120,117.634,122.516,121.589,125.916,122.986,118.700,133.889,129.553,122.374,129.092,123.436,129.656,129.012,121.187,123.376,117.252,120.624,115.260,129.817,124.040,134.943,118.534,122.491,121.565,142.932,118.796,116.783,114.810,122.414,125.682,116.688,117.124,118.683,129.210,130.304,143.164,131.104,129.474,139.673,151.753,138.938,130.157,122.993,123.002,119.322,147.142,126.908,120.849,117.103,137.377,121.507,123.698,134.365,138.922,122.755,147.581,127.361,127.258,131.826,123.412,121.409,124.950,154.403,121.425,125.690,139.654,114.549,134.474,121.939,120.094,131.501,126.297,119.973,125.903,122.783,125.004,120.312,132.663,141.511,125.797,125.969,129.900,125.980,127.519,119.957,120.856,125.276,118.633,125.328,125.207,124.741,125.617,120.191,122.939,118.713,133.932
-45.0000,126.901,123.235,119.491,138.426,123.306,127.332,133.536,120.289,151.633,136.822,128.759,133.213,135.448,124.050,124.260,132.920,119.871,128.252,152.590,129.451,162.885,124.870,127.607,133.552,123.200,131.716,152.105,118.397,141.406,114.013,130.746,116.765,117.868,125.127,135.848,116.917,139.655,128.264,134.394,158.518,145.250,119.765,130.371,127.035,149.685,138.747,122.773,129.463,137.442,118.351,131.235,120.911,117.611,121.346,124.272,118.014,127.570,133.201,133.005,117.730,119.472,145.505,131.703,131.104,121.844,120.964,147.709,140.859,159.149,116.704,123.149,119.939,131.873,147.794,144.301,120.619,130.376,127.310,118.047,121.542,124.376,132.582,155.581,118.138,119.665,131.751,118.779,131.469,122.880,121.616,127.655,116.473,134.349,144.771,119.560,137.061,129.544,118.672,146.706,139.553,126.783,118.148,125.741,125.044,117.563,122.439,121.513,125.842,122.912,118.624,133.813,129.479,122.303,129.016,123.362,129.580,128.939,121.111,123.299,117.179,120.549,115.184,129.741,123.965,134.864,118.461,122.418,121.489,142.861,118.722,116.709,114.737,122.340,125.607,116.614,117.052,118.609,129.139,130.231,143.073,131.032,129.398,139.599,151.651,138.863,130.080,122.916,122.925,119.246,147.066,126.833,120.775,117.026,137.305,121.431,123.626,134.292,138.858,122.680,147.476,127.287,127.183,131.753,123.336,121.334,124.877,154.392,121.349,125.618,139.587,114.472,134.401,121.866,120.018,131.423,126.220,119.899,125.826,122.709,124.927,120.235,132.584,141.429,125.722,125.894,129.826,125.906,127.445,119.881,120.782,125.200,118.560,125.253,125.133,124.669,125.543,120.114,122.867,118.637,133.859
-43.0000,126.823,123.159,119.415,138.356,123.231,127.259,133.465,120.213,151.583,136.750,128.686,133.135,135.368,123.978,124.187,132.842,119.798,128.173,152.430,129.374,162.810,124.799,127.533,133.476,123.126,131.647,152.058,118.324,141.318,113.938,130.675,116.691,117.792,125.056,135.775,116.841,139.555,128.191,134.318,158.412,145.170,119.695,130.293,126.964,149.602,138.677,122.701,129.391,137.380,118.278,131.154,120.838,117.537,121.272,124.198,117.941,127.495,133.127,132.933,117.656,119.401,145.421,131.630,131.028,121.772,120.890,147.594,140.799,158.962,116.630,123.074,119.864,131.803,147.750,144.228,120.547,130.303,127.233,117.971,121.468,124.300,132.504,155.591,118.064,119.592,131.675,118.704,131.398,122.807,121.542,127.584,116.399,134.279,144.706,119.487,136.995,129.465,118.601,146.640,139.472,126.705,118.072,125.667,124.968,117.492,122.363,121.438,125.769,122.840,118.550,133.738,129.406,122.232,128.940,123.288,129.506,128.866,121.035,123.223,117.108,120.475,115.110,129.667,123.890,134.786,118.388,122.346,121.413,142.790,118.648,116.637,114.665,122.265,125.533,116.541,116.981,118.536,129.070,130.160,142.983,130.961,129.323,139.525,151.549,138.790,130.002,122.841,122.849,119.171,146.991,126.758,120.701,116.949,137.234,121.357,123.555,134.219,138.796,122.607,147.372,127.214,127.108,131.680,123.261,121.259,124.806,154.383,121.274,125.548,139.520,114.396,134.328,121.794,119.943,131.346,126.144,119.826,125.750,122.635,124.852,120.160,132.505,141.347,125.649,125.819,129.752,125.832,127.371,119.807,120.709,125.124,118.488,125.179,125.061,124.597,125.470,120.038,122.796,118.561,133.788
-41.0000,126.745,123.084,119.341,138.286,123.156,127.187,133.395,120.137,151.535,136.680,128.613,133.058,135.288,123.906,124.114,132.764,119.726,128.096,152.271,129.297,162.737,124.729,127.459,133.402,123.053,131.580,152.012,118.251,141.231,113.863,130.604,116.617,117.716,124.985,135.702,116.767,139.456,128.119,134.242,158.307,145.090,119.625,130.216,126.894,149.521,138.607,122.630,129.318,137.318,118.205,131.073,120.765,117.463,121.198,124.125,117.868,127.421,133.054,132.861,117.582,119.330,145.338,131.557,130.953,121.701,120.816,147.479,140.741,158.777,116.557,123.000,119.790,131.735,147.708,144.156,120.475,130.232,127.157,117.896,121.395,124.225,132.427,155.604,117.991,119.519,131.600,118.629,131.328,122.734,121.468,127.513,116.325,134.210,144.642,119.414,136.931,129.387,118.530,146.575,139.391,126.627,117.997,125.594,124.894,117.422,122.288,121.364,125.697,122.768,118.476,133.664,129.334,122.162,128.866,123.214,129.432,128.794,120.961,123.148,117.036,120.402,115.036,129.593,123.817,134.708,118.317,122.274,121.339,142.721,118.575,116.565,114.594,122.192,125.460,116.468,116.911,118.464,129.000,130.089,142.893,130.891,129.249,139.452,151.447,138.717,129.926,122.766,122.774,119.097,146.916,126.683,120.628,116.874,137.163,121.283,123.484,134.148,138.735,122.533,147.268,127.142,127.034,131.609,123.187,121.186,124.734,154.377,121.199,125.479,139.454,114.320,134.256,121.722,119.869,131.269,126.069,119.753,125.675,122.562,124.777,120.085,132.427,141.267,125.576,125.745,129.679,125.759,127.299,119.732,120.637,125.050,118.416,125.106,124.989,124.526,125.397,119.963,122.725,118.486,133.717
-39.0000,126.668,123.010,119.266,138.216,123.083,127.115,133.326,120.062,151.488,136.610,128.541,132.982,135.209,123.836,124.042,132.687,119.654,128.019,152.112,129.221,162.665,124.661,127.387,133.328,122.980,131.514,151.967,118.178,141.144,113.789,130.535,116.544,117.642,124.915,135.631,116.693,139.357,128.048,134.168,158.203,145.011,119.556,130.139,126.825,149.440,138.539,122.559,129.247,137.258,118.134,130.994,120.694,117.391,121.125,124.052,117.796,127.348,132.981,132.789,117.510,119.260,145.256,131.486,130.879,121.630,120.743,147.365,140.683,158.592,116.484,122.927,119.717,131.667,147.667,144.086,120.404,130.161,127.082,117.822,121.322,124.150,132.350,155.621,117.919,119.447,131.525,118.555,131.258,122.663,121.396,127.442,116.252,134.141,144.578,119.343,136.867,129.309,118.460,146.511,139.311,126.550,117.923,125.522,124.819,117.352,122.214,121.291,125.625,122.697,118.402,133.591,129.262,122.093,128.792,123.142,129.359,128.724,120.887,123.074,116.966,120.329,114.962,129.520,123.744,134.631,118.246,122.203,121.265,142.652,118.502,116.494,114.524,122.119,125.387,116.396,116.841,118.392,128.932,130.019,142.804,130.821,129.175,139.380,151.346,138.645,129.851,122.692,122.700,119.023,146.843,126.610,120.555,116.799,137.093,121.210,123.415,134.077,138.675,122.461,147.164,127.070,126.961,131.538,123.114,121.112,124.664,154.373,121.125,125.410,139.389,114.246,134.185,121.652,119.795,131.193,125.994,119.682,125.600,122.491,124.703,120.011,132.349,141.187,125.504,125.672,129.606,125.687,127.227,119.659,120.565,124.976,118.346,125.034,124.918,124.456,125.326,119.888,122.655,118.412,133.646
-37.0000,126.592,122.937,119.193,138.148,123.010,127.044,133.257,119.988,151.443,136.541,128.469,132.906,135.131,123.766,123.971,132.611,119.584,127.942,151.954,129.145,162.594,124.592,127.315,133.254,122.909,131.448,151.924,118.107,141.057,113.715,130.466,116.472,117.568,124.846,135.560,116.620,139.259,127.977,134.094,158.101,144.933,119.488,130.063,126.756,149.360,138.471,122.489,129.177,137.199,118.063,130.915,120.623,117.319,121.053,123.980,117.725,127.275,132.909,132.719,117.438,119.191,145.174,131.415,130.805,121.560,120.670,147.252,140.626,158.408,116.413,122.854,119.644,131.600,147.627,144.016,120.333,130.091,127.007,117.749,121.251,124.076,132.274,155.640,117.848,119.376,131.451,118.482,131.190,122.592,121.324,127.373,116.180,134.074,144.515,119.272,136.805,129.233,118.391,146.448,139.232,126.474,117.849,125.451,124.746,117.284,122.140,121.218,125.554,122.626,118.330,133.518,129.191,122.025,128.718,123.070,129.287,128.654,120.814,123.000,116.896,120.258,114.890,129.448,123.671,134.555,118.176,122.133,121.192,142.584,118.431,116.424,114.454,122.048,125.315,116.325,116.772,118.321,128.864,129.950,142.716,130.752,129.102,139.308,151.245,138.574,129.776,122.618,122.626,118.950,146.770,126.537,120.484,116.725,137.024,121.137,123.346,134.007,138.616,122.389,147.061,127.000,126.889,131.468,123.041,121.040,124.594,154.372,121.052,125.342,139.324,114.172,134.115,121.582,119.722,131.117,125.921,119.611,125.526,122.419,124.629,119.937,132.273,141.108,125.433,125.599,129.534,125.615,127.156,119.586,120.495,124.903,118.276,124.963,124.848,124.386,125.255,119.814,122.587,118.339,133.577
