freq (Hz),CMRR1 mcparamset 1  (dB),CMRR1 mcparamset 2  (dB),CMRR1 mcparamset 3  (dB),CMRR1 mcparamset 4  (dB),CMRR1 mcparamset 5  (dB),CMRR1 mcparamset 6  (dB),CMRR1 mcparamset 7  (dB),CMRR1 mcparamset 8  (dB),CMRR1 mcparamset 9  (dB),CMRR1 mcparamset 10  (dB),CMRR1 mcparamset 11  (dB),CMRR1 mcparamset 12  (dB),CMRR1 mcparamset 13  (dB),CMRR1 mcparamset 14  (dB),CMRR1 mcparamset 15  (dB),CMRR1 mcparamset 16  (dB),CMRR1 mcparamset 17  (dB),CMRR1 mcparamset 18  (dB),CMRR1 mcparamset 19  (dB),CMRR1 mcparamset 20  (dB),CMRR1 mcparamset 21  (dB),CMRR1 mcparamset 22  (dB),CMRR1 mcparamset 23  (dB),CMRR1 mcparamset 24  (dB),CMRR1 mcparamset 25  (dB),CMRR1 mcparamset 26  (dB),CMRR1 mcparamset 27  (dB),CMRR1 mcparamset 28  (dB),CMRR1 mcparamset 29  (dB),CMRR1 mcparamset 30  (dB),CMRR1 mcparamset 31  (dB),CMRR1 mcparamset 32  (dB),CMRR1 mcparamset 33  (dB),CMRR1 mcparamset 34  (dB),CMRR1 mcparamset 35  (dB),CMRR1 mcparamset 36  (dB),CMRR1 mcparamset 37  (dB),CMRR1 mcparamset 38  (dB),CMRR1 mcparamset 39  (dB),CMRR1 mcparamset 40  (dB),CMRR1 mcparamset 41  (dB),CMRR1 mcparamset 42  (dB),CMRR1 mcparamset 43  (dB),CMRR1 mcparamset 44  (dB),CMRR1 mcparamset 45  (dB),CMRR1 mcparamset 46  (dB),CMRR1 mcparamset 47  (dB),CMRR1 mcparamset 48  (dB),CMRR1 mcparamset 49  (dB),CMRR1 mcparamset 50  (dB),CMRR1 mcparamset 51  (dB),CMRR1 mcparamset 52  (dB),CMRR1 mcparamset 53  (dB),CMRR1 mcparamset 54  (dB),CMRR1 mcparamset 55  (dB),CMRR1 mcparamset 56  (dB),CMRR1 mcparamset 57  (dB),CMRR1 mcparamset 58  (dB),CMRR1 mcparamset 59  (dB),CMRR1 mcparamset 60  (dB),CMRR1 mcparamset 61  (dB),CMRR1 mcparamset 62  (dB),CMRR1 mcparamset 63  (dB),CMRR1 mcparamset 64  (dB),CMRR1 mcparamset 65  (dB),CMRR1 mcparamset 66  (dB),CMRR1 mcparamset 67  (dB),CMRR1 mcparamset 68  (dB),CMRR1 mcparamset 69  (dB),CMRR1 mcparamset 70  (dB),CMRR1 mcparamset 71  (dB),CMRR1 mcparamset 72  (dB),CMRR1 mcparamset 73  (dB),CMRR1 mcparamset 74  (dB),CMRR1 mcparamset 75  (dB),CMRR1 mcparamset 76  (dB),CMRR1 mcparamset 77  (dB),CMRR1 mcparamset 78  (dB),CMRR1 mcparamset 79  (dB),CMRR1 mcparamset 80  (dB),CMRR1 mcparamset 81  (dB),CMRR1 mcparamset 82  (dB),CMRR1 mcparamset 83  (dB),CMRR1 mcparamset 84  (dB),CMRR1 mcparamset 85  (dB),CMRR1 mcparamset 86  (dB),CMRR1 mcparamset 87  (dB),CMRR1 mcparamset 88  (dB),CMRR1 mcparamset 89  (dB),CMRR1 mcparamset 90  (dB),CMRR1 mcparamset 91  (dB),CMRR1 mcparamset 92  (dB),CMRR1 mcparamset 93  (dB),CMRR1 mcparamset 94  (dB),CMRR1 mcparamset 95  (dB),CMRR1 mcparamset 96  (dB),CMRR1 mcparamset 97  (dB),CMRR1 mcparamset 98  (dB),CMRR1 mcparamset 99  (dB),CMRR1 mcparamset 100  (dB),CMRR2 mcparamset 1  (dB),CMRR2 mcparamset 2  (dB),CMRR2 mcparamset 3  (dB),CMRR2 mcparamset 4  (dB),CMRR2 mcparamset 5  (dB),CMRR2 mcparamset 6  (dB),CMRR2 mcparamset 7  (dB),CMRR2 mcparamset 8  (dB),CMRR2 mcparamset 9  (dB),CMRR2 mcparamset 10  (dB),CMRR2 mcparamset 11  (dB),CMRR2 mcparamset 12  (dB),CMRR2 mcparamset 13  (dB),CMRR2 mcparamset 14  (dB),CMRR2 mcparamset 15  (dB),CMRR2 mcparamset 16  (dB),CMRR2 mcparamset 17  (dB),CMRR2 mcparamset 18  (dB),CMRR2 mcparamset 19  (dB),CMRR2 mcparamset 20  (dB),CMRR2 mcparamset 21  (dB),CMRR2 mcparamset 22  (dB),CMRR2 mcparamset 23  (dB),CMRR2 mcparamset 24  (dB),CMRR2 mcparamset 25  (dB),CMRR2 mcparamset 26  (dB),CMRR2 mcparamset 27  (dB),CMRR2 mcparamset 28  (dB),CMRR2 mcparamset 29  (dB),CMRR2 mcparamset 30  (dB),CMRR2 mcparamset 31  (dB),CMRR2 mcparamset 32  (dB),CMRR2 mcparamset 33  (dB),CMRR2 mcparamset 34  (dB),CMRR2 mcparamset 35  (dB),CMRR2 mcparamset 36  (dB),CMRR2 mcparamset 37  (dB),CMRR2 mcparamset 38  (dB),CMRR2 mcparamset 39  (dB),CMRR2 mcparamset 40  (dB),CMRR2 mcparamset 41  (dB),CMRR2 mcparamset 42  (dB),CMRR2 mcparamset 43  (dB),CMRR2 mcparamset 44  (dB),CMRR2 mcparamset 45  (dB),CMRR2 mcparamset 46  (dB),CMRR2 mcparamset 47  (dB),CMRR2 mcparamset 48  (dB),CMRR2 mcparamset 49  (dB),CMRR2 mcparamset 50  (dB),CMRR2 mcparamset 51  (dB),CMRR2 mcparamset 52  (dB),CMRR2 mcparamset 53  (dB),CMRR2 mcparamset 54  (dB),CMRR2 mcparamset 55  (dB),CMRR2 mcparamset 56  (dB),CMRR2 mcparamset 57  (dB),CMRR2 mcparamset 58  (dB),CMRR2 mcparamset 59  (dB),CMRR2 mcparamset 60  (dB),CMRR2 mcparamset 61  (dB),CMRR2 mcparamset 62  (dB),CMRR2 mcparamset 63  (dB),CMRR2 mcparamset 64  (dB),CMRR2 mcparamset 65  (dB),CMRR2 mcparamset 66  (dB),CMRR2 mcparamset 67  (dB),CMRR2 mcparamset 68  (dB),CMRR2 mcparamset 69  (dB),CMRR2 mcparamset 70  (dB),CMRR2 mcparamset 71  (dB),CMRR2 mcparamset 72  (dB),CMRR2 mcparamset 73  (dB),CMRR2 mcparamset 74  (dB),CMRR2 mcparamset 75  (dB),CMRR2 mcparamset 76  (dB),CMRR2 mcparamset 77  (dB),CMRR2 mcparamset 78  (dB),CMRR2 mcparamset 79  (dB),CMRR2 mcparamset 80  (dB),CMRR2 mcparamset 81  (dB),CMRR2 mcparamset 82  (dB),CMRR2 mcparamset 83  (dB),CMRR2 mcparamset 84  (dB),CMRR2 mcparamset 85  (dB),CMRR2 mcparamset 86  (dB),CMRR2 mcparamset 87  (dB),CMRR2 mcparamset 88  (dB),CMRR2 mcparamset 89  (dB),CMRR2 mcparamset 90  (dB),CMRR2 mcparamset 91  (dB),CMRR2 mcparamset 92  (dB),CMRR2 mcparamset 93  (dB),CMRR2 mcparamset 94  (dB),CMRR2 mcparamset 95  (dB),CMRR2 mcparamset 96  (dB),CMRR2 mcparamset 97  (dB),CMRR2 mcparamset 98  (dB),CMRR2 mcparamset 99  (dB),CMRR2 mcparamset 100  (dB)
1.00000,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
1.25893,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
1.58489,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
1.99526,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
2.51189,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
3.16228,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
3.98107,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
5.01187,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
6.30957,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
7.94328,124.500,120.955,117.184,136.360,121.024,125.129,131.488,117.971,150.709,134.717,126.535,130.858,132.979,121.895,122.062,130.515,117.694,125.826,147.173,127.076,160.880,122.778,125.372,131.247,120.963,129.769,151.236,116.172,138.471,111.726,128.629,114.541,115.572,122.983,133.654,114.635,136.347,126.080,132.020,155.527,142.816,117.665,127.953,124.944,147.325,136.688,120.621,127.322,135.787,116.154,128.685,118.694,115.371,119.090,122.053,115.806,125.300,130.895,130.789,115.502,117.328,142.926,129.510,128.776,119.715,118.703,143.866,139.268,152.897,114.483,120.879,117.654,129.825,146.964,142.271,118.450,128.243,124.978,115.763,119.307,122.057,130.150,158.644,115.936,117.458,129.416,116.500,129.346,120.699,119.404,125.517,114.265,132.310,142.875,117.351,135.194,127.136,116.528,144.795,137.110,124.385,115.872,123.516,122.742,115.441,120.138,119.263,123.633,120.739,116.348,131.561,127.318,120.204,126.728,121.121,127.318,126.819,118.840,120.993,115.013,118.314,112.940,127.487,121.712,132.457,116.296,120.254,119.216,140.789,116.503,114.529,112.607,120.117,123.374,114.405,114.916,116.410,127.072,128.143,140.121,128.923,127.157,137.341,148.148,136.648,127.735,120.617,120.625,116.966,144.805,124.570,118.542,114.758,135.170,119.195,121.518,132.119,137.223,120.460,143.893,125.111,124.948,129.575,121.078,119.072,122.714,156.007,119.072,123.528,137.679,112.162,132.211,119.693,117.763,129.029,123.930,117.701,123.477,120.478,122.646,117.953,130.137,138.909,123.500,123.604,127.588,123.673,125.256,117.605,118.590,122.914,116.400,123.081,122.954,122.513,123.324,117.793,120.768,116.355,131.719
