freq (Hz),input noise; V / sqrt(Hz) (V / sqrt(Hz))
1.00000,2.85505E-9
1.25893,2.56697E-9
1.58489,2.31881E-9
1.99526,2.10612E-9
2.51189,1.92487E-9
3.16228,1.77145E-9
3.98107,1.64250E-9
5.01187,1.53496E-9
6.30957,1.44597E-9
7.94328,1.37293E-9
10.0000,1.31343E-9
12.5893,1.26532E-9
15.8489,1.22667E-9
19.9526,1.19581E-9
25.1189,1.17129E-9
31.6228,1.15190E-9
39.8107,1.13662E-9
50.1187,1.12462E-9
63.0957,1.11521E-9
79.4328,1.10785E-9
100.000,1.10211E-9
125.893,1.09763E-9
158.489,1.09414E-9
199.526,1.09142E-9
251.189,1.08931E-9
316.228,1.08766E-9
398.107,1.08639E-9
501.187,1.08539E-9
630.957,1.08462E-9
794.328,1.08402E-9
1.00000E3,1.08356E-9
1.25893E3,1.08320E-9
1.58489E3,1.08292E-9
1.99526E3,1.08270E-9
2.51189E3,1.08253E-9
3.16228E3,1.08240E-9
3.98107E3,1.08230E-9
5.01187E3,1.08222E-9
6.30957E3,1.08215E-9
7.94328E3,1.08211E-9
10.0000E3,1.08207E-9
12.5893E3,1.08204E-9
15.8489E3,1.08202E-9
19.9526E3,1.08200E-9
25.1189E3,1.08199E-9
31.6228E3,1.08198E-9
39.8107E3,1.08197E-9
50.1187E3,1.08196E-9
63.0957E3,1.08196E-9
79.4328E3,1.08195E-9
100.000E3,1.08195E-9
125.893E3,1.08195E-9
158.489E3,1.08195E-9
199.526E3,1.08195E-9
251.189E3,1.08195E-9
316.228E3,1.08194E-9
398.107E3,1.08194E-9
501.187E3,1.08194E-9
630.957E3,1.08194E-9
794.328E3,1.08194E-9
1.00000E6,1.08194E-9
