freq (Hz),input noise; V / sqrt(Hz) mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) mcparamset 100  (V / sqrt(Hz))
1.00000,9.69218E-9,14.8320E-9,14.1590E-9,12.8377E-9,6.60225E-9,22.5697E-9,11.1368E-9,5.56702E-9,7.70712E-9,5.72426E-9,10.5215E-9,8.01790E-9,19.5727E-9,7.44514E-9,10.9468E-9,26.9607E-9,6.41845E-9,10.2543E-9,5.64127E-9,12.1037E-9,5.93727E-9,13.6759E-9,10.5057E-9,13.1548E-9,4.74015E-9,30.2847E-9,17.4586E-9,10.5399E-9,18.8412E-9,18.8676E-9,10.7728E-9,5.26022E-9,8.66108E-9,19.7770E-9,15.1627E-9,9.46832E-9,21.0698E-9,7.63913E-9,13.5838E-9,14.1490E-9,4.60107E-9,12.7036E-9,14.6971E-9,12.5947E-9,5.51464E-9,24.9946E-9,9.47029E-9,4.84279E-9,4.77412E-9,22.5444E-9,12.3777E-9,7.10812E-9,17.2224E-9,4.61759E-9,8.55726E-9,7.70257E-9,5.33519E-9,10.0677E-9,13.0999E-9,4.89562E-9,6.08416E-9,9.43235E-9,21.7319E-9,4.80083E-9,7.21999E-9,15.6947E-9,17.4611E-9,6.35846E-9,14.1853E-9,11.7217E-9,6.43355E-9,5.55409E-9,14.7591E-9,9.98580E-9,7.86548E-9,8.00510E-9,5.27462E-9,20.8412E-9,5.19755E-9,11.4276E-9,9.05296E-9,16.0798E-9,10.5864E-9,25.4536E-9,10.5829E-9,14.9718E-9,4.85808E-9,19.5208E-9,17.2463E-9,9.78278E-9,19.1521E-9,14.3925E-9,10.5023E-9,23.4080E-9,6.34597E-9,20.6115E-9,12.6401E-9,6.77647E-9,6.30694E-9,10.5972E-9
1.25893,8.52999E-9,13.0146E-9,12.4277E-9,11.2708E-9,5.83242E-9,19.7824E-9,9.78827E-9,4.94013E-9,6.80022E-9,5.08275E-9,9.24824E-9,7.06559E-9,17.1599E-9,6.57766E-9,9.61860E-9,23.6254E-9,5.67635E-9,9.01412E-9,5.00712E-9,10.6317E-9,5.26591E-9,12.0059E-9,9.23371E-9,11.5469E-9,4.22028E-9,26.5350E-9,15.3105E-9,9.26229E-9,16.5233E-9,16.5438E-9,9.46633E-9,4.67458E-9,7.62282E-9,17.3387E-9,13.3059E-9,8.33174E-9,18.4702E-9,6.73623E-9,11.9294E-9,12.4175E-9,4.10135E-9,11.1558E-9,12.8974E-9,11.0580E-9,4.89776E-9,21.9050E-9,8.33095E-9,4.31235E-9,4.25341E-9,19.7600E-9,10.8703E-9,6.27808E-9,15.1068E-9,4.11809E-9,7.53795E-9,6.79430E-9,4.74498E-9,8.85371E-9,11.4982E-9,4.35846E-9,5.38890E-9,8.29723E-9,19.0507E-9,4.28000E-9,6.37060E-9,13.7680E-9,15.3181E-9,5.62355E-9,12.4504E-9,10.2980E-9,5.69626E-9,4.93193E-9,12.9502E-9,8.77975E-9,6.93122E-9,7.05175E-9,4.69124E-9,18.2735E-9,4.61889E-9,10.0426E-9,7.96882E-9,14.1069E-9,9.30494E-9,22.3063E-9,9.30373E-9,13.1348E-9,4.32542E-9,17.1139E-9,15.1268E-9,8.61062E-9,16.7912E-9,12.6297E-9,9.24050E-9,20.5157E-9,5.61122E-9,18.0684E-9,11.0998E-9,5.98803E-9,5.57574E-9,9.31770E-9
1.58489,7.51164E-9,11.4229E-9,10.9114E-9,9.89877E-9,5.15862E-9,17.3413E-9,8.60716E-9,4.39080E-9,6.00546E-9,4.51946E-9,8.13346E-9,6.23165E-9,15.0469E-9,5.81674E-9,8.45561E-9,20.7044E-9,5.02643E-9,7.92826E-9,4.45092E-9,9.34225E-9,4.67707E-9,10.5431E-9,8.12011E-9,10.1391E-9,3.76505E-9,23.2511E-9,13.4292E-9,8.14356E-9,14.4932E-9,14.5086E-9,8.32251E-9,4.16102E-9,6.71397E-9,15.2033E-9,11.6795E-9,7.33634E-9,16.1936E-9,5.94564E-9,10.4798E-9,10.9011E-9,3.66346E-9,9.80013E-9,11.3212E-9,9.71237E-9,4.35679E-9,19.1992E-9,7.33329E-9,3.84749E-9,3.79672E-9,17.3215E-9,9.55009E-9,5.55067E-9,13.2537E-9,3.68019E-9,6.64492E-9,5.99860E-9,4.22691E-9,7.79055E-9,10.0958E-9,3.88752E-9,4.77935E-9,7.30347E-9,16.7025E-9,3.82307E-9,5.62678E-9,12.0808E-9,13.4407E-9,4.97996E-9,10.9308E-9,9.05113E-9,5.04959E-9,4.38618E-9,11.3660E-9,7.72389E-9,6.11337E-9,6.21720E-9,4.17930E-9,16.0244E-9,4.11155E-9,8.82942E-9,7.01920E-9,12.3789E-9,8.18294E-9,19.5500E-9,8.18338E-9,11.5262E-9,3.85862E-9,15.0063E-9,13.2705E-9,7.58344E-9,14.7239E-9,11.0860E-9,8.13459E-9,17.9827E-9,4.96767E-9,15.8412E-9,9.75088E-9,5.29729E-9,4.93570E-9,8.19691E-9
1.99526,6.61981E-9,10.0293E-9,9.58393E-9,8.69772E-9,4.56952E-9,15.2038E-9,7.57311E-9,3.91012E-9,5.30954E-9,4.02554E-9,7.15789E-9,5.50193E-9,13.1968E-9,5.14987E-9,7.43771E-9,18.1465E-9,4.45793E-9,6.97800E-9,3.96375E-9,8.21315E-9,4.16131E-9,9.26239E-9,7.14563E-9,8.90682E-9,3.36718E-9,20.3753E-9,11.7820E-9,7.16445E-9,12.7153E-9,12.7266E-9,7.32151E-9,3.71143E-9,5.91894E-9,13.3335E-9,10.2552E-9,6.46510E-9,14.2000E-9,5.25400E-9,9.21004E-9,9.57342E-9,3.28049E-9,8.61312E-9,9.94120E-9,8.53442E-9,3.88310E-9,16.8298E-9,6.46019E-9,3.44085E-9,3.39694E-9,15.1862E-9,8.39430E-9,4.91381E-9,11.6309E-9,3.29706E-9,5.86303E-9,5.30211E-9,3.77287E-9,6.86000E-9,8.86828E-9,3.47540E-9,4.24559E-9,6.43400E-9,14.6460E-9,3.42297E-9,4.97599E-9,10.6037E-9,11.7963E-9,4.41700E-9,9.60011E-9,7.95954E-9,4.48304E-9,3.90817E-9,9.97893E-9,6.80000E-9,5.39801E-9,5.48723E-9,3.73079E-9,14.0546E-9,3.66747E-9,7.76732E-9,6.18790E-9,10.8657E-9,7.20102E-9,17.1363E-9,7.20260E-9,10.1181E-9,3.45031E-9,13.1608E-9,11.6448E-9,6.68379E-9,12.9139E-9,9.73455E-9,7.16580E-9,15.7646E-9,4.40467E-9,13.8911E-9,8.56991E-9,4.69279E-9,4.37612E-9,7.21557E-9
2.51189,5.83934E-9,8.80949E-9,8.42210E-9,7.64682E-9,4.05524E-9,13.3322E-9,6.66831E-9,3.49027E-9,4.70084E-9,3.59317E-9,6.30467E-9,4.86406E-9,11.5771E-9,4.56609E-9,6.54731E-9,15.9068E-9,3.96140E-9,6.14695E-9,3.53781E-9,7.22488E-9,3.71033E-9,8.14138E-9,6.29345E-9,7.82861E-9,3.02025E-9,17.8571E-9,10.3401E-9,6.30807E-9,11.1586E-9,11.1664E-9,6.44602E-9,3.31862E-9,5.22409E-9,11.6966E-9,9.00840E-9,5.70311E-9,12.4545E-9,4.64959E-9,8.09822E-9,8.41138E-9,2.94638E-9,7.57424E-9,8.73331E-9,7.50372E-9,3.46911E-9,14.7551E-9,5.69669E-9,3.08597E-9,3.04780E-9,13.3167E-9,7.38288E-9,4.35694E-9,10.2101E-9,2.96267E-9,5.17905E-9,4.69313E-9,3.37573E-9,6.04608E-9,7.79423E-9,3.11560E-9,3.77895E-9,5.67387E-9,12.8455E-9,3.07345E-9,4.40727E-9,9.31095E-9,10.3563E-9,3.92530E-9,8.43529E-9,7.00440E-9,3.98742E-9,3.49025E-9,8.76493E-9,5.99216E-9,4.77298E-9,4.84939E-9,3.33864E-9,12.3297E-9,3.27955E-9,6.83795E-9,5.46077E-9,9.54095E-9,6.34224E-9,15.0229E-9,6.34451E-9,8.88587E-9,3.09398E-9,11.5453E-9,10.2215E-9,5.89639E-9,11.3296E-9,8.55175E-9,6.31769E-9,13.8225E-9,3.91288E-9,12.1838E-9,7.53646E-9,4.16446E-9,3.88767E-9,6.35684E-9
3.16228,5.15695E-9,7.74224E-9,7.40577E-9,6.72783E-9,3.60708E-9,11.6939E-9,5.87720E-9,3.12440E-9,4.16916E-9,3.21550E-9,5.55910E-9,4.30719E-9,10.1596E-9,4.05577E-9,5.76904E-9,13.9459E-9,3.52858E-9,5.42076E-9,3.16619E-9,6.36040E-9,3.31683E-9,7.16069E-9,5.54885E-9,6.88575E-9,2.71861E-9,15.6522E-9,9.07831E-9,5.55961E-9,9.79608E-9,9.80093E-9,5.68090E-9,2.97630E-9,4.61747E-9,10.2640E-9,7.91733E-9,5.03735E-9,10.9266E-9,4.12218E-9,7.12516E-9,7.39479E-9,2.65576E-9,6.66550E-9,7.67654E-9,6.60238E-9,3.10812E-9,12.9388E-9,5.02969E-9,2.77712E-9,2.74375E-9,11.6802E-9,6.49832E-9,3.87077E-9,8.96661E-9,2.67168E-9,4.58139E-9,4.16141E-9,3.02921E-9,5.33479E-9,6.85500E-9,2.80236E-9,3.37179E-9,5.01000E-9,11.2692E-9,2.76901E-9,3.91102E-9,8.17989E-9,9.09564E-9,3.49664E-9,7.41612E-9,6.16921E-9,3.55462E-9,3.12570E-9,7.70282E-9,5.28644E-9,4.22763E-9,4.29276E-9,2.99663E-9,10.8197E-9,2.94152E-9,6.02531E-9,4.82539E-9,8.38163E-9,5.59177E-9,13.1726E-9,5.59437E-9,7.80795E-9,2.78391E-9,10.1314E-9,8.97583E-9,5.20785E-9,9.94306E-9,7.51705E-9,5.57581E-9,12.1224E-9,3.48409E-9,10.6894E-9,6.63262E-9,3.70350E-9,3.46212E-9,5.60598E-9
3.98107,4.56102E-9,6.80898E-9,6.51729E-9,5.92478E-9,3.21744E-9,10.2600E-9,5.18614E-9,2.80644E-9,3.70557E-9,2.88646E-9,4.90829E-9,3.82184E-9,8.91939E-9,3.61047E-9,5.08944E-9,12.2294E-9,3.15218E-9,4.78692E-9,2.84285E-9,5.60478E-9,2.97439E-9,6.30331E-9,4.89893E-9,6.06182E-9,2.45725E-9,13.7220E-9,7.97456E-9,4.90616E-9,8.60386E-9,8.60622E-9,5.01292E-9,2.67888E-9,4.08866E-9,9.01044E-9,6.96306E-9,4.45640E-9,9.58957E-9,3.66279E-9,6.27405E-9,6.50599E-9,2.40387E-9,5.87119E-9,6.75253E-9,5.81475E-9,2.79426E-9,11.3491E-9,4.44772E-9,2.50924E-9,2.47987E-9,10.2480E-9,5.72531E-9,3.44717E-9,7.87867E-9,2.41937E-9,4.05990E-9,3.69795E-9,2.72774E-9,4.71390E-9,6.03424E-9,2.53060E-9,3.01739E-9,4.43097E-9,9.88966E-9,2.50476E-9,3.47884E-9,7.19086E-9,7.99246E-9,3.12381E-9,6.52488E-9,5.43956E-9,3.17756E-9,2.80858E-9,6.77411E-9,4.67063E-9,3.75264E-9,3.80783E-9,2.69924E-9,9.49803E-9,2.64786E-9,5.31539E-9,4.27093E-9,7.36754E-9,4.93665E-9,11.5530E-9,4.93925E-9,6.86557E-9,2.51500E-9,8.89438E-9,7.88597E-9,4.60646E-9,8.73017E-9,6.61243E-9,4.92757E-9,10.6344E-9,3.11113E-9,9.38182E-9,5.84274E-9,3.30216E-9,3.09229E-9,4.95012E-9
5.01187,4.04138E-9,5.99346E-9,5.74121E-9,5.22371E-9,2.87964E-9,9.00551E-9,4.58321E-9,2.53106E-9,3.30222E-9,2.60071E-9,4.34098E-9,3.39970E-9,7.83479E-9,3.22278E-9,4.49675E-9,10.7272E-9,2.82582E-9,4.23444E-9,2.56243E-9,4.94499E-9,2.67733E-9,5.55437E-9,4.33246E-9,5.34249E-9,2.23172E-9,12.0325E-9,7.00958E-9,4.33640E-9,7.56118E-9,7.56141E-9,4.43050E-9,2.42144E-9,3.62851E-9,7.91414E-9,6.12902E-9,3.95029E-9,8.41997E-9,3.26357E-9,5.53023E-9,5.72952E-9,2.18647E-9,5.17755E-9,5.94518E-9,5.12717E-9,2.52231E-9,9.95794E-9,3.94076E-9,2.27785E-9,2.25180E-9,8.99501E-9,5.05044E-9,3.07901E-9,6.92737E-9,2.20151E-9,3.60569E-9,3.29489E-9,2.46640E-9,4.17271E-9,5.31767E-9,2.29577E-9,2.70985E-9,3.92676E-9,8.68273E-9,2.27632E-9,3.10334E-9,6.32659E-9,7.02757E-9,2.80047E-9,5.74611E-9,4.80282E-9,2.84996E-9,2.53366E-9,5.96264E-9,4.13409E-9,3.33984E-9,3.38624E-9,2.44161E-9,8.34172E-9,2.39369E-9,4.69592E-9,3.78788E-9,6.48104E-9,4.36553E-9,10.1358E-9,4.36788E-9,6.04229E-9,2.28276E-9,7.81261E-9,6.93295E-9,4.08198E-9,7.66966E-9,5.82215E-9,4.36190E-9,9.33245E-9,2.78767E-9,8.23808E-9,5.15311E-9,2.95367E-9,2.77184E-9,4.37797E-9
6.30957,3.58912E-9,5.28149E-9,5.06404E-9,4.61244E-9,2.58779E-9,7.90842E-9,4.05798E-9,2.29352E-9,2.95225E-9,2.35349E-9,3.84731E-9,3.03348E-9,6.88681E-9,2.88619E-9,3.98066E-9,9.41302E-9,2.54386E-9,3.75375E-9,2.32016E-9,4.36959E-9,2.42062E-9,4.90085E-9,3.83958E-9,4.71521E-9,2.03802E-9,10.5540E-9,6.16651E-9,3.84044E-9,6.64984E-9,6.64824E-9,3.92350E-9,2.19955E-9,3.22904E-9,6.95585E-9,5.40070E-9,3.51028E-9,7.39732E-9,2.91760E-9,4.88083E-9,5.05188E-9,1.99975E-9,4.57257E-9,5.24045E-9,4.52766E-9,2.28764E-9,8.74108E-9,3.50004E-9,2.07890E-9,2.05561E-9,7.89927E-9,4.46199E-9,2.76000E-9,6.09613E-9,2.01431E-9,3.21099E-9,2.94532E-9,2.24079E-9,3.70184E-9,4.69279E-9,2.09381E-9,2.44394E-9,3.48864E-9,7.62728E-9,2.07977E-9,2.77805E-9,5.57199E-9,6.18420E-9,2.52103E-9,5.06628E-9,4.24797E-9,2.56631E-9,2.29628E-9,5.25425E-9,3.66750E-9,2.98207E-9,3.02068E-9,2.21937E-9,7.33056E-9,2.17464E-9,4.15621E-9,3.36793E-9,5.70668E-9,3.86851E-9,8.89596E-9,3.87036E-9,5.32371E-9,2.08312E-9,6.86713E-9,6.10018E-9,3.62542E-9,6.74293E-9,5.13243E-9,3.86914E-9,8.19376E-9,2.50813E-9,7.23816E-9,4.55177E-9,2.65203E-9,2.49519E-9,3.87967E-9
7.94328,3.19646E-9,4.66065E-9,4.47397E-9,4.08028E-9,2.33669E-9,6.94949E-9,3.60134E-9,2.08957E-9,2.64960E-9,2.14056E-9,3.41868E-9,2.71678E-9,6.05885E-9,2.59495E-9,3.53220E-9,8.26368E-9,2.30130E-9,3.33646E-9,2.11182E-9,3.86862E-9,2.19980E-9,4.33139E-9,3.41168E-9,4.16902E-9,1.87257E-9,9.26063E-9,5.43059E-9,3.40964E-9,5.85393E-9,5.85074E-9,3.48308E-9,2.00929E-9,2.88323E-9,6.11880E-9,4.76542E-9,3.12872E-9,6.50373E-9,2.61882E-9,4.31464E-9,4.46125E-9,1.84026E-9,4.04572E-9,4.62605E-9,4.00579E-9,2.08611E-9,7.67713E-9,3.11788E-9,1.90876E-9,1.88775E-9,6.94157E-9,3.94974E-9,2.48461E-9,5.37044E-9,1.85434E-9,2.86896E-9,2.64315E-9,2.04698E-9,3.29312E-9,4.14868E-9,1.92107E-9,2.21501E-9,3.10892E-9,6.70483E-9,1.91159E-9,2.49726E-9,4.91388E-9,5.44767E-9,2.28053E-9,4.47355E-9,3.76536E-9,2.32170E-9,2.09227E-9,4.63659E-9,3.26268E-9,2.67303E-9,2.70472E-9,2.02861E-9,6.44688E-9,1.98680E-9,3.68687E-9,3.00378E-9,5.03098E-9,3.43691E-9,7.81186E-9,3.43806E-9,4.69727E-9,1.91244E-9,6.04138E-9,5.37310E-9,3.22892E-9,5.93376E-9,4.53125E-9,3.44081E-9,7.19833E-9,2.26757E-9,6.36456E-9,4.02825E-9,2.39198E-9,2.25739E-9,3.44658E-9
