freq (Hz),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 20  (V / sqrt(Hz))
1.00000,10.7314E-9,15.7359E-9,15.1121E-9,13.6060E-9,7.26261E-9,23.6696E-9,11.9795E-9,6.27685E-9,8.67726E-9,6.90897E-9,11.2806E-9,8.78216E-9,20.5418E-9,8.65673E-9,11.6930E-9,28.1751E-9,7.26111E-9,10.9501E-9,6.57075E-9,13.1219E-9,10.7507E-9,15.7686E-9,15.1387E-9,13.6316E-9,7.27381E-9,23.7190E-9,12.0001E-9,6.28324E-9,8.69086E-9,6.91579E-9,11.3018E-9,8.79527E-9,20.5841E-9,8.66760E-9,11.7156E-9,28.2360E-9,7.26933E-9,10.9704E-9,6.57707E-9,13.1485E-9,10.7658E-9,15.7916E-9,15.1600E-9,13.6506E-9,7.28359E-9,23.7516E-9,12.0159E-9,6.28910E-9,8.70269E-9,6.92364E-9,11.3183E-9,8.80548E-9,20.6129E-9,8.67808E-9,11.7325E-9,28.2762E-9,7.27671E-9,10.9854E-9,6.58347E-9,13.1676E-9
1.25893,9.44552E-9,13.8095E-9,13.2662E-9,11.9468E-9,6.41356E-9,20.7481E-9,10.5304E-9,5.56376E-9,7.65458E-9,6.12219E-9,9.91622E-9,7.73865E-9,18.0108E-9,7.64343E-9,10.2758E-9,24.6910E-9,6.41731E-9,9.62697E-9,5.82272E-9,11.5281E-9,9.46228E-9,13.8381E-9,13.2894E-9,11.9692E-9,6.42316E-9,20.7913E-9,10.5483E-9,5.56915E-9,7.66634E-9,6.12801E-9,9.93463E-9,7.74996E-9,18.0478E-9,7.65280E-9,10.2955E-9,24.7442E-9,6.42431E-9,9.64460E-9,5.82808E-9,11.5513E-9,9.47537E-9,13.8581E-9,13.3079E-9,11.9857E-9,6.43154E-9,20.8198E-9,10.5621E-9,5.57410E-9,7.67658E-9,6.13475E-9,9.94894E-9,7.75877E-9,18.0730E-9,7.66186E-9,10.3102E-9,24.7794E-9,6.43060E-9,9.65763E-9,5.83354E-9,11.5680E-9
1.58489,8.31801E-9,12.1221E-9,11.6492E-9,10.4936E-9,5.66986E-9,18.1894E-9,9.26072E-9,4.93834E-9,6.75757E-9,5.43075E-9,8.72123E-9,6.82425E-9,15.7942E-9,6.75380E-9,9.03445E-9,21.6394E-9,5.67761E-9,8.46802E-9,5.16607E-9,10.1315E-9,8.33255E-9,12.1470E-9,11.6693E-9,10.5130E-9,5.67804E-9,18.2271E-9,9.27628E-9,4.94284E-9,6.76769E-9,5.43567E-9,8.73718E-9,6.83398E-9,15.8265E-9,6.76185E-9,9.05149E-9,21.6860E-9,5.68354E-9,8.48331E-9,5.17057E-9,10.1517E-9,8.34390E-9,12.1645E-9,11.6855E-9,10.5274E-9,5.68517E-9,18.2520E-9,9.28820E-9,4.94698E-9,6.77652E-9,5.44141E-9,8.74958E-9,6.84155E-9,15.8485E-9,6.76964E-9,9.06431E-9,21.7167E-9,5.68886E-9,8.49459E-9,5.17517E-9,10.1662E-9
1.99526,7.32986E-9,10.6442E-9,10.2330E-9,9.22114E-9,5.01908E-9,15.9485E-9,8.14863E-9,4.39049E-9,5.97133E-9,4.82372E-9,7.67505E-9,6.02354E-9,13.8531E-9,5.97330E-9,7.94751E-9,18.9670E-9,5.02983E-9,7.45338E-9,4.59027E-9,8.90791E-9,7.34243E-9,10.6659E-9,10.2505E-9,9.23802E-9,5.02599E-9,15.9814E-9,8.16209E-9,4.39419E-9,5.98001E-9,4.82784E-9,7.68884E-9,6.03186E-9,13.8813E-9,5.98016E-9,7.96227E-9,19.0077E-9,5.03479E-9,7.46659E-9,4.59400E-9,8.92546E-9,7.35225E-9,10.6811E-9,10.2645E-9,9.25047E-9,5.03201E-9,16.0032E-9,8.17239E-9,4.39759E-9,5.98758E-9,4.83268E-9,7.69954E-9,6.03832E-9,13.9004E-9,5.98682E-9,7.97336E-9,19.0346E-9,5.03925E-9,7.47632E-9,4.59783E-9,8.93808E-9
2.51189,6.46438E-9,9.35036E-9,8.99316E-9,8.10744E-9,4.45034E-9,13.9862E-9,7.17507E-9,3.91135E-9,5.28281E-9,4.29150E-9,6.75969E-9,5.32302E-9,12.1536E-9,5.28914E-9,6.99631E-9,16.6268E-9,4.46328E-9,6.56561E-9,4.08609E-9,7.83643E-9,6.47521E-9,9.36922E-9,9.00833E-9,8.12207E-9,4.45612E-9,14.0150E-9,7.18668E-9,3.91432E-9,5.29021E-9,4.29488E-9,6.77157E-9,5.33008E-9,12.1782E-9,5.29495E-9,7.00905E-9,16.6624E-9,4.46738E-9,6.57699E-9,4.08911E-9,7.85164E-9,6.48366E-9,9.38243E-9,9.02045E-9,8.13284E-9,4.46116E-9,14.0339E-9,7.19555E-9,3.91705E-9,5.29666E-9,4.29891E-9,6.78077E-9,5.33555E-9,12.1949E-9,5.30060E-9,7.01861E-9,16.6858E-9,4.47105E-9,6.58535E-9,4.09224E-9,7.86258E-9
3.16228,5.70694E-9,8.21800E-9,7.90820E-9,7.13321E-9,3.95411E-9,12.2683E-9,6.32336E-9,3.49312E-9,4.68058E-9,3.82563E-9,5.95940E-9,4.71084E-9,10.6660E-9,4.69013E-9,6.16447E-9,14.5778E-9,3.96858E-9,5.78947E-9,3.64542E-9,6.89862E-9,5.71623E-9,8.23437E-9,7.92131E-9,7.14584E-9,3.95888E-9,12.2934E-9,6.33332E-9,3.49543E-9,4.68682E-9,3.82835E-9,5.96959E-9,4.71679E-9,10.6874E-9,4.69499E-9,6.17543E-9,14.6089E-9,3.97190E-9,5.79922E-9,3.64779E-9,6.91178E-9,5.72346E-9,8.24581E-9,7.93177E-9,7.15513E-9,3.96302E-9,12.3099E-9,6.34092E-9,3.49755E-9,4.69227E-9,3.83164E-9,5.97746E-9,4.72137E-9,10.7019E-9,4.69974E-9,6.18362E-9,14.6294E-9,3.97486E-9,5.80636E-9,3.65029E-9,6.92123E-9
3.98107,5.04475E-9,7.22750E-9,6.95933E-9,6.28158E-9,3.52204E-9,10.7646E-9,5.57888E-9,3.12895E-9,4.15461E-9,3.41869E-9,5.26043E-9,4.17666E-9,9.36430E-9,4.16644E-9,5.43768E-9,12.7841E-9,3.53751E-9,5.11161E-9,3.26110E-9,6.07840E-9,5.05265E-9,7.24166E-9,6.97062E-9,6.29245E-9,3.52590E-9,10.7864E-9,5.58740E-9,3.13065E-9,4.15981E-9,3.42079E-9,5.26911E-9,4.18160E-9,9.38290E-9,4.17044E-9,5.44705E-9,12.8112E-9,3.54011E-9,5.11991E-9,3.26289E-9,6.08974E-9,5.05880E-9,7.25154E-9,6.97961E-9,6.30041E-9,3.52923E-9,10.8008E-9,5.59386E-9,3.13222E-9,4.16434E-9,3.42341E-9,5.27579E-9,4.18537E-9,9.39549E-9,4.17437E-9,5.45404E-9,12.8291E-9,3.54244E-9,5.12596E-9,3.26480E-9,6.09785E-9
5.01187,4.46658E-9,6.36167E-9,6.13012E-9,5.53779E-9,3.14678E-9,9.44879E-9,4.92888E-9,2.81280E-9,3.69609E-9,3.06411E-9,4.65071E-9,3.71139E-9,8.22574E-9,3.70944E-9,4.80341E-9,11.2142E-9,3.16284E-9,4.52037E-9,2.92686E-9,5.36166E-9,4.47325E-9,6.37388E-9,6.13980E-9,5.54708E-9,3.14981E-9,9.46781E-9,4.93609E-9,2.81394E-9,3.70036E-9,3.06565E-9,4.65805E-9,3.71543E-9,8.24188E-9,3.71267E-9,4.81137E-9,11.2378E-9,3.16479E-9,4.52738E-9,2.92810E-9,5.37138E-9,4.47841E-9,6.38237E-9,6.14749E-9,5.55387E-9,3.15241E-9,9.48028E-9,4.94154E-9,2.81499E-9,3.70407E-9,3.06765E-9,4.66367E-9,3.71847E-9,8.25277E-9,3.71585E-9,4.81727E-9,11.2534E-9,3.16652E-9,4.53245E-9,2.92947E-9,5.37830E-9
6.30957,3.96261E-9,5.60546E-9,5.40620E-9,4.88893E-9,2.82189E-9,8.29793E-9,4.36216E-9,2.53932E-9,3.29731E-9,2.75612E-9,4.11972E-9,3.30710E-9,7.23042E-9,3.31155E-9,4.25070E-9,9.84062E-9,2.83821E-9,4.00553E-9,2.63713E-9,4.73607E-9,3.96818E-9,5.61594E-9,5.41444E-9,4.89683E-9,2.82417E-9,8.31444E-9,4.36821E-9,2.53994E-9,3.30074E-9,2.75713E-9,4.12586E-9,3.31031E-9,7.24438E-9,3.31407E-9,4.25740E-9,9.86118E-9,2.83956E-9,4.01138E-9,2.63787E-9,4.74435E-9,3.97246E-9,5.62319E-9,5.42097E-9,4.90256E-9,2.82609E-9,8.32524E-9,4.37275E-9,2.54052E-9,3.30370E-9,2.75856E-9,4.13052E-9,3.31269E-9,7.25378E-9,3.31657E-9,4.26233E-9,9.87467E-9,2.84075E-9,4.01557E-9,2.63874E-9,4.75021E-9
7.94328,3.52425E-9,4.94573E-9,4.77500E-9,4.32374E-9,2.54167E-9,7.29184E-9,3.86895E-9,2.30377E-9,2.95150E-9,2.48959E-9,3.65824E-9,2.95679E-9,6.36093E-9,2.96610E-9,3.76998E-9,8.63921E-9,2.55799E-9,3.55817E-9,2.38699E-9,4.19085E-9,3.52881E-9,4.95467E-9,4.78196E-9,4.33038E-9,2.54326E-9,7.30613E-9,3.87395E-9,2.30391E-9,2.95415E-9,2.49011E-9,3.66329E-9,2.95925E-9,6.37297E-9,2.96797E-9,3.77555E-9,8.65707E-9,2.55878E-9,3.56297E-9,2.38726E-9,4.19783E-9,3.53229E-9,4.96081E-9,4.78744E-9,4.33516E-9,2.54457E-9,7.31545E-9,3.87766E-9,2.30405E-9,2.95642E-9,2.49101E-9,3.66709E-9,2.96102E-9,6.38103E-9,2.96985E-9,3.77959E-9,8.66877E-9,2.55947E-9,3.56636E-9,2.38766E-9,4.20274E-9
