freq (Hz),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm -0.5 mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0 mcparamset 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Vcm 0.5 mcparamset 20  (V / sqrt(Hz)),mcparamset ,/R2/MINUS Vcm -0.5  (A),/R2/MINUS Vcm 0  (A),/R2/MINUS Vcm 0.5  (A)
1.00000,5.21626E-9,7.04591E-9,11.9196E-9,7.36934E-9,16.9364E-9,25.3692E-9,24.7570E-9,7.51970E-9,6.89738E-9,12.9271E-9,4.23754E-9,7.35401E-9,18.0542E-9,10.6960E-9,5.77204E-9,9.71375E-9,8.86489E-9,16.6405E-9,8.33482E-9,10.1796E-9,5.22049E-9,7.05959E-9,11.9447E-9,7.38431E-9,16.9753E-9,25.4291E-9,24.8165E-9,7.53457E-9,6.90771E-9,12.9535E-9,4.24243E-9,7.36533E-9,18.0961E-9,10.7166E-9,5.77987E-9,9.73106E-9,8.88370E-9,16.6795E-9,8.34955E-9,10.1993E-9,5.22581E-9,7.07159E-9,11.9658E-9,7.39697E-9,17.0074E-9,25.4780E-9,24.8655E-9,7.54687E-9,6.91681E-9,12.9756E-9,4.24740E-9,7.37456E-9,18.1310E-9,10.7340E-9,5.78679E-9,9.74542E-9,8.89968E-9,16.7106E-9,8.36191E-9,10.2158E-9,1.00000,-17.7801E-9,-17.9412E-9,-18.1011E-9
1.25893,4.62348E-9,6.20468E-9,10.4605E-9,6.48386E-9,14.8451E-9,22.2277E-9,21.6920E-9,6.61362E-9,6.07877E-9,11.3425E-9,3.76203E-9,6.47183E-9,15.8240E-9,9.39507E-9,5.09443E-9,8.53188E-9,7.78997E-9,14.5868E-9,7.32799E-9,8.94164E-9,4.62701E-9,6.21649E-9,10.4824E-9,6.49680E-9,14.8791E-9,22.2800E-9,21.7441E-9,6.62647E-9,6.08765E-9,11.3654E-9,3.76606E-9,6.48159E-9,15.8607E-9,9.41301E-9,5.10110E-9,8.54690E-9,7.80629E-9,14.6208E-9,7.34073E-9,8.95877E-9,4.63150E-9,6.22685E-9,10.5008E-9,6.50775E-9,14.9071E-9,22.3228E-9,21.7869E-9,6.63710E-9,6.09548E-9,11.3847E-9,3.77019E-9,6.48952E-9,15.8912E-9,9.42809E-9,5.10699E-9,8.55936E-9,7.82015E-9,14.6480E-9,7.35142E-9,8.97308E-9,2.00000,-831.681E-12,-840.906E-12,-848.688E-12
1.58489,4.10482E-9,5.46947E-9,9.18363E-9,5.71008E-9,13.0146E-9,19.4768E-9,19.0082E-9,5.82200E-9,5.36282E-9,9.95537E-9,3.34827E-9,5.70089E-9,13.8718E-9,8.25622E-9,4.50292E-9,7.49811E-9,6.85004E-9,12.7889E-9,6.44771E-9,7.85824E-9,4.10771E-9,5.47961E-9,9.20264E-9,5.72124E-9,13.0442E-9,19.5226E-9,19.0538E-9,5.83307E-9,5.37041E-9,9.97536E-9,3.35152E-9,5.70925E-9,13.9038E-9,8.27179E-9,4.50854E-9,7.51111E-9,6.86416E-9,12.8186E-9,6.45870E-9,7.87310E-9,4.11146E-9,5.48851E-9,9.21864E-9,5.73065E-9,13.0687E-9,19.5600E-9,19.0912E-9,5.84221E-9,5.37711E-9,9.99215E-9,3.35488E-9,5.71603E-9,13.9304E-9,8.28489E-9,4.51350E-9,7.52189E-9,6.87615E-9,12.8424E-9,6.46792E-9,7.88551E-9,3.00000,359.785E-12,366.777E-12,370.568E-12
1.99526,3.65185E-9,4.82763E-9,8.06663E-9,5.03462E-9,11.4126E-9,17.0683E-9,16.6584E-9,5.13109E-9,4.73736E-9,8.74168E-9,2.98923E-9,5.02786E-9,12.1630E-9,7.25976E-9,3.98739E-9,6.59445E-9,6.02876E-9,11.2154E-9,5.67874E-9,6.91063E-9,3.65415E-9,4.83629E-9,8.08313E-9,5.04418E-9,11.4385E-9,17.1083E-9,16.6982E-9,5.14057E-9,4.74380E-9,8.75905E-9,2.99177E-9,5.03497E-9,12.1910E-9,7.27325E-9,3.99207E-9,6.60567E-9,6.04093E-9,11.2414E-9,5.68818E-9,6.92348E-9,3.65722E-9,4.84388E-9,8.09702E-9,5.05223E-9,11.4598E-9,17.1410E-9,16.7310E-9,5.14838E-9,4.74948E-9,8.77363E-9,2.99441E-9,5.04072E-9,12.2142E-9,7.28459E-9,3.99619E-9,6.61496E-9,6.05125E-9,11.2621E-9,5.69607E-9,6.93421E-9,4.00000,2.53239E-9,2.55731E-9,2.58065E-9
2.51189,3.25715E-9,4.26810E-9,7.09005E-9,4.44575E-9,10.0110E-9,14.9598E-9,14.6013E-9,4.52884E-9,4.19173E-9,7.68022E-9,2.67872E-9,4.44109E-9,10.6679E-9,6.38847E-9,3.53899E-9,5.80517E-9,5.31183E-9,9.83873E-9,5.00773E-9,6.08239E-9,3.25892E-9,4.27543E-9,7.10433E-9,4.45388E-9,10.0336E-9,14.9948E-9,14.6361E-9,4.53690E-9,4.19714E-9,7.69528E-9,2.68059E-9,4.44707E-9,10.6922E-9,6.40012E-9,3.54281E-9,5.81480E-9,5.32227E-9,9.86133E-9,5.01578E-9,6.09346E-9,3.26136E-9,4.28186E-9,7.11635E-9,4.46072E-9,10.0521E-9,15.0233E-9,14.6647E-9,4.54352E-9,4.20191E-9,7.70791E-9,2.68259E-9,4.45190E-9,10.7125E-9,6.40990E-9,3.54617E-9,5.82277E-9,5.33112E-9,9.87936E-9,5.02250E-9,6.10269E-9,5.00000,1.02477E-9,1.02874E-9,1.03727E-9
3.16228,2.91421E-9,3.78121E-9,6.23684E-9,3.93322E-9,8.78524E-9,13.1142E-9,12.8008E-9,4.00473E-9,3.71660E-9,6.75246E-9,2.41127E-9,3.93038E-9,9.35995E-9,5.62727E-9,3.14995E-9,5.11651E-9,4.68676E-9,8.63460E-9,4.42300E-9,5.35913E-9,2.91546E-9,3.78735E-9,6.24916E-9,3.94007E-9,8.80485E-9,13.1448E-9,12.8312E-9,4.01152E-9,3.72108E-9,6.76547E-9,2.41254E-9,3.93536E-9,9.38117E-9,5.63727E-9,3.15300E-9,5.12473E-9,4.69566E-9,8.65426E-9,4.42981E-9,5.36862E-9,2.91732E-9,3.79272E-9,6.25952E-9,3.94582E-9,8.82098E-9,13.1697E-9,12.8561E-9,4.01708E-9,3.72502E-9,6.77638E-9,2.41393E-9,3.93935E-9,9.39878E-9,5.64567E-9,3.15566E-9,5.13151E-9,4.70319E-9,8.66994E-9,4.43547E-9,5.37653E-9,6.00000,1.94704E-9,1.95661E-9,1.97263E-9
3.98107,2.61724E-9,3.35849E-9,5.49210E-9,3.48808E-9,7.71372E-9,11.4991E-9,11.2251E-9,3.54957E-9,3.30380E-9,5.94220E-9,2.18202E-9,3.48683E-9,8.21634E-9,4.96296E-9,2.81347E-9,4.51645E-9,4.14264E-9,7.58191E-9,3.91436E-9,4.72831E-9,2.61802E-9,3.36355E-9,5.50269E-9,3.49378E-9,7.73074E-9,11.5258E-9,11.2516E-9,3.55522E-9,3.30744E-9,5.95340E-9,2.18273E-9,3.49090E-9,8.23478E-9,4.97150E-9,2.81580E-9,4.52341E-9,4.15017E-9,7.59898E-9,3.92004E-9,4.73639E-9,2.61935E-9,3.36797E-9,5.51157E-9,3.49854E-9,7.74473E-9,11.5475E-9,11.2734E-9,3.55982E-9,3.31062E-9,5.96278E-9,2.18356E-9,3.49413E-9,8.25008E-9,4.97866E-9,2.81782E-9,4.52913E-9,4.15652E-9,7.61258E-9,3.92476E-9,4.74311E-9,7.00000,1.27438E-9,1.29383E-9,1.30662E-9
5.01187,2.36115E-9,2.99251E-9,4.84281E-9,3.10247E-9,6.77760E-9,10.0861E-9,9.84671E-9,3.15530E-9,2.94617E-9,5.23528E-9,1.98663E-9,3.10263E-9,7.21693E-9,4.38401E-9,2.52355E-9,3.99447E-9,3.66993E-9,6.66217E-9,3.47288E-9,4.17893E-9,2.36148E-9,2.99660E-9,4.85184E-9,3.10713E-9,6.79235E-9,10.1094E-9,9.86978E-9,3.15992E-9,2.94903E-9,5.24487E-9,1.98681E-9,3.10587E-9,7.23291E-9,4.39125E-9,2.52522E-9,4.00030E-9,3.67622E-9,6.67695E-9,3.47755E-9,4.18575E-9,2.36231E-9,3.00016E-9,4.85941E-9,3.11100E-9,6.80444E-9,10.1283E-9,9.88872E-9,3.16365E-9,2.95152E-9,5.25289E-9,1.98713E-9,3.10840E-9,7.24616E-9,4.39730E-9,2.52665E-9,4.00507E-9,3.68150E-9,6.68871E-9,3.48141E-9,4.19141E-9,8.00000,3.38557E-9,3.41435E-9,3.44457E-9
6.30957,2.14138E-9,2.67676E-9,4.27758E-9,2.76953E-9,5.96043E-9,8.85039E-9,8.64124E-9,2.81488E-9,2.63739E-9,4.61932E-9,1.82116E-9,2.77093E-9,6.34414E-9,3.88033E-9,2.27488E-9,3.54139E-9,3.26027E-9,5.85921E-9,3.09074E-9,3.70140E-9,2.14130E-9,2.67996E-9,4.28522E-9,2.77323E-9,5.97315E-9,8.87060E-9,8.66131E-9,2.81856E-9,2.63954E-9,4.62747E-9,1.82086E-9,2.77341E-9,6.35795E-9,3.88640E-9,2.27594E-9,3.54620E-9,3.26544E-9,5.87197E-9,3.09450E-9,3.70708E-9,2.14165E-9,2.68273E-9,4.29161E-9,2.77629E-9,5.98356E-9,8.88708E-9,8.67777E-9,2.82149E-9,2.64140E-9,4.63427E-9,1.82070E-9,2.77531E-9,6.36939E-9,3.89145E-9,2.27683E-9,3.55010E-9,3.26976E-9,5.88209E-9,3.09757E-9,3.71178E-9,9.00000,5.80621E-9,5.85790E-9,5.91036E-9
7.94328,1.95385E-9,2.40549E-9,3.78646E-9,2.48318E-9,5.24780E-9,7.77015E-9,7.58755E-9,2.52210E-9,2.37191E-9,4.08350E-9,1.68203E-9,2.48570E-9,5.58262E-9,3.44311E-9,2.06274E-9,3.14917E-9,2.90634E-9,5.15891E-9,2.76109E-9,3.28730E-9,1.95337E-9,2.40789E-9,3.79286E-9,2.48603E-9,5.25872E-9,7.78769E-9,7.60497E-9,2.52492E-9,2.37341E-9,4.09037E-9,1.68128E-9,2.48749E-9,5.59451E-9,3.44812E-9,2.06324E-9,3.15305E-9,2.91050E-9,5.16986E-9,2.76402E-9,3.29197E-9,1.95329E-9,2.40993E-9,3.79819E-9,2.48833E-9,5.26764E-9,7.80199E-9,7.61924E-9,2.52712E-9,2.37468E-9,4.09608E-9,1.68069E-9,2.48879E-9,5.60434E-9,3.45226E-9,2.06362E-9,3.15616E-9,2.91395E-9,5.17854E-9,2.76637E-9,3.29579E-9,10.0000,1.19051E-9,1.20552E-9,1.21683E-9
