Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,1.95242E-6,15.7255E-9,15.5424E-9
79.4328E3,2.45000E-6,14.0756E-9,13.8704E-9
63.0957E3,3.07419E-6,12.6139E-9,12.3837E-9
50.1187E3,3.85705E-6,11.3156E-9,11.0569E-9
39.8107E3,4.83871E-6,10.1640E-9,9.87299E-9
31.6228E3,6.06932E-6,9.14419E-9,8.81660E-9
25.1189E3,7.61157E-6,8.24300E-9,7.87408E-9
19.9526E3,9.54371E-6,7.44869E-9,7.03319E-9
15.8489E3,11.9635E-6,6.75079E-9,6.28301E-9
12.5893E3,14.9929E-6,6.14000E-9,5.61374E-9
10.0000E3,18.7842E-6,5.60797E-9,5.01664E-9
7.94328E3,23.5277E-6,5.14727E-9,4.48386E-9
6.30957E3,29.4616E-6,4.75119E-9,4.00838E-9
5.01187E3,36.8840E-6,4.41379E-9,3.58394E-9
3.98107E3,46.1691E-6,4.12979E-9,3.20493E-9
3.16228E3,57.7869E-6,3.89471E-9,2.86637E-9
2.51189E3,72.3290E-6,3.70502E-9,2.56384E-9
1.99526E3,90.5402E-6,3.55841E-9,2.29343E-9
1.58489E3,113.359E-6,3.45473E-9,2.05247E-9
1.25893E3,141.967E-6,3.39514E-9,1.83629E-9
1.00000E3,177.854E-6,3.38563E-9,1.64247E-9
794.328,222.899E-6,3.43706E-9,1.46995E-9
630.957,279.471E-6,3.56622E-9,1.31597E-9
501.187,350.559E-6,3.79788E-9,1.17875E-9
398.107,439.941E-6,4.16537E-9,1.05678E-9
316.228,552.394E-6,4.71077E-9,948.874E-12
251.189,693.976E-6,5.48364E-9,854.532E-12
199.526,872.375E-6,6.54827E-9,772.850E-12
158.489,1.09739E-3,7.97955E-9,704.769E-12
125.893,1.38155E-3,9.87370E-9,652.148E-12
100.000,1.74096E-3,12.3606E-9,618.530E-12
79.4328,2.19656E-3,15.5964E-9,610.174E-12
63.0957,2.79376E-3,19.9297E-9,636.056E-12
50.1187,3.94296E-3,28.6747E-9,754.765E-12
39.8107,5.47409E-3,40.2972E-9,969.870E-12
31.6228,7.05150E-3,52.6184E-9,1.22406E-9
25.1189,8.54730E-3,64.5235E-9,1.47941E-9
19.9526,9.74906E-3,74.2103E-9,1.69056E-9
15.8489,10.6119E-3,81.2232E-9,1.84455E-9
12.5893,11.2414E-3,86.3749E-9,1.95813E-9
10.0000,11.7563E-3,90.6294E-9,2.05216E-9
7.94328,12.1358E-3,93.8230E-9,2.12292E-9
6.30957,12.1974E-3,94.4037E-9,2.13600E-9
5.01187,12.1674E-3,94.2567E-9,2.13308E-9
3.98107,12.0985E-3,93.8355E-9,2.12422E-9
3.16228,12.0034E-3,93.2626E-9,2.11216E-9
2.51189,11.9020E-3,92.7386E-9,2.10140E-9
1.99526,11.8294E-3,92.6410E-9,2.10031E-9
1.58489,11.7517E-3,92.7440E-9,2.10402E-9
1.25893,11.6624E-3,93.0917E-9,2.11362E-9
1.00000,11.5591E-3,93.8020E-9,2.13192E-9
