Rptat2 ,(1.65 - VS("/RL+")) (V),/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,1.06272,1.95242E-6,15.7237E-9,15.5406E-9
79.4328E3,1.05929,2.45000E-6,14.0740E-9,13.8688E-9
63.0957E3,1.05579,3.07419E-6,12.6125E-9,12.3823E-9
50.1187E3,1.05221,3.85705E-6,11.3144E-9,11.0556E-9
39.8107E3,1.04852,4.83871E-6,10.1629E-9,9.87183E-9
31.6228E3,1.04469,6.06932E-6,9.14321E-9,8.81556E-9
25.1189E3,1.04069,7.61157E-6,8.24214E-9,7.87314E-9
19.9526E3,1.03649,9.54371E-6,7.44793E-9,7.03235E-9
15.8489E3,1.03206,11.9635E-6,6.75014E-9,6.28225E-9
12.5893E3,1.02738,14.9929E-6,6.13943E-9,5.61307E-9
10.0000E3,1.02244,18.7842E-6,5.60749E-9,5.01604E-9
7.94328E3,1.01725,23.5277E-6,5.14686E-9,4.48332E-9
6.30957E3,1.01182,29.4616E-6,4.75085E-9,4.00789E-9
5.01187E3,1.00620,36.8840E-6,4.41351E-9,3.58350E-9
3.98107E3,1.00046,46.1691E-6,4.12957E-9,3.20453E-9
3.16228E3,994.664E-3,57.7869E-6,3.89454E-9,2.86601E-9
2.51189E3,988.916E-3,72.3290E-6,3.70489E-9,2.56352E-9
1.99526E3,983.304E-3,90.5401E-6,3.55880E-9,2.29400E-9
1.58489E3,977.915E-3,113.359E-6,3.45468E-9,2.05221E-9
1.25893E3,972.821E-3,141.967E-6,3.39513E-9,1.83606E-9
1.00000E3,968.077E-3,177.854E-6,3.38564E-9,1.64226E-9
794.328,963.729E-3,222.899E-6,3.43709E-9,1.46976E-9
630.957,959.806E-3,279.471E-6,3.56627E-9,1.31580E-9
501.187,956.331E-3,350.559E-6,3.79794E-9,1.17860E-9
398.107,953.326E-3,439.941E-6,4.16544E-9,1.05665E-9
316.228,950.818E-3,552.396E-6,4.70975E-9,949.109E-12
251.189,948.837E-3,693.976E-6,5.48373E-9,854.428E-12
199.526,947.436E-3,872.375E-6,6.54838E-9,772.759E-12
158.489,946.690E-3,1.09739E-3,7.97968E-9,704.690E-12
125.893,946.699E-3,1.38155E-3,9.87774E-9,651.891E-12
100.000,947.624E-3,1.74096E-3,12.3607E-9,618.477E-12
79.4328,949.706E-3,2.19656E-3,15.5966E-9,610.132E-12
63.0957,959.481E-3,2.79376E-3,19.9300E-9,636.028E-12
50.1187,1.07563,3.94290E-3,28.6733E-9,754.725E-12
39.8107,1.18617,5.47394E-3,40.2962E-9,969.844E-12
31.6228,1.21373,7.05138E-3,52.6182E-9,1.22405E-9
25.1189,1.16863,8.54729E-3,64.5245E-9,1.47943E-9
19.9526,1.05880,9.74913E-3,74.2119E-9,1.69059E-9
15.8489,915.470E-3,10.6120E-3,81.2246E-9,1.84458E-9
12.5893,770.319E-3,11.2415E-3,86.3758E-9,1.95814E-9
10.0000,639.909E-3,11.7563E-3,90.6296E-9,2.05216E-9
7.94328,524.706E-3,12.1358E-3,93.8223E-9,2.12290E-9
6.30957,418.905E-3,12.1974E-3,94.4020E-9,2.13596E-9
5.01187,331.929E-3,12.1674E-3,94.2538E-9,2.13301E-9
3.98107,262.167E-3,12.0985E-3,93.8310E-9,2.12411E-9
3.16228,206.610E-3,12.0034E-3,93.2559E-9,2.11200E-9
2.51189,162.730E-3,11.9020E-3,92.7288E-9,2.10116E-9
1.99526,128.472E-3,11.8294E-3,92.6264E-9,2.09996E-9
1.58489,101.379E-3,11.7517E-3,92.7223E-9,2.10351E-9
1.25893,79.9164E-3,11.6624E-3,93.0600E-9,2.11288E-9
1.00000,62.9175E-3,11.5591E-3,93.7559E-9,2.13084E-9
