temp (C),/voutdiff2 Vcm -0.5 mcparamset 1  (V),/voutdiff2 Vcm -0.5 mcparamset 2  (V),/voutdiff2 Vcm -0.5 mcparamset 3  (V),/voutdiff2 Vcm -0.5 mcparamset 4  (V),/voutdiff2 Vcm -0.5 mcparamset 5  (V),/voutdiff2 Vcm -0.5 mcparamset 6  (V),/voutdiff2 Vcm -0.5 mcparamset 7  (V),/voutdiff2 Vcm -0.5 mcparamset 8  (V),/voutdiff2 Vcm -0.5 mcparamset 9  (V),/voutdiff2 Vcm -0.5 mcparamset 10  (V),/voutdiff2 Vcm -0.5 mcparamset 11  (V),/voutdiff2 Vcm -0.5 mcparamset 12  (V),/voutdiff2 Vcm -0.5 mcparamset 13  (V),/voutdiff2 Vcm -0.5 mcparamset 14  (V),/voutdiff2 Vcm -0.5 mcparamset 15  (V),/voutdiff2 Vcm -0.5 mcparamset 16  (V),/voutdiff2 Vcm -0.5 mcparamset 17  (V),/voutdiff2 Vcm -0.5 mcparamset 18  (V),/voutdiff2 Vcm -0.5 mcparamset 19  (V),/voutdiff2 Vcm -0.5 mcparamset 20  (V),/voutdiff2 Vcm 0 mcparamset 1  (V),/voutdiff2 Vcm 0 mcparamset 2  (V),/voutdiff2 Vcm 0 mcparamset 3  (V),/voutdiff2 Vcm 0 mcparamset 4  (V),/voutdiff2 Vcm 0 mcparamset 5  (V),/voutdiff2 Vcm 0 mcparamset 6  (V),/voutdiff2 Vcm 0 mcparamset 7  (V),/voutdiff2 Vcm 0 mcparamset 8  (V),/voutdiff2 Vcm 0 mcparamset 9  (V),/voutdiff2 Vcm 0 mcparamset 10  (V),/voutdiff2 Vcm 0 mcparamset 11  (V),/voutdiff2 Vcm 0 mcparamset 12  (V),/voutdiff2 Vcm 0 mcparamset 13  (V),/voutdiff2 Vcm 0 mcparamset 14  (V),/voutdiff2 Vcm 0 mcparamset 15  (V),/voutdiff2 Vcm 0 mcparamset 16  (V),/voutdiff2 Vcm 0 mcparamset 17  (V),/voutdiff2 Vcm 0 mcparamset 18  (V),/voutdiff2 Vcm 0 mcparamset 19  (V),/voutdiff2 Vcm 0 mcparamset 20  (V),/voutdiff2 Vcm 0.5 mcparamset 1  (V),/voutdiff2 Vcm 0.5 mcparamset 2  (V),/voutdiff2 Vcm 0.5 mcparamset 3  (V),/voutdiff2 Vcm 0.5 mcparamset 4  (V),/voutdiff2 Vcm 0.5 mcparamset 5  (V),/voutdiff2 Vcm 0.5 mcparamset 6  (V),/voutdiff2 Vcm 0.5 mcparamset 7  (V),/voutdiff2 Vcm 0.5 mcparamset 8  (V),/voutdiff2 Vcm 0.5 mcparamset 9  (V),/voutdiff2 Vcm 0.5 mcparamset 10  (V),/voutdiff2 Vcm 0.5 mcparamset 11  (V),/voutdiff2 Vcm 0.5 mcparamset 12  (V),/voutdiff2 Vcm 0.5 mcparamset 13  (V),/voutdiff2 Vcm 0.5 mcparamset 14  (V),/voutdiff2 Vcm 0.5 mcparamset 15  (V),/voutdiff2 Vcm 0.5 mcparamset 16  (V),/voutdiff2 Vcm 0.5 mcparamset 17  (V),/voutdiff2 Vcm 0.5 mcparamset 18  (V),/voutdiff2 Vcm 0.5 mcparamset 19  (V),/voutdiff2 Vcm 0.5 mcparamset 20  (V)
0.00000,34.5576,35.3537,34.3546,35.4693,36.1962,35.9938,34.5347,35.1428,35.5421,35.3144,35.4541,35.3045,36.7121,36.1197,35.3228,36.1449,35.6910,35.8354,34.7702,35.5326,34.7606,35.5645,34.5576,35.6821,36.4147,36.2088,34.7387,35.3513,35.7537,35.5245,35.6670,35.5165,36.9340,36.3377,35.5336,36.3636,35.9051,36.0496,34.9765,35.7441,34.9495,35.7609,34.7469,35.8806,36.6183,36.4089,34.9289,35.5456,35.9506,35.7201,35.8654,35.7143,37.1406,36.5406,35.7300,36.5675,36.1045,36.2491,35.1688,35.9412
1.00000,34.5609,35.3566,34.3558,35.4700,36.1958,35.9940,34.5366,35.1428,35.5427,35.3148,35.4561,35.3075,36.7107,36.1203,35.3220,36.1464,35.6917,35.8380,34.7720,35.5319,34.7639,35.5674,34.5588,35.6827,36.4144,36.2090,34.7406,35.3513,35.7543,35.5249,35.6689,35.5195,36.9325,36.3382,35.5328,36.3650,35.9058,36.0523,34.9782,35.7434,34.9528,35.7637,34.7480,35.8811,36.6178,36.4091,34.9307,35.5454,35.9511,35.7204,35.8673,35.7172,37.1390,36.5410,35.7291,36.5688,36.1051,36.2517,35.1705,35.9404
2.00000,34.5642,35.3594,34.3570,35.4706,36.1955,35.9942,34.5385,35.1428,35.5432,35.3153,35.4580,35.3105,36.7093,36.1208,35.3213,36.1478,35.6924,35.8406,34.7737,35.5312,34.7672,35.5702,34.5600,35.6833,36.4140,36.2092,34.7425,35.3512,35.7548,35.5253,35.6708,35.5224,36.9311,36.3387,35.5320,36.3664,35.9064,36.0549,34.9800,35.7426,34.9560,35.7665,34.7492,35.8816,36.6174,36.4092,34.9325,35.5453,35.9515,35.7208,35.8692,35.7201,37.1374,36.5414,35.7282,36.5702,36.1057,36.2542,35.1721,35.9395
3.00000,34.5675,35.3623,34.3582,35.4713,36.1952,35.9945,34.5404,35.1428,35.5438,35.3158,35.4600,35.3134,36.7079,36.1213,35.3206,36.1493,35.6930,35.8432,34.7755,35.5305,34.7705,35.5731,34.5612,35.6839,36.4136,36.2094,34.7443,35.3512,35.7553,35.5257,35.6728,35.5254,36.9296,36.3392,35.5312,36.3679,35.9071,36.0575,34.9817,35.7419,34.9592,35.7692,34.7503,35.8821,36.6169,36.4093,34.9343,35.5452,35.9520,35.7211,35.8710,35.7230,37.1359,36.5418,35.7273,36.5715,36.1063,36.2568,35.1738,35.9387
4.00000,34.5708,35.3651,34.3595,35.4719,36.1949,35.9947,34.5423,35.1428,35.5444,35.3162,35.4620,35.3164,36.7066,36.1218,35.3198,36.1508,35.6938,35.8459,34.7772,35.5298,34.7738,35.5759,34.5624,35.6846,36.4133,36.2096,34.7462,35.3512,35.7558,35.5261,35.6747,35.5283,36.9282,36.3396,35.5304,36.3693,35.9077,36.0601,34.9834,35.7412,34.9624,35.7720,34.7514,35.8827,36.6165,36.4094,34.9361,35.5451,35.9524,35.7215,35.8729,35.7259,37.1344,36.5422,35.7265,36.5729,36.1069,36.2593,35.1754,35.9379
5.00000,34.5740,35.3680,34.3607,35.4726,36.1946,35.9950,34.5442,35.1429,35.5449,35.3167,35.4640,35.3194,36.7052,36.1224,35.3191,36.1522,35.6945,35.8485,34.7790,35.5291,34.7770,35.5787,34.5636,35.6852,36.4129,36.2098,34.7481,35.3512,35.7564,35.5266,35.6767,35.5313,36.9268,36.3401,35.5297,36.3707,35.9084,36.0627,34.9851,35.7405,34.9656,35.7748,34.7526,35.8832,36.6160,36.4095,34.9379,35.5450,35.9529,35.7218,35.8748,35.7288,37.1329,36.5426,35.7257,36.5742,36.1075,36.2618,35.1771,35.9371
6.00000,34.5773,35.3708,34.3619,35.4733,36.1943,35.9952,34.5461,35.1429,35.5455,35.3172,35.4659,35.3223,36.7039,36.1229,35.3185,36.1537,35.6952,35.8511,34.7807,35.5285,34.7802,35.5816,34.5648,35.6858,36.4126,36.2100,34.7499,35.3512,35.7569,35.5270,35.6786,35.5342,36.9255,36.3406,35.5289,36.3722,35.9091,36.0653,34.9868,35.7398,34.9688,35.7775,34.7537,35.8838,36.6156,36.4096,34.9397,35.5450,35.9534,35.7222,35.8767,35.7316,37.1314,36.5430,35.7248,36.5756,36.1081,36.2644,35.1787,35.9363
7.00000,34.5805,35.3736,34.3632,35.4740,36.1941,35.9955,34.5479,35.1430,35.5461,35.3176,35.4679,35.3253,36.7026,36.1234,35.3178,36.1552,35.6959,35.8538,34.7825,35.5278,34.7835,35.5844,34.5660,35.6865,36.4123,36.2103,34.7518,35.3512,35.7575,35.5275,35.6806,35.5372,36.9241,36.3411,35.5282,36.3736,35.9098,36.0679,34.9886,35.7391,34.9720,35.7803,34.7548,35.8844,36.6152,36.4098,34.9415,35.5449,35.9538,35.7225,35.8786,35.7345,37.1299,36.5434,35.7240,36.5769,36.1087,36.2669,35.1804,35.9355
8.00000,34.5837,35.3765,34.3644,35.4747,36.1939,35.9958,34.5498,35.1431,35.5467,35.3181,35.4699,35.3283,36.7013,36.1240,35.3171,36.1566,35.6966,35.8564,34.7842,35.5272,34.7867,35.5872,34.5672,35.6871,36.4121,36.2105,34.7536,35.3513,35.7580,35.5279,35.6825,35.5401,36.9228,36.3416,35.5275,36.3750,35.9105,36.0705,34.9903,35.7384,34.9752,35.7830,34.7560,35.8849,36.6149,36.4099,34.9433,35.5449,35.9543,35.7229,35.8804,35.7374,37.1285,36.5438,35.7232,36.5783,36.1093,36.2695,35.1820,35.9347
9.00000,34.5870,35.3793,34.3656,35.4754,36.1937,35.9961,34.5517,35.1432,35.5473,35.3186,35.4719,35.3312,36.7001,36.1245,35.3165,36.1581,35.6974,35.8590,34.7860,35.5266,34.7899,35.5900,34.5684,35.6878,36.4118,36.2108,34.7555,35.3513,35.7586,35.5284,35.6845,35.5430,36.9215,36.3421,35.5268,36.3765,35.9112,36.0731,34.9920,35.7377,34.9783,35.7858,34.7571,35.8855,36.6145,36.4101,34.9451,35.5449,35.9548,35.7233,35.8823,35.7403,37.1271,36.5442,35.7225,36.5797,36.1099,36.2720,35.1837,35.9340
10.0000,34.5902,35.3821,34.3669,35.4761,36.1935,35.9964,34.5536,35.1433,35.5479,35.3191,35.4739,35.3342,36.6989,36.1250,35.3159,36.1596,35.6981,35.8616,34.7877,35.5259,34.7931,35.5928,34.5696,35.6885,36.4116,36.2111,34.7574,35.3514,35.7591,35.5288,35.6864,35.5460,36.9202,36.3426,35.5262,36.3779,35.9119,36.0757,34.9937,35.7370,34.9814,35.7885,34.7583,35.8861,36.6142,36.4103,34.9469,35.5449,35.9552,35.7237,35.8842,35.7431,37.1257,36.5446,35.7217,36.5810,36.1105,36.2745,35.1854,35.9332
11.0000,34.5934,35.3850,34.3681,35.4768,36.1933,35.9967,34.5555,35.1435,35.5485,35.3196,35.4759,35.3371,36.6976,36.1256,35.3153,36.1611,35.6989,35.8643,34.7895,35.5253,34.7963,35.5956,34.5708,35.6892,36.4113,36.2113,34.7592,35.3515,35.7597,35.5293,35.6884,35.5489,36.9189,36.3431,35.5255,36.3794,35.9126,36.0783,34.9955,35.7364,34.9846,35.7912,34.7594,35.8867,36.6138,36.4105,34.9487,35.5449,35.9557,35.7240,35.8861,35.7460,37.1243,36.5450,35.7210,36.5824,36.1112,36.2771,35.1870,35.9324
12.0000,34.5966,35.3878,34.3694,35.4776,36.1931,35.9971,34.5574,35.1436,35.5491,35.3201,35.4779,35.3401,36.6965,36.1261,35.3147,36.1626,35.6997,35.8669,34.7913,35.5247,34.7994,35.5984,34.5720,35.6899,36.4111,36.2116,34.7611,35.3516,35.7603,35.5298,35.6904,35.5518,36.9177,36.3436,35.5249,36.3808,35.9134,36.0809,34.9972,35.7357,34.9877,35.7940,34.7606,35.8873,36.6135,36.4107,34.9504,35.5449,35.9562,35.7244,35.8880,35.7489,37.1229,36.5454,35.7202,36.5838,36.1118,36.2796,35.1887,35.9317
13.0000,34.5997,35.3906,34.3707,35.4783,36.1930,35.9974,34.5593,35.1438,35.5497,35.3207,35.4799,35.3430,36.6953,36.1267,35.3141,36.1641,35.7005,35.8695,34.7931,35.5242,34.8026,35.6012,34.5733,35.6906,36.4109,36.2119,34.7629,35.3518,35.7609,35.5302,35.6923,35.5547,36.9165,36.3441,35.5243,36.3823,35.9141,36.0836,34.9990,35.7351,34.9908,35.7967,34.7617,35.8880,36.6132,36.4109,34.9522,35.5449,35.9567,35.7248,35.8899,35.7517,37.1216,36.5458,35.7195,36.5851,36.1124,36.2821,35.1904,35.9310
14.0000,34.6029,35.3934,34.3719,35.4791,36.1929,35.9978,34.5612,35.1440,35.5504,35.3212,35.4819,35.3460,36.6942,36.1272,35.3136,36.1656,35.7012,35.8722,34.7948,35.5236,34.8058,35.6040,34.5745,35.6913,36.4108,36.2122,34.7648,35.3519,35.7615,35.5307,35.6943,35.5577,36.9153,36.3446,35.5237,36.3838,35.9148,36.0862,35.0007,35.7345,34.9939,35.7994,34.7628,35.8886,36.6130,36.4111,34.9540,35.5450,35.9572,35.7252,35.8918,35.7546,37.1203,36.5462,35.7188,36.5865,36.1131,36.2846,35.1920,35.9303
15.0000,34.6061,35.3962,34.3732,35.4798,36.1928,35.9981,34.5631,35.1442,35.5510,35.3217,35.4839,35.3489,36.6930,36.1278,35.3131,36.1671,35.7020,35.8748,34.7966,35.5230,34.8089,35.6067,34.5757,35.6920,36.4106,36.2126,34.7667,35.3521,35.7620,35.5312,35.6963,35.5606,36.9141,36.3451,35.5231,36.3852,35.9156,36.0888,35.0025,35.7339,34.9969,35.8021,34.7640,35.8892,36.6127,36.4113,34.9558,35.5450,35.9577,35.7256,35.8936,35.7574,37.1190,36.5466,35.7181,36.5879,36.1137,36.2872,35.1937,35.9295
16.0000,34.6092,35.3990,34.3744,35.4806,36.1927,35.9985,34.5650,35.1444,35.5516,35.3223,35.4859,35.3519,36.6919,36.1284,35.3125,36.1686,35.7028,35.8775,34.7984,35.5225,34.8120,35.6095,34.5770,35.6928,36.4105,36.2129,34.7685,35.3522,35.7626,35.5317,35.6983,35.5635,36.9129,36.3456,35.5225,36.3867,35.9164,36.0914,35.0042,35.7333,35.0000,35.8048,34.7652,35.8899,36.6124,36.4115,34.9576,35.5451,35.9582,35.7260,35.8955,35.7602,37.1177,36.5470,35.7174,36.5892,36.1144,36.2897,35.1954,35.9288
17.0000,34.6124,35.4018,34.3757,35.4814,36.1926,35.9989,34.5669,35.1446,35.5523,35.3228,35.4879,35.3548,36.6908,36.1289,35.3120,36.1701,35.7037,35.8801,34.8002,35.5220,34.8151,35.6123,34.5782,35.6935,36.4103,36.2132,34.7704,35.3524,35.7632,35.5322,35.7002,35.5664,36.9118,36.3462,35.5220,36.3882,35.9171,36.0940,35.0060,35.7327,35.0030,35.8075,34.7663,35.8905,36.6122,36.4118,34.9594,35.5452,35.9587,35.7264,35.8974,35.7631,37.1164,36.5475,35.7168,36.5906,36.1151,36.2922,35.1971,35.9281
18.0000,34.6155,35.4046,34.3770,35.4822,36.1926,35.9993,34.5688,35.1449,35.5529,35.3233,35.4899,35.3577,36.6898,36.1295,35.3115,36.1716,35.7045,35.8827,34.8020,35.5214,34.8183,35.6151,34.5794,35.6943,36.4102,36.2136,34.7723,35.3526,35.7638,35.5327,35.7022,35.5693,36.9106,36.3467,35.5214,36.3897,35.9179,36.0966,35.0077,35.7321,35.0061,35.8102,34.7675,35.8912,36.6120,36.4120,34.9612,35.5453,35.9592,35.7268,35.8993,35.7659,37.1152,36.5479,35.7161,36.5920,36.1158,36.2948,35.1987,35.9275
19.0000,34.6186,35.4074,34.3783,35.4830,36.1925,35.9997,34.5707,35.1452,35.5536,35.3239,35.4919,35.3607,36.6887,36.1301,35.3111,36.1732,35.7053,35.8854,34.8038,35.5209,34.8214,35.6178,34.5807,35.6950,36.4101,36.2140,34.7741,35.3528,35.7645,35.5332,35.7042,35.5722,36.9095,36.3472,35.5209,36.3912,35.9187,36.0992,35.0095,35.7316,35.0091,35.8129,34.7686,35.8918,36.6118,36.4123,34.9630,35.5454,35.9597,35.7272,35.9012,35.7687,37.1139,36.5483,35.7155,36.5934,36.1164,36.2973,35.2004,35.9268
20.0000,34.6217,35.4102,34.3796,35.4838,36.1925,36.0001,34.5726,35.1454,35.5542,35.3245,35.4939,35.3636,36.6877,36.1306,35.3106,36.1747,35.7061,35.8880,34.8056,35.5204,34.8244,35.6206,34.5819,35.6958,36.4101,36.2143,34.7760,35.3531,35.7651,35.5337,35.7062,35.5752,36.9085,36.3477,35.5204,36.3927,35.9195,36.1018,35.0113,35.7310,35.0121,35.8155,34.7698,35.8925,36.6116,36.4126,34.9648,35.5456,35.9602,35.7276,35.9031,35.7716,37.1127,36.5487,35.7149,36.5948,36.1171,36.2998,35.2021,35.9261
21.0000,34.6248,35.4130,34.3808,35.4847,36.1925,36.0006,34.5745,35.1457,35.5549,35.3250,35.4960,35.3665,36.6867,36.1312,35.3102,36.1762,35.7070,35.8907,34.8074,35.5199,34.8275,35.6234,34.5832,35.6966,36.4100,36.2147,34.7779,35.3533,35.7657,35.5342,35.7082,35.5781,36.9074,36.3483,35.5199,36.3942,35.9203,36.1045,35.0130,35.7304,35.0151,35.8182,34.7709,35.8932,36.6114,36.4128,34.9665,35.5457,35.9607,35.7280,35.9050,35.7744,37.1115,36.5491,35.7143,36.5962,36.1178,36.3023,35.2038,35.9254
