freq (Hz),dB20(VF("/voutdiff1")) (dB),dB20(VF("/voutdiff2")) (dB),phase(VF("/voutdiff1")) (deg),phase(VF("/voutdiff2")) (deg)
1.00000,31.4838,31.4869,-2.31298E-6,-1.20168E-6
1.12202,31.4838,31.4869,-2.59521E-6,-1.34831E-6
1.25893,31.4838,31.4869,-2.91187E-6,-1.51283E-6
1.41254,31.4838,31.4869,-3.26717E-6,-1.69743E-6
1.58489,31.4838,31.4869,-3.66583E-6,-1.90454E-6
1.77828,31.4838,31.4869,-4.11312E-6,-2.13693E-6
1.99526,31.4838,31.4869,-4.61500E-6,-2.39768E-6
2.23872,31.4838,31.4869,-5.17812E-6,-2.69024E-6
2.51189,31.4838,31.4869,-5.80994E-6,-3.01850E-6
2.81838,31.4838,31.4869,-6.51886E-6,-3.38681E-6
3.16228,31.4838,31.4869,-7.31428E-6,-3.80006E-6
3.54813,31.4838,31.4869,-8.20676E-6,-4.26374E-6
3.98107,31.4838,31.4869,-9.20814E-6,-4.78399E-6
4.46684,31.4838,31.4869,-10.3317E-6,-5.36773E-6
5.01187,31.4838,31.4869,-11.5924E-6,-6.02269E-6
5.62341,31.4838,31.4869,-13.0068E-6,-6.75757E-6
6.30957,31.4838,31.4869,-14.5939E-6,-7.58212E-6
7.07946,31.4838,31.4869,-16.3746E-6,-8.50728E-6
7.94328,31.4838,31.4869,-18.3727E-6,-9.54532E-6
8.91251,31.4838,31.4869,-20.6145E-6,-10.7100E-6
10.0000,31.4838,31.4869,-23.1298E-6,-12.0168E-6
11.2202,31.4838,31.4869,-25.9521E-6,-13.4831E-6
12.5893,31.4838,31.4869,-29.1187E-6,-15.1283E-6
14.1254,31.4838,31.4869,-32.6717E-6,-16.9743E-6
15.8489,31.4838,31.4869,-36.6583E-6,-19.0454E-6
17.7828,31.4838,31.4869,-41.1312E-6,-21.3693E-6
19.9526,31.4838,31.4869,-46.1500E-6,-23.9768E-6
22.3872,31.4838,31.4869,-51.7812E-6,-26.9024E-6
25.1189,31.4838,31.4869,-58.0994E-6,-30.1850E-6
28.1838,31.4838,31.4869,-65.1886E-6,-33.8681E-6
31.6228,31.4838,31.4869,-73.1428E-6,-38.0006E-6
35.4813,31.4838,31.4869,-82.0676E-6,-42.6374E-6
39.8107,31.4838,31.4869,-92.0814E-6,-47.8399E-6
44.6684,31.4838,31.4869,-103.317E-6,-53.6773E-6
50.1187,31.4838,31.4869,-115.924E-6,-60.2269E-6
56.2341,31.4838,31.4869,-130.068E-6,-67.5757E-6
63.0957,31.4838,31.4869,-145.939E-6,-75.8212E-6
70.7946,31.4838,31.4869,-163.746E-6,-85.0728E-6
79.4328,31.4838,31.4869,-183.727E-6,-95.4532E-6
