Vbe ,/I4/C T -40  (A),/I4/C T -20  (A),/I4/C T 0  (A),/I4/C T 20  (A),/I4/C T 40  (A),/I4/B T -40  (A),/I4/B T -20  (A),/I4/B T 0  (A),/I4/B T 20  (A),/I4/B T 40  (A),(IS("/I4/C") / IS("/I4/B")) T -40 ,(IS("/I4/C") / IS("/I4/B")) T -20 ,(IS("/I4/C") / IS("/I4/B")) T 0 ,(IS("/I4/C") / IS("/I4/B")) T 20 ,(IS("/I4/C") / IS("/I4/B")) T 40 
100.000E-3,4.93743E-18,357.807E-18,15.3198E-15,414.919E-15,7.62297E-12,77.6568E-18,640.023E-18,3.89392E-15,18.6267E-15,73.6696E-15,63.5802E-3,559.054E-3,3.93429,22.2755,103.475
102.329E-3,5.15606E-18,366.881E-18,15.5489E-15,418.919E-15,7.67616E-12,82.7112E-18,679.069E-18,4.11827E-15,19.6467E-15,77.5250E-15,62.3382E-3,540.270E-3,3.77560,21.3226,99.0153
104.713E-3,5.40634E-18,377.129E-18,15.8034E-15,423.265E-15,7.73249E-12,88.1958E-18,721.242E-18,4.35964E-15,20.7405E-15,81.6483E-15,61.2993E-3,522.889E-3,3.62493,20.4077,94.7048
107.152E-3,5.69376E-18,388.748E-18,16.0873E-15,428.017E-15,7.79254E-12,94.1552E-18,766.850E-18,4.61963E-15,21.9146E-15,86.0628E-15,60.4720E-3,506.941E-3,3.48238,19.5311,90.5448
109.648E-3,6.02488E-18,401.966E-18,16.4055E-15,433.241E-15,7.85701E-12,100.640E-18,816.237E-18,4.90000E-15,23.1765E-15,90.7941E-15,59.8658E-3,492.462E-3,3.34807,18.6931,86.5366
112.202E-3,6.40758E-18,417.058E-18,16.7638E-15,439.016E-15,7.92669E-12,107.706E-18,869.787E-18,5.20272E-15,24.5342E-15,95.8705E-15,59.4915E-3,479.494E-3,3.22211,17.8940,82.6812
114.815E-3,6.85128E-18,434.346E-18,17.1686E-15,445.434E-15,8.00250E-12,115.417E-18,927.928E-18,5.53000E-15,25.9967E-15,101.324E-15,59.3612E-3,468.082E-3,3.10464,17.1343,78.9796
117.490E-3,7.36735E-18,454.218E-18,17.6280E-15,452.603E-15,8.08548E-12,123.844E-18,991.141E-18,5.88426E-15,27.5740E-15,107.188E-15,59.4890E-3,458.278E-3,2.99580,16.4141,75.4329
120.226E-3,7.96955E-18,477.135E-18,18.1513E-15,460.650E-15,8.17689E-12,133.068E-18,1.05997E-15,6.26824E-15,29.2772E-15,113.502E-15,59.8906E-3,450.141E-3,2.89576,15.7341,72.0419
123.027E-3,8.67451E-18,503.649E-18,18.7495E-15,469.721E-15,8.27816E-12,143.181E-18,1.13501E-15,6.68500E-15,31.1187E-15,120.309E-15,60.5843E-3,443.739E-3,2.80472,15.0945,68.8076
125.893E-3,9.50251E-18,534.427E-18,19.4359E-15,479.993E-15,8.39096E-12,154.285E-18,1.21696E-15,7.13795E-15,33.1124E-15,127.656E-15,61.5906E-3,439.150E-3,2.72290,14.4959,65.7311
128.825E-3,10.4783E-18,570.270E-18,20.2261E-15,491.672E-15,8.51729E-12,166.498E-18,1.30658E-15,7.63093E-15,35.2736E-15,135.597E-15,62.9331E-3,436.462E-3,2.65054,13.9388,62.8134
131.826E-3,11.6320E-18,612.150E-18,21.1390E-15,505.003E-15,8.65945E-12,179.954E-18,1.40474E-15,8.16825E-15,37.6196E-15,144.190E-15,64.6390E-3,435.776E-3,2.58795,13.4239,60.0557
134.896E-3,13.0010E-18,661.246E-18,22.1973E-15,520.279E-15,8.82018E-12,194.803E-18,1.51242E-15,8.75477E-15,40.1697E-15,153.503E-15,66.7391E-3,437.209E-3,2.53545,12.9520,57.4593
138.038E-3,14.6310E-18,718.993E-18,23.4281E-15,537.849E-15,9.00273E-12,211.220E-18,1.63076E-15,9.39595E-15,42.9458E-15,163.609E-15,69.2689E-3,440.895E-3,2.49343,12.5239,55.0258
141.254E-3,16.5788E-18,787.146E-18,24.8646E-15,558.129E-15,9.21093E-12,229.403E-18,1.76100E-15,10.0980E-15,45.9723E-15,174.592E-15,72.2694E-3,446.988E-3,2.46234,12.1406,52.7568
144.544E-3,18.9149E-18,867.856E-18,26.5467E-15,581.622E-15,9.44937E-12,249.578E-18,1.90460E-15,10.8679E-15,49.2766E-15,186.546E-15,75.7873E-3,455.663E-3,2.44268,11.8032,50.6543
147.911E-3,21.7299E-18,963.773E-18,28.5230E-15,608.931E-15,9.72349E-12,272.007E-18,2.06320E-15,11.7135E-15,52.8899E-15,199.576E-15,79.8871E-3,467.126E-3,2.43506,11.5132,48.7207
151.356E-3,25.1277E-18,1.07817E-15,30.8531E-15,640.786E-15,10.0399E-12,296.989E-18,2.23868E-15,12.6439E-15,56.8472E-15,213.802E-15,84.6082E-3,481.608E-3,2.44016,11.2721,46.9587
154.882E-3,29.2498E-18,1.21509E-15,33.6097E-15,678.072E-15,10.4063E-12,324.870E-18,2.43319E-15,13.6693E-15,61.1884E-15,229.358E-15,90.0355E-3,499.382E-3,2.45878,11.0817,45.3715
158.489E-3,34.2705E-18,1.37987E-15,36.8822E-15,721.867E-15,10.8323E-12,356.049E-18,2.64919E-15,14.8013E-15,65.9586E-15,246.396E-15,96.2521E-3,520.864E-3,2.49182,10.9442,43.9629
162.181E-3,40.4105E-18,1.57820E-15,40.7813E-15,773.485E-15,11.3293E-12,390.989E-18,2.88953E-15,16.0533E-15,71.2091E-15,265.091E-15,103.354E-3,546.179E-3,2.54036,10.8622,42.7374
165.959E-3,47.9506E-18,1.81831E-15,45.4436E-15,834.536E-15,11.9112E-12,430.226E-18,3.15745E-15,17.4406E-15,76.9984E-15,285.639E-15,111.454E-3,575.877E-3,2.60562,10.8384,41.7001
169.824E-3,57.2495E-18,2.11013E-15,51.0391E-15,907.001E-15,12.5949E-12,474.385E-18,3.45674E-15,18.9806E-15,83.3933E-15,308.266E-15,120.682E-3,610.440E-3,2.68901,10.8762,40.8572
173.780E-3,68.7675E-18,2.46624E-15,57.7918E-15,993.320E-15,13.4010E-12,524.193E-18,3.79174E-15,20.6934E-15,90.4702E-15,333.228E-15,131.187E-3,650.425E-3,2.79277,10.9795,40.2158
177.828E-3,83.0978E-18,2.90258E-15,65.9418E-15,1.09652E-12,14.3550E-12,580.499E-18,4.16750E-15,22.6021E-15,98.3165E-15,360.821E-15,143.149E-3,696.480E-3,2.91750,11.1530,39.7841
181.970E-3,101.008E-18,3.43947E-15,75.8369E-15,1.22036E-12,15.4878E-12,644.301E-18,4.58989E-15,24.7335E-15,107.033E-15,391.384E-15,156.772E-3,749.359E-3,3.06617,11.4017,39.5718
186.209E-3,123.499E-18,4.10294E-15,87.8989E-15,1.36987E-12,16.8379E-12,716.768E-18,5.06573E-15,27.1183E-15,116.736E-15,425.307E-15,172.299E-3,809.941E-3,3.24131,11.7348,39.5900
190.546E-3,151.874E-18,4.92643E-15,102.662E-15,1.55017E-12,18.4529E-12,799.278E-18,5.60300E-15,29.7925E-15,127.558E-15,463.041E-15,190.014E-3,879.249E-3,3.44591,12.1527,39.8516
194.984E-3,187.850E-18,5.95314E-15,120.808E-15,1.76906E-12,20.3921E-12,893.455E-18,6.21102E-15,32.7975E-15,139.656E-15,505.110E-15,210.251E-3,958.481E-3,3.68344,12.6673,40.3716
199.526E-3,233.691E-18,7.23915E-15,143.205E-15,2.03585E-12,22.7358E-12,1.00122E-15,6.90073E-15,36.1819E-15,153.208E-15,552.121E-15,233.405E-3,1.04904,3.95793,13.2882,41.1790
204.174E-3,292.401E-18,8.85752E-15,170.973E-15,2.36236E-12,25.5626E-12,1.12487E-15,7.68500E-15,40.0023E-15,168.424E-15,604.785E-15,259.942E-3,1.15257,4.27408,14.0263,42.2673
208.930E-3,367.987E-18,10.9040E-15,205.552E-15,2.76360E-12,28.9968E-12,1.26711E-15,8.57900E-15,44.3248E-15,185.548E-15,663.931E-15,290.415E-3,1.27101,4.63740,14.8943,43.6743
213.796E-3,465.823E-18,13.5047E-15,248.810E-15,3.25882E-12,33.1853E-12,1.43118E-15,9.60066E-15,49.2273E-15,204.866E-15,730.535E-15,325.482E-3,1.40664,5.05432,15.9071,45.4260
218.776E-3,593.152E-18,16.8263E-15,303.181E-15,3.87268E-12,38.3150E-12,1.62097E-15,10.7712E-15,54.8012E-15,226.713E-15,805.747E-15,365.924E-3,1.56215,5.53238,17.0818,47.5521
223.872E-3,759.798E-18,21.0907E-15,371.847E-15,4.63701E-12,44.6235E-12,1.84114E-15,12.1160E-15,61.1548E-15,251.485E-15,890.930E-15,412.677E-3,1.74073,6.08042,18.4385,50.0865
229.087E-3,979.155E-18,26.5944E-15,458.993E-15,5.59307E-12,52.4153E-12,2.09730E-15,13.6651E-15,68.4158E-15,279.649E-15,987.702E-15,466.864E-3,1.94616,6.70887,20.0003,53.0680
234.423E-3,1.26959E-15,33.7363E-15,570.148E-15,6.79456E-12,62.0813E-12,2.39623E-15,15.4545E-15,76.7363E-15,311.758E-15,1.09800E-12,529.830E-3,2.18294,7.42996,21.7943,56.5404
239.883E-3,1.65647E-15,43.0554E-15,712.656E-15,8.31172E-12,74.1261E-12,2.74614E-15,17.5275E-15,86.2971E-15,348.471E-15,1.22414E-12,603.199E-3,2.45644,8.25818,23.8520,60.5537
245.471E-3,2.17497E-15,55.2842E-15,896.325E-15,10.2369E-12,89.2043E-12,3.15701E-15,19.9360E-15,97.3145E-15,390.576E-15,1.36893E-12,688.934E-3,2.77308,9.21060,26.2097,65.1637
251.189E-3,2.87427E-15,71.4248E-15,1.13432E-12,12.6921E-12,108.169E-12,3.64101E-15,22.7428E-15,110.048E-15,439.019E-15,1.53575E-12,789.414E-3,3.14055,10.3075,28.9102,70.4337
257.040E-3,3.82349E-15,92.8552E-15,1.44441E-12,15.8394E-12,132.136E-12,4.21306E-15,26.0238E-15,124.809E-15,494.938E-15,1.72876E-12,907.534E-3,3.56809,11.5729,32.0028,76.4339
263.027E-3,5.12047E-15,121.482E-15,1.85071E-12,19.8950E-12,162.575E-12,4.89143E-15,29.8713E-15,141.976E-15,559.713E-15,1.95303E-12,1.04683,4.06685,13.0354,35.5451,83.2425
269.153E-3,6.90460E-15,159.960E-15,2.38615E-12,25.1494E-12,201.428E-12,5.69868E-15,34.3978E-15,162.004E-15,635.024E-15,2.21482E-12,1.21161,4.65031,14.7289,39.6038,90.9454
275.423E-3,9.37584E-15,212.010E-15,3.09595E-12,31.9942E-12,251.278E-12,6.66270E-15,39.7410E-15,185.451E-15,722.927E-15,2.52194E-12,1.40721,5.33479,16.6941,44.2565,99.6365
281.838E-3,12.8230E-15,282.878E-15,4.04258E-12,40.9614E-12,315.574E-12,7.81812E-15,46.0701E-15,212.997E-15,825.950E-15,2.88414E-12,1.64017,6.14016,18.9795,49.5930,109.417
288.403E-3,17.6664E-15,380.010E-15,5.31288E-12,52.7766E-12,398.952E-12,9.20808E-15,53.5934E-15,245.478E-15,947.228E-15,3.31371E-12,1.91858,7.09061,21.6430,55.7169,120.395
