Vbe ,/I4/C T -196  (A),/I4/C T -40  (A),/I4/B T -196  (A),/I4/B T -40  (A),(IS("/I4/C") / IS("/I4/B")) T -196 ,(IS("/I4/C") / IS("/I4/B")) T -40 
100.000E-3,100.000E-15,100.005E-15,200.000E-15,200.078E-15,500.000E-3,499.831E-3
101.400E-3,101.400E-15,101.405E-15,202.800E-15,202.881E-15,500.000E-3,499.826E-3
102.800E-3,102.800E-15,102.805E-15,205.600E-15,205.684E-15,500.000E-3,499.822E-3
104.200E-3,104.200E-15,104.205E-15,208.400E-15,208.487E-15,500.000E-3,499.817E-3
105.600E-3,105.600E-15,105.606E-15,211.200E-15,211.290E-15,500.000E-3,499.812E-3
107.000E-3,107.000E-15,107.006E-15,214.000E-15,214.094E-15,500.000E-3,499.808E-3
108.400E-3,108.400E-15,108.406E-15,216.800E-15,216.897E-15,500.000E-3,499.803E-3
109.800E-3,109.800E-15,109.806E-15,219.600E-15,219.701E-15,500.000E-3,499.798E-3
111.200E-3,111.200E-15,111.206E-15,222.400E-15,222.505E-15,500.000E-3,499.792E-3
112.600E-3,112.600E-15,112.606E-15,225.200E-15,225.309E-15,500.000E-3,499.787E-3
114.000E-3,114.000E-15,114.007E-15,228.000E-15,228.113E-15,500.000E-3,499.782E-3
115.400E-3,115.400E-15,115.407E-15,230.800E-15,230.917E-15,500.000E-3,499.776E-3
116.800E-3,116.800E-15,116.807E-15,233.600E-15,233.722E-15,500.000E-3,499.771E-3
118.200E-3,118.200E-15,118.208E-15,236.400E-15,236.526E-15,500.000E-3,499.765E-3
119.600E-3,119.600E-15,119.608E-15,239.200E-15,239.331E-15,500.000E-3,499.759E-3
121.000E-3,121.000E-15,121.008E-15,242.000E-15,242.136E-15,500.000E-3,499.753E-3
122.400E-3,122.400E-15,122.409E-15,244.800E-15,244.941E-15,500.000E-3,499.747E-3
123.800E-3,123.800E-15,123.809E-15,247.600E-15,247.746E-15,500.000E-3,499.741E-3
125.200E-3,125.200E-15,125.209E-15,250.400E-15,250.552E-15,500.000E-3,499.735E-3
126.600E-3,126.600E-15,126.610E-15,253.200E-15,253.357E-15,500.000E-3,499.728E-3
128.000E-3,128.000E-15,128.010E-15,256.000E-15,256.163E-15,500.000E-3,499.722E-3
129.400E-3,129.400E-15,129.411E-15,258.800E-15,258.969E-15,500.000E-3,499.715E-3
130.800E-3,130.800E-15,130.811E-15,261.600E-15,261.775E-15,500.000E-3,499.708E-3
132.200E-3,132.200E-15,132.212E-15,264.400E-15,264.582E-15,500.000E-3,499.701E-3
133.600E-3,133.600E-15,133.612E-15,267.200E-15,267.388E-15,500.000E-3,499.694E-3
135.000E-3,135.000E-15,135.013E-15,270.000E-15,270.195E-15,500.000E-3,499.687E-3
136.400E-3,136.400E-15,136.414E-15,272.800E-15,273.002E-15,500.000E-3,499.679E-3
137.800E-3,137.800E-15,137.814E-15,275.600E-15,275.810E-15,500.000E-3,499.672E-3
139.200E-3,139.200E-15,139.215E-15,278.400E-15,278.618E-15,500.000E-3,499.664E-3
140.600E-3,140.600E-15,140.616E-15,281.200E-15,281.426E-15,500.000E-3,499.657E-3
142.000E-3,142.000E-15,142.017E-15,284.000E-15,284.234E-15,500.000E-3,499.649E-3
143.400E-3,143.400E-15,143.418E-15,286.800E-15,287.042E-15,500.000E-3,499.641E-3
144.800E-3,144.800E-15,144.819E-15,289.600E-15,289.851E-15,500.000E-3,499.633E-3
146.200E-3,146.200E-15,146.220E-15,292.400E-15,292.660E-15,500.000E-3,499.624E-3
147.600E-3,147.600E-15,147.621E-15,295.200E-15,295.470E-15,500.000E-3,499.616E-3
149.000E-3,149.000E-15,149.023E-15,298.000E-15,298.280E-15,500.000E-3,499.607E-3
150.400E-3,150.400E-15,150.424E-15,300.800E-15,301.090E-15,500.000E-3,499.599E-3
151.800E-3,151.800E-15,151.826E-15,303.600E-15,303.900E-15,500.000E-3,499.590E-3
153.200E-3,153.200E-15,153.227E-15,306.400E-15,306.711E-15,500.000E-3,499.581E-3
154.600E-3,154.600E-15,154.629E-15,309.200E-15,309.523E-15,500.000E-3,499.572E-3
156.000E-3,156.000E-15,156.031E-15,312.000E-15,312.334E-15,500.000E-3,499.563E-3
