Vbe ,/I4/C (A),/I4/B (A)
100.000E-3,2.15483E-12,55.3069E-15
102.329E-3,2.17313E-12,58.2862E-15
104.713E-3,2.19284E-12,61.4777E-15
107.152E-3,2.21420E-12,64.9003E-15
109.648E-3,2.23751E-12,68.5746E-15
112.202E-3,2.26309E-12,72.5237E-15
114.815E-3,2.29131E-12,76.7731E-15
117.490E-3,2.32264E-12,81.3510E-15
120.226E-3,2.35758E-12,86.2888E-15
123.027E-3,2.39676E-12,91.6214E-15
125.893E-3,2.44088E-12,97.3878E-15
128.825E-3,2.49081E-12,103.631E-15
131.826E-3,2.54753E-12,110.401E-15
134.896E-3,2.61224E-12,117.750E-15
138.038E-3,2.68636E-12,125.741E-15
141.254E-3,2.77157E-12,134.442E-15
144.544E-3,2.86989E-12,143.929E-15
147.911E-3,2.98376E-12,154.290E-15
151.356E-3,3.11609E-12,165.623E-15
154.882E-3,3.27043E-12,178.038E-15
158.489E-3,3.45105E-12,191.663E-15
162.181E-3,3.66317E-12,206.639E-15
165.959E-3,3.91316E-12,223.131E-15
169.824E-3,4.20880E-12,241.322E-15
173.780E-3,4.55969E-12,261.427E-15
177.828E-3,4.97764E-12,283.687E-15
181.970E-3,5.47728E-12,308.384E-15
186.209E-3,6.07680E-12,335.837E-15
190.546E-3,6.80073E-12,366.419E-15
194.984E-3,7.67351E-12,400.559E-15
199.526E-3,8.73301E-12,438.756E-15
204.174E-3,10.0243E-12,481.590E-15
208.930E-3,11.6046E-12,529.739E-15
213.796E-3,13.5465E-12,583.996E-15
218.776E-3,15.9430E-12,645.291E-15
223.872E-3,18.9136E-12,714.724E-15
229.087E-3,22.6122E-12,793.593E-15
234.423E-3,27.2384E-12,883.442E-15
239.883E-3,33.0517E-12,986.110E-15
245.471E-3,40.3920E-12,1.10380E-12
251.189E-3,49.7060E-12,1.23917E-12
257.040E-3,61.5835E-12,1.39541E-12
263.027E-3,76.8080E-12,1.57643E-12
269.153E-3,96.4256E-12,1.78699E-12
275.423E-3,121.840E-12,2.03294E-12
281.838E-3,154.945E-12,2.32151E-12
288.403E-3,198.312E-12,2.66173E-12
295.121E-3,255.449E-12,3.06491E-12
301.995E-3,331.173E-12,3.54535E-12
309.030E-3,432.138E-12,4.12128E-12
316.228E-3,567.590E-12,4.81612E-12
323.594E-3,750.458E-12,5.66026E-12
331.131E-3,998.941E-12,6.69352E-12
338.844E-3,1.33882E-9,7.96855E-12
346.737E-3,1.80687E-9,9.55576E-12
354.813E-3,2.45589E-9,11.5503E-12
363.078E-3,3.36227E-9,14.0823E-12
371.535E-3,4.63723E-9,17.3314E-12
380.189E-3,6.44404E-9,21.5492E-12
389.045E-3,9.02404E-9,27.0917E-12
398.107E-3,12.7368E-9,34.4687E-12
407.380E-3,18.1224E-9,44.4197E-12
416.869E-3,25.9981E-9,58.0294E-12
426.580E-3,37.6116E-9,76.9088E-12
436.516E-3,54.8834E-9,103.479E-12
446.684E-3,80.7948E-9,141.422E-12
457.088E-3,120.016E-9,196.402E-12
467.735E-3,179.927E-9,277.238E-12
478.630E-3,272.301E-9,397.821E-12
489.779E-3,416.095E-9,580.279E-12
501.187E-3,642.131E-9,860.274E-12
512.861E-3,1.00102E-6,1.29594E-9
524.807E-3,1.57670E-6,1.98316E-9
537.032E-3,2.50985E-6,3.08184E-9
549.541E-3,4.03875E-6,4.86187E-9
562.341E-3,6.57134E-6,7.78404E-9
575.440E-3,10.8138E-6,12.6444E-9
588.844E-3,18.0027E-6,20.8348E-9
602.560E-3,30.3278E-6,34.8179E-9
616.595E-3,51.7139E-6,59.0055E-9
630.957E-3,89.2792E-6,101.399E-9
645.654E-3,156.093E-6,176.693E-9
660.693E-3,276.445E-6,312.224E-9
676.083E-3,496.036E-6,559.487E-9
691.831E-3,901.871E-6,1.01673E-6
707.946E-3,1.66140E-3,1.87369E-6
724.436E-3,3.09974E-3,3.50084E-6
741.310E-3,5.85075E-3,6.62775E-6
758.578E-3,11.1446E-3,12.6961E-6
776.247E-3,21.3178E-3,24.5380E-6
794.328E-3,40.5751E-3,47.5863E-6
812.831E-3,75.7159E-3,91.7657E-6
831.764E-3,120.917E-3,298.232E-6
851.138E-3,147.716E-3,1.22636E-3
870.964E-3,177.567E-3,3.54692E-3
891.251E-3,213.931E-3,8.82294E-3
912.011E-3,256.234E-3,20.0994E-3
933.254E-3,300.505E-3,42.7328E-3
954.993E-3,340.970E-3,84.3368E-3
977.237E-3,372.603E-3,152.576E-3
1.00000,395.904E-3,250.864E-3
1.02329,413.347E-3,377.877E-3
1.04713,427.456E-3,529.811E-3
1.07152,439.863E-3,702.632E-3
1.09648,451.546E-3,892.942E-3
1.12202,463.095E-3,1.09810
1.14815,474.873E-3,1.31610
1.17490,487.115E-3,1.54542
1.20226,499.982E-3,1.78491
1.23027,513.590E-3,2.03364
1.25893,528.030E-3,2.29089
1.28825,543.374E-3,2.55606
1.31826,559.680E-3,2.82865
1.34896,576.997E-3,3.10824
1.38038,595.360E-3,3.39445
1.41254,614.796E-3,3.68693
1.44544,635.313E-3,3.98540
1.47911,656.905E-3,4.28957
1.50000,670.587E-3,4.47751
