Ic,Input_noise
1.0,3.795730185702079e-09
1.25893,3.416400033494287e-09
1.58489,3.082007319749129e-09
1.99526,2.7879427426628114e-09
2.51189,2.5301169030242685e-09
3.16228,2.3048597059261164e-09
3.98107,2.108854161860368e-09
5.01187,1.939092281595038e-09
6.30957,1.792826513762947e-09
7.94328,1.6675253193087969e-09
10.0,1.5608430227974659e-09
12.5893,1.4705961704140649e-09
15.8489,1.394758434084289e-09
19.9526,1.3314415688219894e-09
25.1189,1.278914904068073e-09
31.6228,1.2356018792275767e-09
39.8107,1.2000836492303843e-09
50.1187,1.171102926819279e-09
63.0957,1.147561269996368e-09
79.4328,1.1285115181530612e-09
100.0,1.1131474618091216e-09
125.893,1.1007903920339186e-09
158.489,1.0908754679134838e-09
199.526,1.0829348284496407e-09
251.189,1.0765855798473623e-09
316.228,1.0715154585658616e-09
398.107,1.0674709616966394e-09
501.187,1.0642473321888126e-09
630.957,1.0616797372042589e-09
794.328,1.059635787528408e-09
1000.0,1.0580094067274382e-09
1258.93,1.0567157263284933e-09
1584.89,1.055687030421461e-09
1995.26,1.0548691681044916e-09
2511.89,1.0542190610229284e-09
3162.28,1.0537023846158352e-09
3981.07,1.0532917938335471e-09
5011.87,1.0529655340786976e-09
6309.57,1.0527063047163473e-09
7943.28,1.052500345734685e-09
10000.0,1.0523367179866486e-09
12589.3,1.0522067240697202e-09
15848.9,1.0521034588720565e-09
19952.6,1.0520214226584375e-09
25118.9,1.0519562540395599e-09
31622.8,1.0519044866740736e-09
39810.7,1.0518633646278617e-09
50118.7,1.0518306988989722e-09
63095.7,1.0518047508684736e-09
79432.8,1.0517841391310764e-09
100000.0,1.0517677663594886e-09
125893.0,1.051754760658724e-09
158489.0,1.051744430157627e-09
199526.0,1.051736224023764e-09
251189.0,1.0517297055764048e-09
316228.0,1.0517245278394155e-09
398107.0,1.0517204150035129e-09
501187.0,1.0517171480322867e-09
630957.0,1.0517145529778914e-09
794328.0,1.0517124916455573e-09
1000000.0,1.0517108542683297e-09
1258930.0,1.0517095536351115e-09
1584890.0,1.0517085205451632e-09
1995260.0,1.051707699906639e-09
2511890.0,1.051707048046042e-09
3162280.0,1.0517065302623355e-09
3981070.0,1.051706118972431e-09
5011870.0,1.051705792271324e-09
6309570.0,1.0517055327633706e-09
7943280.0,1.0517053266285512e-09
10000000.0,1.0517051628898277e-09
12589300.0,1.0517050328258742e-09
15848900.0,1.0517049295164811e-09
19952600.0,1.051704847452377e-09
25118900.0,1.0517047822661589e-09
31622800.0,1.051704730487688e-09
39810700.0,1.0517046893586346e-09
50118700.0,1.051704656688484e-09
63095700.0,1.0517046307376635e-09
79432800.0,1.0517046101241657e-09
100000000.0,1.0517045937502834e-09
125893000.0,1.0517045807438816e-09
158489000.0,1.0517045704129384e-09
199526000.0,1.0517045622065254e-09
251189000.0,1.0517045556879021e-09
316228000.0,1.051704550510054e-09
398107000.0,1.051704546397148e-09
501187000.0,1.0517045431301327e-09
630957000.0,1.0517045405350502e-09
794328000.0,1.0517045384737004e-09
1000000000.0,1.051704536836312e-09
