f,noise
1.0,3.93496758185146e-09
1.00231,3.930754470213316e-09
1.00462,3.926556244196959e-09
1.00693,3.922372817898229e-09
1.00925,3.918186091596154e-09
1.01158,3.913996171028884e-09
1.01391,3.9098210484481496e-09
1.01625,3.905642814249396e-09
1.01859,3.901479333482586e-09
1.02094,3.897312822464135e-09
1.02329,3.893161019971615e-09
1.02565,3.8890062673293565e-09
1.02802,3.884848666292981e-09
1.03039,3.8807057674903765e-09
1.03276,3.8765774860359644e-09
1.03514,3.872446410810153e-09
1.03753,3.868312641430612e-09
1.03992,3.864193481246598e-09
1.04232,3.860071702162706e-09
1.04472,3.8559644851296105e-09
1.04713,3.851854723259934e-09
1.04954,3.8477594760133e-09
1.05196,3.843661756818471e-09
1.05439,3.839561661501141e-09
1.05682,3.835476068518153e-09
1.05925,3.831404894152018e-09
1.0617,3.827314724988621e-09
1.06414,3.82325565001821e-09
1.0666,3.819177767195791e-09
1.06905,3.815130811747508e-09
1.07152,3.811065233399408e-09
1.07399,3.807014043579977e-09
1.07647,3.8029608445046894e-09
1.07895,3.798921983517425e-09
1.08143,3.794897377867274e-09
1.08393,3.790854660660372e-09
1.08643,3.78682626281627e-09
1.08893,3.7828121015956665e-09
1.09144,3.77879612321086e-09
1.09396,3.7747784153078395e-09
1.09648,3.770774923568887e-09
1.09901,3.766769763210067e-09
1.10154,3.762778767008672e-09
1.10408,3.758786162075188e-09
1.10662,3.7548076691432815e-09
1.10917,3.750827626370601e-09
1.11173,3.746846117997578e-09
1.11429,3.7428786978715685e-09
1.11686,3.738909869043456e-09
1.11944,3.7349397142397826e-09
1.12202,3.730983622019294e-09
1.1246,3.727041511168537e-09
1.1272,3.7230829039735586e-09
1.1298,3.7191383321549422e-09
1.1324,3.715207714586811e-09
1.13501,3.711275933076425e-09
1.13763,3.7073430671059564e-09
1.14025,3.7034241267812363e-09
1.14288,3.6995041532074904e-09
1.14551,3.695598050155557e-09
1.14815,3.6916909641803233e-09
1.1508,3.6877829724705664e-09
1.15345,3.6838888204394954e-09
1.15611,3.6799938111839945e-09
1.15878,3.6760980204801705e-09
1.16145,3.6722160369424287e-09
1.16413,3.668333318686193e-09
1.16681,3.6644643508909373e-09
1.1695,3.6605946942796005e-09
1.1722,3.656724422423666e-09
1.1749,3.6528678664775017e-09
1.17761,3.649010739465851e-09
1.18032,3.6451672709452468e-09
1.18304,3.6413232747451136e-09
1.18577,3.637478822287951e-09
1.1885,3.6336479918475365e-09
1.19124,3.629816746868693e-09
1.19399,3.6259851574469287e-09
1.19674,3.6221671520959632e-09
1.1995,3.6183488423874656e-09
1.20226,3.6145440580630806e-09
1.20504,3.6107252965306727e-09
1.20781,3.606933762415864e-09
1.2106,3.603128386625963e-09
1.21339,3.5993365150680517e-09
1.21619,3.5955445509522247e-09
1.21899,3.5917660312207186e-09
1.2218,3.587987455154222e-09
1.22462,3.5842088882538604e-09
1.22744,3.580443723392585e-09
1.23027,3.576678602407793e-09
1.2331,3.5729268231695087e-09
1.23595,3.569161935146767e-09
1.2388,3.565410422100976e-09
1.24165,3.5616722066950064e-09
1.24451,3.5579341652440176e-09
1.24738,3.5541963600980258e-09
1.25026,3.5504588531022774e-09
1.25314,3.546734613959276e-09
1.25603,3.5430107033332272e-09
1.25893,3.539287181887842e-09
1.26183,3.5355768811454645e-09
1.26474,3.531866998566529e-09
1.26765,3.5281702745712763e-09
1.27057,3.52447399713421e-09
1.2735,3.52077822509827e-09
1.27644,3.5170830168201207e-09
1.27938,3.5134009319615448e-09
1.28233,3.509719437168484e-09
1.28529,3.506038589671295e-09
1.28825,3.5023708152793916e-09
1.29122,3.4987037131998515e-09
1.2942,3.4950373395549157e-09
1.29718,3.4913839877269066e-09
1.30017,3.4877313880888915e-09
1.30317,3.484079595673053e-09
1.30617,3.4804407728504226e-09
1.30918,3.4768027797739863e-09
1.3122,3.4731656704037976e-09
1.31522,3.469541477505703e-09
1.31826,3.4659062529095e-09
1.3213,3.4622839654067366e-09
1.32434,3.4586745401495683e-09
1.32739,3.4550660928694774e-09
1.33045,3.4514586754350163e-09
1.33352,3.4478523392669525e-09
