freq (Hz),input noise; V / sqrt(Hz) dR 0  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 100  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 101  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 102  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 103  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 104  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 105  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 106  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 107  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 108  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 109  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 110  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 111  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 112  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 113  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 114  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 115  (V / sqrt(Hz))
1.00000,4.89511E-9,4.94962E-9,5.11015E-9,5.36704E-9,5.70719E-9,6.11660E-9,6.58225E-9,7.09298E-9,7.63965E-9,8.21501E-9,8.81337E-9,9.43026E-9,10.0622E-9,10.7065E-9,11.3610E-9,12.0239E-9,12.6938E-9,13.3698E-9,14.0508E-9,14.7360E-9,15.4250E-9,16.1171E-9,16.8120E-9,17.5092E-9,18.2085E-9,18.9096E-9,19.6123E-9,20.3163E-9,21.0215E-9,21.7278E-9,22.4350E-9,23.1430E-9,23.8517E-9,24.5610E-9,25.2709E-9,25.9812E-9,26.6920E-9,27.4030E-9,28.1144E-9,28.8261E-9,29.5379E-9,30.2499E-9,30.9621E-9,31.6744E-9,32.3867E-9,33.0991E-9,33.8115E-9,34.5240E-9,35.2364E-9,35.9488E-9,36.6612E-9,37.3735E-9,38.0857E-9,38.7979E-9,39.5099E-9,40.2219E-9,40.9337E-9,41.6454E-9,42.3569E-9,43.0683E-9,43.7796E-9,44.4907E-9,45.2016E-9,45.9123E-9,46.6229E-9,47.3332E-9,48.0434E-9,48.7534E-9,49.4631E-9,50.1727E-9,50.8820E-9,51.5912E-9,52.3001E-9,53.0088E-9,53.7172E-9,54.4255E-9,55.1335E-9,55.8412E-9,56.5488E-9,57.2561E-9,57.9631E-9,58.6699E-9,59.3765E-9,60.0828E-9,60.7888E-9,61.4947E-9,62.2002E-9,62.9055E-9,63.6105E-9,64.3153E-9,65.0198E-9,65.7241E-9,66.4281E-9,67.1318E-9,67.8353E-9,68.5385E-9,69.2415E-9,69.9441E-9,70.6465E-9,71.3487E-9,72.0505E-9,72.7521E-9,73.4534E-9,74.1545E-9,74.8552E-9,75.5557E-9,76.2560E-9,76.9559E-9,77.6556E-9,78.3550E-9,79.0541E-9,79.7530E-9,80.4515E-9,81.1498E-9,81.8478E-9,82.5455E-9
1.25893,4.36002E-9,4.40696E-9,4.54530E-9,4.76698E-9,5.06095E-9,5.41535E-9,5.81906E-9,6.26246E-9,6.73763E-9,7.23826E-9,7.75934E-9,8.29695E-9,8.84803E-9,9.41015E-9,9.98138E-9,10.5602E-9,11.1454E-9,11.7359E-9,12.3310E-9,12.9300E-9,13.5323E-9,14.1375E-9,14.7451E-9,15.3549E-9,15.9665E-9,16.5798E-9,17.1945E-9,17.8105E-9,18.4275E-9,19.0455E-9,19.6643E-9,20.2839E-9,20.9041E-9,21.5249E-9,22.1462E-9,22.7679E-9,23.3900E-9,24.0124E-9,24.6351E-9,25.2580E-9,25.8811E-9,26.5044E-9,27.1278E-9,27.7514E-9,28.3750E-9,28.9987E-9,29.6224E-9,30.2461E-9,30.8699E-9,31.4936E-9,32.1173E-9,32.7409E-9,33.3645E-9,33.9880E-9,34.6115E-9,35.2348E-9,35.8580E-9,36.4812E-9,37.1042E-9,37.7271E-9,38.3499E-9,38.9725E-9,39.5950E-9,40.2173E-9,40.8395E-9,41.4615E-9,42.0833E-9,42.7050E-9,43.3265E-9,43.9478E-9,44.5690E-9,45.1899E-9,45.8107E-9,46.4313E-9,47.0516E-9,47.6718E-9,48.2918E-9,48.9116E-9,49.5311E-9,50.1505E-9,50.7697E-9,51.3886E-9,52.0073E-9,52.6258E-9,53.2441E-9,53.8622E-9,54.4800E-9,55.0977E-9,55.7151E-9,56.3322E-9,56.9492E-9,57.5659E-9,58.1824E-9,58.7987E-9,59.4147E-9,60.0305E-9,60.6461E-9,61.2614E-9,61.8766E-9,62.4914E-9,63.1061E-9,63.7205E-9,64.3346E-9,64.9485E-9,65.5622E-9,66.1757E-9,66.7889E-9,67.4018E-9,68.0146E-9,68.6270E-9,69.2393E-9,69.8513E-9,70.4630E-9,71.0746E-9,71.6858E-9,72.2969E-9
1.58489,3.89022E-9,3.93057E-9,4.04959E-9,4.24058E-9,4.49426E-9,4.80063E-9,5.15021E-9,5.53475E-9,5.94739E-9,6.38262E-9,6.83607E-9,7.30429E-9,7.78457E-9,8.27474E-9,8.77312E-9,9.27832E-9,9.78926E-9,10.3050E-9,10.8249E-9,11.3483E-9,11.8747E-9,12.4037E-9,12.9350E-9,13.4682E-9,14.0030E-9,14.5394E-9,15.0771E-9,15.6159E-9,16.1557E-9,16.6963E-9,17.2378E-9,17.7799E-9,18.3226E-9,18.8659E-9,19.4096E-9,19.9537E-9,20.4981E-9,21.0429E-9,21.5879E-9,22.1331E-9,22.6786E-9,23.2241E-9,23.7699E-9,24.3157E-9,24.8616E-9,25.4076E-9,25.9536E-9,26.4996E-9,27.0457E-9,27.5917E-9,28.1377E-9,28.6837E-9,29.2297E-9,29.7756E-9,30.3214E-9,30.8672E-9,31.4129E-9,31.9584E-9,32.5039E-9,33.0493E-9,33.5946E-9,34.1398E-9,34.6848E-9,35.2297E-9,35.7745E-9,36.3191E-9,36.8636E-9,37.4080E-9,37.9522E-9,38.4962E-9,39.0401E-9,39.5838E-9,40.1274E-9,40.6708E-9,41.2140E-9,41.7571E-9,42.3000E-9,42.8427E-9,43.3852E-9,43.9275E-9,44.4697E-9,45.0117E-9,45.5535E-9,46.0951E-9,46.6365E-9,47.1778E-9,47.7188E-9,48.2597E-9,48.8003E-9,49.3408E-9,49.8810E-9,50.4211E-9,50.9610E-9,51.5006E-9,52.0401E-9,52.5793E-9,53.1184E-9,53.6573E-9,54.1959E-9,54.7344E-9,55.2726E-9,55.8106E-9,56.3485E-9,56.8861E-9,57.4235E-9,57.9607E-9,58.4977E-9,59.0345E-9,59.5711E-9,60.1074E-9,60.6436E-9,61.1795E-9,61.7153E-9,62.2508E-9,62.7861E-9,63.3212E-9
1.99526,3.47846E-9,3.51307E-9,3.61527E-9,3.77948E-9,3.99800E-9,4.26241E-9,4.56467E-9,4.89771E-9,5.25562E-9,5.63362E-9,6.02786E-9,6.43531E-9,6.85357E-9,7.28074E-9,7.71530E-9,8.15602E-9,8.60192E-9,9.05220E-9,9.50621E-9,9.96340E-9,10.4233E-9,10.8856E-9,11.3499E-9,11.8160E-9,12.2837E-9,12.7527E-9,13.2229E-9,13.6941E-9,14.1663E-9,14.6392E-9,15.1129E-9,15.5872E-9,16.0620E-9,16.5374E-9,17.0131E-9,17.4892E-9,17.9657E-9,18.4424E-9,18.9194E-9,19.3966E-9,19.8740E-9,20.3515E-9,20.8292E-9,21.3069E-9,21.7848E-9,22.2627E-9,22.7406E-9,23.2186E-9,23.6967E-9,24.1747E-9,24.6527E-9,25.1307E-9,25.6086E-9,26.0865E-9,26.5644E-9,27.0422E-9,27.5200E-9,27.9976E-9,28.4752E-9,28.9527E-9,29.4301E-9,29.9074E-9,30.3846E-9,30.8617E-9,31.3387E-9,31.8156E-9,32.2923E-9,32.7690E-9,33.2455E-9,33.7218E-9,34.1981E-9,34.6742E-9,35.1501E-9,35.6259E-9,36.1016E-9,36.5771E-9,37.0525E-9,37.5277E-9,38.0027E-9,38.4776E-9,38.9524E-9,39.4270E-9,39.9014E-9,40.3757E-9,40.8498E-9,41.3237E-9,41.7975E-9,42.2711E-9,42.7445E-9,43.2178E-9,43.6909E-9,44.1638E-9,44.6366E-9,45.1091E-9,45.5815E-9,46.0538E-9,46.5258E-9,46.9977E-9,47.4694E-9,47.9409E-9,48.4122E-9,48.8834E-9,49.3544E-9,49.8251E-9,50.2958E-9,50.7662E-9,51.2364E-9,51.7065E-9,52.1764E-9,52.6461E-9,53.1156E-9,53.5850E-9,54.0541E-9,54.5231E-9,54.9918E-9,55.4604E-9
2.51189,3.11835E-9,3.14796E-9,3.23548E-9,3.37634E-9,3.56415E-9,3.79188E-9,4.05275E-9,4.34072E-9,4.65071E-9,4.97856E-9,5.32093E-9,5.67514E-9,6.03907E-9,6.41103E-9,6.78967E-9,7.17388E-9,7.56280E-9,7.95570E-9,8.35198E-9,8.75117E-9,9.15285E-9,9.55669E-9,9.96239E-9,10.3697E-9,10.7785E-9,11.1885E-9,11.5996E-9,12.0116E-9,12.4245E-9,12.8381E-9,13.2524E-9,13.6673E-9,14.0827E-9,14.4985E-9,14.9147E-9,15.3313E-9,15.7482E-9,16.1654E-9,16.5827E-9,17.0003E-9,17.4181E-9,17.8360E-9,18.2541E-9,18.6722E-9,19.0904E-9,19.5088E-9,19.9271E-9,20.3455E-9,20.7639E-9,21.1824E-9,21.6008E-9,22.0192E-9,22.4376E-9,22.8560E-9,23.2743E-9,23.6926E-9,24.1108E-9,24.5290E-9,24.9471E-9,25.3652E-9,25.7832E-9,26.2010E-9,26.6188E-9,27.0365E-9,27.4542E-9,27.8717E-9,28.2891E-9,28.7064E-9,29.1236E-9,29.5407E-9,29.9577E-9,30.3745E-9,30.7913E-9,31.2079E-9,31.6244E-9,32.0407E-9,32.4570E-9,32.8731E-9,33.2890E-9,33.7049E-9,34.1206E-9,34.5361E-9,34.9516E-9,35.3668E-9,35.7820E-9,36.1970E-9,36.6118E-9,37.0265E-9,37.4411E-9,37.8555E-9,38.2698E-9,38.6839E-9,39.0979E-9,39.5117E-9,39.9254E-9,40.3389E-9,40.7522E-9,41.1654E-9,41.5785E-9,41.9914E-9,42.4041E-9,42.8167E-9,43.2291E-9,43.6414E-9,44.0535E-9,44.4655E-9,44.8773E-9,45.2889E-9,45.7004E-9,46.1117E-9,46.5228E-9,46.9338E-9,47.3447E-9,47.7554E-9,48.1659E-9,48.5762E-9
3.16228,2.80422E-9,2.82947E-9,2.90420E-9,3.02468E-9,3.18567E-9,3.38132E-9,3.60595E-9,3.85444E-9,4.12244E-9,4.40635E-9,4.70325E-9,5.01078E-9,5.32708E-9,5.65064E-9,5.98025E-9,6.31493E-9,6.65389E-9,6.99649E-9,7.34218E-9,7.69052E-9,8.04116E-9,8.39377E-9,8.74810E-9,9.10393E-9,9.46107E-9,9.81936E-9,10.1787E-9,10.5388E-9,10.8998E-9,11.2615E-9,11.6237E-9,11.9865E-9,12.3498E-9,12.7135E-9,13.0776E-9,13.4420E-9,13.8068E-9,14.1717E-9,14.5369E-9,14.9023E-9,15.2678E-9,15.6335E-9,15.9993E-9,16.3653E-9,16.7313E-9,17.0974E-9,17.4635E-9,17.8297E-9,18.1959E-9,18.5622E-9,18.9284E-9,19.2947E-9,19.6609E-9,20.0271E-9,20.3933E-9,20.7595E-9,21.1256E-9,21.4917E-9,21.8577E-9,22.2236E-9,22.5895E-9,22.9554E-9,23.3212E-9,23.6868E-9,24.0525E-9,24.4180E-9,24.7834E-9,25.1488E-9,25.5141E-9,25.8792E-9,26.2443E-9,26.6093E-9,26.9741E-9,27.3389E-9,27.7036E-9,28.0681E-9,28.4326E-9,28.7969E-9,29.1611E-9,29.5252E-9,29.8892E-9,30.2530E-9,30.6168E-9,30.9804E-9,31.3439E-9,31.7073E-9,32.0705E-9,32.4337E-9,32.7967E-9,33.1595E-9,33.5223E-9,33.8849E-9,34.2474E-9,34.6097E-9,34.9720E-9,35.3341E-9,35.6960E-9,36.0578E-9,36.4195E-9,36.7811E-9,37.1425E-9,37.5038E-9,37.8649E-9,38.2260E-9,38.5868E-9,38.9476E-9,39.3082E-9,39.6686E-9,40.0290E-9,40.3891E-9,40.7492E-9,41.1091E-9,41.4688E-9,41.8285E-9,42.1879E-9,42.5473E-9
3.98107,2.53108E-9,2.55254E-9,2.61612E-9,2.71881E-9,2.85634E-9,3.02393E-9,3.21683E-9,3.43072E-9,3.66191E-9,3.90727E-9,4.16427E-9,4.43086E-9,4.70537E-9,4.98646E-9,5.27306E-9,5.56430E-9,5.85944E-9,6.15792E-9,6.45924E-9,6.76301E-9,7.06888E-9,7.37659E-9,7.68588E-9,7.99656E-9,8.30846E-9,8.62142E-9,8.93532E-9,9.25005E-9,9.56551E-9,9.88162E-9,10.1983E-9,10.5155E-9,10.8331E-9,11.1512E-9,11.4696E-9,11.7883E-9,12.1073E-9,12.4265E-9,12.7459E-9,13.0656E-9,13.3854E-9,13.7053E-9,14.0254E-9,14.3456E-9,14.6658E-9,14.9862E-9,15.3066E-9,15.6270E-9,15.9475E-9,16.2680E-9,16.5886E-9,16.9091E-9,17.2296E-9,17.5502E-9,17.8707E-9,18.1912E-9,18.5117E-9,18.8321E-9,19.1525E-9,19.4728E-9,19.7931E-9,20.1134E-9,20.4336E-9,20.7537E-9,21.0738E-9,21.3938E-9,21.7137E-9,22.0335E-9,22.3533E-9,22.6730E-9,22.9926E-9,23.3121E-9,23.6316E-9,23.9509E-9,24.2702E-9,24.5894E-9,24.9084E-9,25.2274E-9,25.5463E-9,25.8651E-9,26.1838E-9,26.5023E-9,26.8208E-9,27.1392E-9,27.4575E-9,27.7756E-9,28.0937E-9,28.4116E-9,28.7295E-9,29.0472E-9,29.3648E-9,29.6823E-9,29.9997E-9,30.3170E-9,30.6342E-9,30.9512E-9,31.2682E-9,31.5850E-9,31.9017E-9,32.2183E-9,32.5348E-9,32.8511E-9,33.1674E-9,33.4835E-9,33.7995E-9,34.1153E-9,34.4311E-9,34.7467E-9,35.0623E-9,35.3777E-9,35.6929E-9,36.0081E-9,36.3231E-9,36.6380E-9,36.9528E-9,37.2675E-9
5.01187,2.29447E-9,2.31263E-9,2.36649E-9,2.45366E-9,2.57071E-9,2.71374E-9,2.87883E-9,3.06239E-9,3.26127E-9,3.47280E-9,3.69478E-9,3.92541E-9,4.16323E-9,4.40704E-9,4.65589E-9,4.90898E-9,5.16567E-9,5.42544E-9,5.68783E-9,5.95248E-9,6.21909E-9,6.48740E-9,6.75719E-9,7.02827E-9,7.30049E-9,7.57371E-9,7.84781E-9,8.12268E-9,8.39825E-9,8.67443E-9,8.95114E-9,9.22835E-9,9.50598E-9,9.78399E-9,10.0623E-9,10.3410E-9,10.6199E-9,10.8991E-9,11.1784E-9,11.4580E-9,11.7377E-9,12.0175E-9,12.2975E-9,12.5776E-9,12.8578E-9,13.1381E-9,13.4184E-9,13.6988E-9,13.9792E-9,14.2596E-9,14.5401E-9,14.8206E-9,15.1011E-9,15.3816E-9,15.6621E-9,15.9426E-9,16.2231E-9,16.5035E-9,16.7840E-9,17.0644E-9,17.3447E-9,17.6250E-9,17.9053E-9,18.1855E-9,18.4656E-9,18.7458E-9,19.0258E-9,19.3058E-9,19.5857E-9,19.8656E-9,20.1454E-9,20.4251E-9,20.7047E-9,20.9843E-9,21.2638E-9,21.5432E-9,21.8226E-9,22.1018E-9,22.3810E-9,22.6601E-9,22.9391E-9,23.2180E-9,23.4968E-9,23.7756E-9,24.0542E-9,24.3328E-9,24.6113E-9,24.8896E-9,25.1679E-9,25.4461E-9,25.7242E-9,26.0022E-9,26.2801E-9,26.5579E-9,26.8356E-9,27.1132E-9,27.3907E-9,27.6681E-9,27.9454E-9,28.2226E-9,28.4997E-9,28.7767E-9,29.0536E-9,29.3304E-9,29.6071E-9,29.8837E-9,30.1602E-9,30.4366E-9,30.7129E-9,30.9890E-9,31.2651E-9,31.5411E-9,31.8169E-9,32.0927E-9,32.3683E-9,32.6438E-9
6.30957,2.09042E-9,2.10570E-9,2.15111E-9,2.22475E-9,2.32391E-9,2.44546E-9,2.58620E-9,2.74315E-9,2.91367E-9,3.09549E-9,3.28670E-9,3.48573E-9,3.69130E-9,3.90236E-9,4.11804E-9,4.33762E-9,4.56054E-9,4.78630E-9,5.01450E-9,5.24481E-9,5.47696E-9,5.71069E-9,5.94581E-9,6.18215E-9,6.41956E-9,6.65791E-9,6.89709E-9,7.13701E-9,7.37759E-9,7.61874E-9,7.86042E-9,8.10256E-9,8.34511E-9,8.58802E-9,8.83126E-9,9.07480E-9,9.31859E-9,9.56262E-9,9.80685E-9,10.0513E-9,10.2958E-9,10.5406E-9,10.7854E-9,11.0304E-9,11.2754E-9,11.5206E-9,11.7658E-9,12.0110E-9,12.2563E-9,12.5017E-9,12.7471E-9,12.9925E-9,13.2379E-9,13.4834E-9,13.7288E-9,13.9742E-9,14.2197E-9,14.4651E-9,14.7105E-9,14.9559E-9,15.2012E-9,15.4465E-9,15.6918E-9,15.9370E-9,16.1823E-9,16.4274E-9,16.6725E-9,16.9176E-9,17.1626E-9,17.4076E-9,17.6525E-9,17.8973E-9,18.1421E-9,18.3868E-9,18.6315E-9,18.8761E-9,19.1206E-9,19.3651E-9,19.6095E-9,19.8538E-9,20.0981E-9,20.3422E-9,20.5863E-9,20.8304E-9,21.0743E-9,21.3182E-9,21.5620E-9,21.8057E-9,22.0493E-9,22.2929E-9,22.5363E-9,22.7797E-9,23.0230E-9,23.2663E-9,23.5094E-9,23.7524E-9,23.9954E-9,24.2383E-9,24.4811E-9,24.7238E-9,24.9664E-9,25.2089E-9,25.4514E-9,25.6937E-9,25.9360E-9,26.1782E-9,26.4203E-9,26.6622E-9,26.9042E-9,27.1460E-9,27.3877E-9,27.6293E-9,27.8709E-9,28.1123E-9,28.3537E-9,28.5949E-9
7.94328,1.91533E-9,1.92813E-9,1.96619E-9,2.02807E-9,2.11163E-9,2.21441E-9,2.33383E-9,2.46745E-9,2.61307E-9,2.76878E-9,2.93294E-9,3.10419E-9,3.28140E-9,3.46365E-9,3.65015E-9,3.84028E-9,4.03350E-9,4.22937E-9,4.42753E-9,4.62767E-9,4.82954E-9,5.03290E-9,5.23757E-9,5.44340E-9,5.65025E-9,5.85799E-9,6.06653E-9,6.27578E-9,6.48565E-9,6.69608E-9,6.90701E-9,7.11839E-9,7.33016E-9,7.54230E-9,7.75475E-9,7.96748E-9,8.18048E-9,8.39370E-9,8.60713E-9,8.82074E-9,9.03451E-9,9.24843E-9,9.46247E-9,9.67663E-9,9.89089E-9,10.1052E-9,10.3197E-9,10.5342E-9,10.7487E-9,10.9633E-9,11.1779E-9,11.3926E-9,11.6073E-9,11.8220E-9,12.0367E-9,12.2514E-9,12.4661E-9,12.6808E-9,12.8955E-9,13.1102E-9,13.3249E-9,13.5396E-9,13.7542E-9,13.9688E-9,14.1834E-9,14.3979E-9,14.6124E-9,14.8269E-9,15.0413E-9,15.2557E-9,15.4701E-9,15.6844E-9,15.8986E-9,16.1128E-9,16.3270E-9,16.5410E-9,16.7551E-9,16.9691E-9,17.1830E-9,17.3968E-9,17.6106E-9,17.8244E-9,18.0381E-9,18.2517E-9,18.4652E-9,18.6787E-9,18.8921E-9,19.1055E-9,19.3187E-9,19.5320E-9,19.7451E-9,19.9582E-9,20.1712E-9,20.3841E-9,20.5970E-9,20.8097E-9,21.0224E-9,21.2351E-9,21.4476E-9,21.6601E-9,21.8725E-9,22.0849E-9,22.2971E-9,22.5093E-9,22.7214E-9,22.9335E-9,23.1454E-9,23.3573E-9,23.5691E-9,23.7808E-9,23.9924E-9,24.2040E-9,24.4155E-9,24.6269E-9,24.8382E-9,25.0494E-9
