Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,1.95025E-6,15.5173E-9,15.5173E-9,15.5173E-9,15.5173E-9
97.7237E3,1.99504E-6,15.3383E-9,15.3383E-9,15.3383E-9,15.3383E-9
95.4993E3,2.04086E-6,15.1654E-9,15.1654E-9,15.1654E-9,15.1654E-9
93.3254E3,2.08772E-6,14.9944E-9,14.9944E-9,14.9944E-9,14.9944E-9
91.2011E3,2.13567E-6,14.8253E-9,14.8253E-9,14.8253E-9,14.8253E-9
89.1251E3,2.18471E-6,14.6581E-9,14.6581E-9,14.6581E-9,14.6581E-9
87.0964E3,2.23487E-6,14.4928E-9,14.4928E-9,14.4928E-9,14.4928E-9
85.1138E3,2.28619E-6,14.3293E-9,14.3293E-9,14.3293E-9,14.3293E-9
83.1764E3,2.33869E-6,14.1677E-9,14.1677E-9,14.1677E-9,14.1677E-9
81.2831E3,2.39238E-6,14.0080E-9,14.0080E-9,14.0080E-9,14.0080E-9
79.4328E3,2.44731E-6,13.8500E-9,13.8500E-9,13.8500E-9,13.8500E-9
77.6247E3,2.50350E-6,13.6939E-9,13.6938E-9,13.6938E-9,13.6938E-9
75.8578E3,2.56098E-6,13.5395E-9,13.5394E-9,13.5394E-9,13.5394E-9
74.1310E3,2.61977E-6,13.3868E-9,13.3868E-9,13.3868E-9,13.3868E-9
72.4436E3,2.67992E-6,13.2359E-9,13.2359E-9,13.2359E-9,13.2359E-9
70.7946E3,2.74144E-6,13.0866E-9,13.0866E-9,13.0866E-9,13.0866E-9
69.1831E3,2.80437E-6,12.9391E-9,12.9391E-9,12.9391E-9,12.9391E-9
67.6083E3,2.86874E-6,12.7933E-9,12.7932E-9,12.7932E-9,12.7932E-9
66.0693E3,2.93459E-6,12.6490E-9,12.6490E-9,12.6490E-9,12.6490E-9
64.5654E3,3.00195E-6,12.5065E-9,12.5065E-9,12.5065E-9,12.5065E-9
63.0957E3,3.07085E-6,12.3655E-9,12.3655E-9,12.3655E-9,12.3655E-9
61.6595E3,3.14133E-6,12.2261E-9,12.2261E-9,12.2261E-9,12.2261E-9
60.2560E3,3.21342E-6,12.0883E-9,12.0883E-9,12.0883E-9,12.0883E-9
58.8844E3,3.28717E-6,11.9521E-9,11.9521E-9,11.9521E-9,11.9521E-9
57.5440E3,3.36260E-6,11.8174E-9,11.8174E-9,11.8174E-9,11.8174E-9
56.2341E3,3.43977E-6,11.6842E-9,11.6842E-9,11.6842E-9,11.6842E-9
