Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,15.7237E-9,15.5551E-9,15.5417E-9,15.5406E-9
97.7237E3,15.5466E-9,15.3760E-9,15.3624E-9,15.3613E-9
95.4993E3,15.3755E-9,15.2030E-9,15.1892E-9,15.1881E-9
93.3254E3,15.2063E-9,15.0319E-9,15.0179E-9,15.0168E-9
91.2011E3,15.0391E-9,14.8627E-9,14.8486E-9,14.8475E-9
89.1251E3,14.8738E-9,14.6954E-9,14.6811E-9,14.6800E-9
87.0964E3,14.7105E-9,14.5300E-9,14.5156E-9,14.5144E-9
85.1138E3,14.5490E-9,14.3665E-9,14.3519E-9,14.3508E-9
83.1764E3,14.3895E-9,14.2049E-9,14.1901E-9,14.1889E-9
81.2831E3,14.2318E-9,14.0450E-9,14.0301E-9,14.0289E-9
79.4328E3,14.0759E-9,13.8870E-9,13.8719E-9,13.8707E-9
77.6247E3,13.9219E-9,13.7308E-9,13.7155E-9,13.7143E-9
75.8578E3,13.7696E-9,13.5764E-9,13.5609E-9,13.5597E-9
74.1310E3,13.6192E-9,13.4237E-9,13.4080E-9,13.4068E-9
72.4436E3,13.4705E-9,13.2727E-9,13.2569E-9,13.2556E-9
70.7946E3,13.3235E-9,13.1235E-9,13.1075E-9,13.1062E-9
69.1831E3,13.1783E-9,12.9759E-9,12.9597E-9,12.9584E-9
67.6083E3,13.0347E-9,12.8300E-9,12.8136E-9,12.8123E-9
66.0693E3,12.8929E-9,12.6858E-9,12.6692E-9,12.6679E-9
64.5654E3,12.7527E-9,12.5432E-9,12.5265E-9,12.5251E-9
63.0957E3,12.6142E-9,12.4023E-9,12.3853E-9,12.3839E-9
61.6595E3,12.4773E-9,12.2629E-9,12.2457E-9,12.2444E-9
60.2560E3,12.3420E-9,12.1251E-9,12.1077E-9,12.1064E-9
58.8844E3,12.2083E-9,11.9889E-9,11.9713E-9,11.9699E-9
57.5440E3,12.0762E-9,11.8542E-9,11.8364E-9,11.8350E-9
56.2341E3,11.9457E-9,11.7211E-9,11.7031E-9,11.7017E-9
54.9541E3,11.8167E-9,11.5895E-9,11.5712E-9,11.5698E-9
53.7032E3,11.6892E-9,11.4594E-9,11.4409E-9,11.4394E-9
52.4807E3,11.5633E-9,11.3307E-9,11.3120E-9,11.3105E-9
51.2861E3,11.4388E-9,11.2035E-9,11.1846E-9,11.1831E-9
50.1187E3,11.3158E-9,11.0778E-9,11.0587E-9,11.0571E-9
48.9779E3,11.1943E-9,10.9535E-9,10.9341E-9,10.9326E-9
47.8630E3,11.0743E-9,10.8306E-9,10.8110E-9,10.8094E-9
46.7735E3,10.9557E-9,10.7091E-9,10.6893E-9,10.6877E-9
45.7088E3,10.8385E-9,10.5890E-9,10.5689E-9,10.5673E-9
44.6684E3,10.7227E-9,10.4702E-9,10.4499E-9,10.4483E-9
43.6516E3,10.6082E-9,10.3528E-9,10.3323E-9,10.3306E-9
42.6580E3,10.4952E-9,10.2368E-9,10.2160E-9,10.2143E-9
41.6869E3,10.3835E-9,10.1220E-9,10.1010E-9,10.0993E-9
40.7380E3,10.2732E-9,10.0086E-9,9.98729E-9,9.98560E-9
39.8107E3,10.1642E-9,9.89647E-9,9.87489E-9,9.87318E-9
38.9045E3,10.0565E-9,9.78561E-9,9.76377E-9,9.76204E-9
