Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,15.7255E-9,15.5570E-9,15.5435E-9,15.5424E-9
97.7237E3,15.5483E-9,15.3778E-9,15.3642E-9,15.3631E-9
95.4993E3,15.3772E-9,15.2048E-9,15.1910E-9,15.1899E-9
93.3254E3,15.2080E-9,15.0336E-9,15.0197E-9,15.0186E-9
91.2011E3,15.0408E-9,14.8644E-9,14.8503E-9,14.8492E-9
89.1251E3,14.8755E-9,14.6971E-9,14.6828E-9,14.6817E-9
87.0964E3,14.7121E-9,14.5317E-9,14.5173E-9,14.5161E-9
85.1138E3,14.5507E-9,14.3682E-9,14.3536E-9,14.3524E-9
83.1764E3,14.3911E-9,14.2065E-9,14.1917E-9,14.1906E-9
81.2831E3,14.2334E-9,14.0467E-9,14.0317E-9,14.0306E-9
79.4328E3,14.0775E-9,13.8887E-9,13.8735E-9,13.8723E-9
77.6247E3,13.9234E-9,13.7324E-9,13.7171E-9,13.7159E-9
75.8578E3,13.7712E-9,13.5780E-9,13.5625E-9,13.5613E-9
74.1310E3,13.6207E-9,13.4252E-9,13.4096E-9,13.4084E-9
72.4436E3,13.4720E-9,13.2743E-9,13.2584E-9,13.2572E-9
70.7946E3,13.3250E-9,13.1250E-9,13.1090E-9,13.1077E-9
69.1831E3,13.1797E-9,12.9774E-9,12.9612E-9,12.9599E-9
67.6083E3,13.0362E-9,12.8315E-9,12.8152E-9,12.8138E-9
66.0693E3,12.8943E-9,12.6873E-9,12.6707E-9,12.6694E-9
64.5654E3,12.7541E-9,12.5447E-9,12.5279E-9,12.5266E-9
63.0957E3,12.6156E-9,12.4037E-9,12.3867E-9,12.3854E-9
61.6595E3,12.4787E-9,12.2643E-9,12.2472E-9,12.2458E-9
60.2560E3,12.3434E-9,12.1266E-9,12.1092E-9,12.1078E-9
58.8844E3,12.2097E-9,11.9903E-9,11.9727E-9,11.9713E-9
57.5440E3,12.0776E-9,11.8556E-9,11.8378E-9,11.8364E-9
56.2341E3,11.9470E-9,11.7225E-9,11.7045E-9,11.7030E-9
54.9541E3,11.8180E-9,11.5908E-9,11.5726E-9,11.5712E-9
53.7032E3,11.6905E-9,11.4607E-9,11.4423E-9,11.4408E-9
52.4807E3,11.5646E-9,11.3320E-9,11.3134E-9,11.3119E-9
51.2861E3,11.4401E-9,11.2048E-9,11.1859E-9,11.1844E-9
50.1187E3,11.3171E-9,11.0791E-9,11.0600E-9,11.0584E-9
48.9779E3,11.1956E-9,10.9548E-9,10.9354E-9,10.9339E-9
47.8630E3,11.0755E-9,10.8319E-9,10.8123E-9,10.8107E-9
46.7735E3,10.9569E-9,10.7103E-9,10.6905E-9,10.6889E-9
45.7088E3,10.8396E-9,10.5902E-9,10.5702E-9,10.5686E-9
44.6684E3,10.7238E-9,10.4715E-9,10.4511E-9,10.4495E-9
43.6516E3,10.6094E-9,10.3540E-9,10.3335E-9,10.3319E-9
42.6580E3,10.4964E-9,10.2380E-9,10.2172E-9,10.2155E-9
41.6869E3,10.3847E-9,10.1232E-9,10.1022E-9,10.1005E-9
40.7380E3,10.2743E-9,10.0098E-9,9.98847E-9,9.98678E-9
39.8107E3,10.1653E-9,9.89764E-9,9.87606E-9,9.87435E-9
38.9045E3,10.0576E-9,9.78676E-9,9.76493E-9,9.76319E-9
38.0189E3,9.95121E-9,9.67716E-9,9.65505E-9,9.65330E-9
37.1535E3,9.84611E-9,9.56880E-9,9.54642E-9,9.54465E-9
36.3078E3,9.74228E-9,9.46167E-9,9.43903E-9,9.43723E-9
35.4813E3,9.63971E-9,9.35577E-9,9.33285E-9,9.33103E-9
34.6737E3,9.53839E-9,9.25108E-9,9.22787E-9,9.22603E-9
33.8844E3,9.43831E-9,9.14758E-9,9.12409E-9,9.12222E-9
33.1131E3,9.33945E-9,9.04526E-9,9.02148E-9,9.01959E-9
32.3594E3,9.24180E-9,8.94411E-9,8.92004E-9,8.91813E-9
31.6228E3,9.14535E-9,8.84412E-9,8.81975E-9,8.81781E-9
30.9030E3,9.05008E-9,8.74527E-9,8.72060E-9,8.71864E-9
30.1995E3,8.95599E-9,8.64754E-9,8.62257E-9,8.62058E-9
29.5121E3,8.86306E-9,8.55094E-9,8.52565E-9,8.52364E-9
28.8403E3,8.77127E-9,8.45543E-9,8.42984E-9,8.42780E-9
28.1838E3,8.68063E-9,8.36102E-9,8.33511E-9,8.33305E-9
27.5423E3,8.59110E-9,8.26769E-9,8.24145E-9,8.23937E-9
26.9153E3,8.50269E-9,8.17542E-9,8.14886E-9,8.14675E-9
26.3027E3,8.41539E-9,8.08421E-9,8.05732E-9,8.05519E-9
25.7040E3,8.32917E-9,7.99405E-9,7.96682E-9,7.96466E-9
25.1189E3,8.24403E-9,7.90491E-9,7.87735E-9,7.87516E-9
24.5471E3,8.15996E-9,7.81680E-9,7.78889E-9,7.78667E-9
23.9883E3,8.07694E-9,7.72970E-9,7.70144E-9,7.69919E-9
23.4423E3,7.99497E-9,7.64359E-9,7.61498E-9,7.61271E-9
22.9087E3,7.91404E-9,7.55847E-9,7.52950E-9,7.52720E-9
22.3872E3,7.83413E-9,7.47432E-9,7.44500E-9,7.44266E-9
21.8776E3,7.75524E-9,7.39114E-9,7.36145E-9,7.35909E-9
21.3796E3,7.67734E-9,7.30892E-9,7.27885E-9,7.27646E-9
20.8930E3,7.60045E-9,7.22763E-9,7.19719E-9,7.19477E-9
20.4174E3,7.52453E-9,7.14728E-9,7.11646E-9,7.11400E-9
19.9526E3,7.44959E-9,7.06785E-9,7.03664E-9,7.03416E-9
19.4984E3,7.37561E-9,6.98933E-9,6.95773E-9,6.95522E-9
19.0546E3,7.30259E-9,6.91172E-9,6.87972E-9,6.87717E-9
18.6209E3,7.23051E-9,6.83499E-9,6.80259E-9,6.80001E-9
18.1970E3,7.15936E-9,6.75915E-9,6.72634E-9,6.72373E-9
