Rptat2 ,/R31/PLUS (A)
100.000E3,1.95242E-6
97.7237E3,1.99726E-6
95.4993E3,2.04312E-6
93.3254E3,2.09004E-6
91.2011E3,2.13803E-6
89.1251E3,2.18712E-6
87.0964E3,2.23734E-6
85.1138E3,2.28871E-6
83.1764E3,2.34126E-6
81.2831E3,2.39501E-6
79.4328E3,2.45000E-6
77.6247E3,2.50625E-6
75.8578E3,2.56378E-6
74.1310E3,2.62264E-6
72.4436E3,2.68285E-6
70.7946E3,2.74443E-6
69.1831E3,2.80743E-6
67.6083E3,2.87187E-6
66.0693E3,2.93778E-6
64.5654E3,3.00521E-6
63.0957E3,3.07418E-6
61.6595E3,3.14474E-6
60.2560E3,3.21691E-6
58.8844E3,3.29073E-6
57.5440E3,3.36624E-6
56.2341E3,3.44348E-6
54.9541E3,3.52249E-6
53.7032E3,3.60331E-6
52.4807E3,3.68598E-6
51.2861E3,3.77055E-6
50.1187E3,3.85704E-6
48.9779E3,3.94552E-6
47.8630E3,4.03603E-6
46.7735E3,4.12860E-6
45.7088E3,4.22329E-6
44.6684E3,4.32015E-6
43.6516E3,4.41922E-6
42.6580E3,4.52056E-6
41.6869E3,4.62422E-6
40.7380E3,4.73025E-6
39.8107E3,4.83870E-6
38.9045E3,4.94963E-6
38.0189E3,5.06310E-6
37.1535E3,5.17916E-6
36.3078E3,5.29787E-6
35.4813E3,5.41930E-6
34.6737E3,5.54349E-6
33.8844E3,5.67053E-6
33.1131E3,5.80047E-6
32.3594E3,5.93337E-6
31.6228E3,6.06931E-6
30.9030E3,6.20835E-6
30.1995E3,6.35057E-6
29.5121E3,6.49603E-6
28.8403E3,6.64482E-6
28.1838E3,6.79699E-6
27.5423E3,6.95264E-6
26.9153E3,7.11184E-6
26.3027E3,7.27467E-6
25.7040E3,7.44121E-6
25.1189E3,7.61155E-6
24.5471E3,7.78578E-6
23.9883E3,7.96397E-6
23.4423E3,8.14622E-6
22.9087E3,8.33263E-6
22.3872E3,8.52329E-6
21.8776E3,8.71828E-6
21.3796E3,8.91772E-6
20.8930E3,9.12170E-6
20.4174E3,9.33032E-6
19.9526E3,9.54370E-6
19.4984E3,9.76193E-6
19.0546E3,9.98512E-6
18.6209E3,10.2134E-6
18.1970E3,10.4469E-6
17.7828E3,10.6856E-6
17.3780E3,10.9298E-6
16.9824E3,11.1796E-6
16.5959E3,11.4350E-6
16.2181E3,11.6963E-6
15.8489E3,11.9635E-6
15.4882E3,12.2367E-6
15.1356E3,12.5162E-6
14.7911E3,12.8020E-6
14.4544E3,13.0943E-6
14.1254E3,13.3932E-6
13.8038E3,13.6990E-6
13.4896E3,14.0116E-6
13.1826E3,14.3314E-6
12.8825E3,14.6584E-6
12.5893E3,14.9928E-6
12.3027E3,15.3349E-6
12.0226E3,15.6847E-6
11.7490E3,16.0424E-6
11.4815E3,16.4082E-6
11.2202E3,16.7824E-6
10.9648E3,17.1650E-6
10.7152E3,17.5563E-6
10.4713E3,17.9564E-6
10.2329E3,18.3657E-6
10.0000E3,18.7842E-6
9.77237E3,19.2121E-6
9.54993E3,19.6498E-6
9.33254E3,20.0974E-6
9.12011E3,20.5552E-6
8.91251E3,21.0233E-6
8.70964E3,21.5020E-6
8.51138E3,21.9915E-6
8.31764E3,22.4922E-6
8.12831E3,23.0042E-6
7.94328E3,23.5277E-6
7.76247E3,24.0631E-6
7.58578E3,24.6107E-6
7.41310E3,25.1706E-6
7.24436E3,25.7432E-6
7.07946E3,26.3288E-6
6.91831E3,26.9276E-6
6.76083E3,27.5400E-6
6.60693E3,28.1663E-6
6.45654E3,28.8067E-6
6.30957E3,29.4616E-6
6.16595E3,30.1313E-6
6.02560E3,30.8162E-6
5.88844E3,31.5166E-6
5.75440E3,32.2329E-6
5.62341E3,32.9654E-6
5.49541E3,33.7144E-6
5.37032E3,34.4804E-6
5.24807E3,35.2637E-6
5.12861E3,36.0648E-6
5.01187E3,36.8840E-6
4.89779E3,37.7218E-6
4.78630E3,38.5785E-6
4.67735E3,39.4546E-6
4.57088E3,40.3506E-6
4.46684E3,41.2669E-6
4.36516E3,42.2039E-6
4.26580E3,43.1621E-6
4.16869E3,44.1421E-6
4.07380E3,45.1442E-6
3.98107E3,46.1691E-6
3.89045E3,47.2172E-6
3.80189E3,48.2891E-6
3.71535E3,49.3852E-6
3.63078E3,50.5062E-6
3.54813E3,51.6527E-6
3.46737E3,52.8251E-6
3.38844E3,54.0242E-6
3.31131E3,55.2504E-6
3.23594E3,56.5045E-6
3.16228E3,57.7870E-6
3.09030E3,59.0987E-6
3.01995E3,60.4401E-6
2.95121E3,61.8120E-6
2.88403E3,63.2151E-6
2.81838E3,64.6500E-6
2.75423E3,66.1176E-6
2.69153E3,67.6185E-6
2.63027E3,69.1536E-6
2.57040E3,70.7235E-6
2.51189E3,72.3292E-6
2.45471E3,73.9714E-6
2.39883E3,75.6510E-6
2.34423E3,77.3688E-6
2.29087E3,79.1257E-6
2.23872E3,80.9226E-6
2.18776E3,82.7605E-6
2.13796E3,84.6402E-6
2.08930E3,86.5628E-6
2.04174E3,88.5289E-6
1.99526E3,90.5401E-6
1.94984E3,92.5972E-6
1.90546E3,94.7013E-6
1.86209E3,96.8533E-6
1.81970E3,99.0545E-6
1.77828E3,101.306E-6
1.73780E3,103.609E-6
1.69824E3,105.964E-6
1.65959E3,108.374E-6
1.62181E3,110.838E-6
1.58489E3,113.359E-6
1.54882E3,115.937E-6
1.51356E3,118.574E-6
1.47911E3,121.272E-6
1.44544E3,124.031E-6
1.41254E3,126.854E-6
1.38038E3,129.741E-6
1.34896E3,132.694E-6
1.31826E3,135.715E-6
1.28825E3,138.805E-6
1.25893E3,141.967E-6
1.23027E3,145.200E-6
1.20226E3,148.508E-6
1.17490E3,151.891E-6
1.14815E3,155.352E-6
1.12202E3,158.894E-6
1.09648E3,162.515E-6
1.07152E3,166.221E-6
