Ic,Noise_1Hz,Noise_1kHz
1e-08,2.1256470612983775e-07,2.1256329903642876e-07
1.0139254075588142e-08,2.1109998520907913e-07,2.1109856432994065e-07
1.0280447320933098e-08,2.0964535764765327e-07,2.0964392284772357e-07
1.0423606739764011e-08,2.0820075389632807e-07,2.0819930503922236e-07
1.056875971184805e-08,2.0676610488514379e-07,2.0676464183314103e-07
1.0715933998226712e-08,2.053413420201128e-07,2.0533986463414272e-07
1.0865157746525373e-08,2.03926397179938e-07,2.0392490531956784e-07
1.101645949633657e-08,2.0252120271275677e-07,2.0251969623617806e-07
1.1169868184678226e-08,2.0112569143290693e-07,2.0112417019692185e-07
1.1325413151528126e-08,1.9973979661771322e-07,1.9973826047772105e-07
1.1483124145435111e-08,1.983634520042983e-07,1.9836190081428172e-07
1.1643031329208755e-08,1.9699659178641382e-07,1.9699502539892497e-07
1.1805165285688055e-08,1.9563915061129413e-07,1.956375688774406e-07
1.1969557023590428e-08,1.9429106357653262e-07,1.942894663459634e-07
1.2136237983442418e-08,1.929522662269773e-07,1.929506533478683e-07
1.2305240043592616e-08,1.9162269455165008e-07,1.9162106587068993e-07
1.2476595526308684e-08,1.903022849806856e-07,1.903006403430609e-07
1.2650337203959038e-08,1.889909743822921e-07,1.889893136316728e-07
1.2826498305280599e-08,1.876887000597336e-07,1.876870230382581e-07
1.3005112521734099e-08,1.863953997483309e-07,1.863937062965911e-07
1.3186214013947485e-08,1.8511101161248617e-07,1.8510930156951213e-07
1.3369837418249452e-08,1.8383547424272513e-07,1.8383374744597009e-07
1.355601785329369e-08,1.8256872665276158e-07,1.8256698293808627e-07
1.3744790926775366e-08,1.813107082765821e-07,1.8130894747823927e-07
1.3936192742241436e-08,1.800613589655488e-07,1.8005958091616738e-07
1.4130259905995337e-08,1.7882061898552535e-07,1.7881882351609453e-07
1.4327029534098295e-08,1.7758842901401944e-07,1.775866159538727e-07
1.4526539259467813e-08,1.7636473013734703e-07,1.7636289931414592e-07
1.4728827239075018e-08,1.7514946384781644e-07,1.751476150875341e-07
1.4933932161242533e-08,1.7394257204092931e-07,1.73940705167834e-07
1.514189325304352e-08,1.727439970126042e-07,1.7274211184924262e-07
1.535275028780421e-08,1.7155368145641667e-07,1.7155177782359699e-07
1.556654359271062e-08,1.7037156846085936e-07,1.7036964617763437e-07
1.5783314056521166e-08,1.6919760150662188e-07,1.691956603902717e-07
1.6003103137387018e-08,1.6803172446388742e-07,1.6802976432990196e-07
1.622595287078087e-08,1.668738815896501e-07,1.6687190225171188e-07
1.645190587753661e-08,1.657240175250489e-07,1.6572201879501506e-07
1.6681005372000592e-08,1.6458207729272135e-07,1.6458005898060587e-07
1.691329517029647e-08,1.6344800629417549e-07,1.634459682081312e-07
1.714881969870541e-08,1.623217503071782e-07,1.623196922534784e-07
1.7387624002162504e-08,1.6120325548316423e-07,1.612011772661844e-07
1.762975375287204e-08,1.6009246834466036e-07,1.6009036976685957e-07
1.7875255259042354e-08,1.589893357827292e-07,1.589872166446312e-07
1.8124175473742358e-08,1.578938050544303e-07,1.5789166515460474e-07
1.8376562003881723e-08,1.5680582378029742e-07,1.568036629153407e-07
1.86324631193156e-08,1.5572533994183564e-07,1.557231579063514e-07
1.8891927762076642e-08,1.5465230187903299e-07,1.546500984656127e-07
1.915500555573528e-08,1.5358665828789092e-07,1.535844332870943e-07
1.9421746814890246e-08,1.525283582179722e-07,1.525261114183071e-07
1.9692202554791734e-08,1.5147735106996363e-07,1.5147508225786603e-07
1.9966424501097933e-08,1.50433586593258e-07,1.5043129555307177e-07
2.024446509976802e-08,1.493970148835507e-07,1.49394701397507e-07
2.0526377527092522e-08,1.4836758638045404e-07,1.483652502286507e-07
2.0812215699863372e-08,1.4734525186512836e-07,1.4734289282550897e-07
2.1102034285685966e-08,1.4632996245792754e-07,1.4632758030626035e-07
2.1395888713434215e-08,1.453216696160634e-07,1.4531926412592e-07
2.1693835183851822e-08,1.4432032513128386e-07,1.4431789607401766e-07
2.1995930680300747e-08,1.4332588112756818e-07,1.4332342827229275e-07
2.2302232979659362e-08,1.4233829005883889e-07,1.423358131724059e-07
2.2612800663372796e-08,1.4135750470668707e-07,1.4135500355366427e-07
2.2927693128656486e-08,1.4038347817811653e-07,1.4038095252076523e-07
2.3246970599856504e-08,1.3941616390330001e-07,1.3941361350155265e-07
2.357069413996728e-08,1.3845551563335443e-07,1.3845294024479164e-07
2.3898925662310477e-08,1.3750148743812824e-07,1.3749888681795596e-07
2.4231727942376005e-08,1.3655403370400628e-07,1.3655140760503226e-07
2.45691646298279e-08,1.3561310913172904e-07,1.3561045730433962e-07
