Ic,Noise_1Hz,Noise_1kHz
1.95242e-06,1.5213018493919282e-08,1.5212949584258004e-08
1.99726e-06,1.5041290486967876e-08,1.5041218480767826e-08
2.04312e-06,1.4871537124700821e-08,1.4871461882484271e-08
2.09004e-06,1.4703675437006864e-08,1.4703596811769028e-08
2.13803e-06,1.4537734474472176e-08,1.4537652313562065e-08
2.18712e-06,1.4373673021895759e-08,1.4373587165322396e-08
2.23734e-06,1.4211454394705458e-08,1.4211364674829739e-08
2.28871e-06,1.4051076664522522e-08,1.4050982906533014e-08
2.34126e-06,1.389250775795554e-08,1.3892409778796303e-08
2.39501e-06,1.3735747715222701e-08,1.3735645324084402e-08
2.45e-06,1.3580740375528475e-08,1.3580633371875288e-08
2.50625e-06,1.3427489770520978e-08,1.3427377945389968e-08
2.56378e-06,1.3275998741476845e-08,1.327588187718028e-08
2.62264e-06,1.3126193883454141e-08,1.3126071750559393e-08
2.68285e-06,1.297808322858668e-08,1.2977955588138383e-08
2.74443e-06,1.2831673155283071e-08,1.2831539758473211e-08
2.80743e-06,1.2686900661632446e-08,1.268676124656497e-08
2.87187e-06,1.2543775776370814e-08,1.2543630070420753e-08
2.93778e-06,1.2402285468365453e-08,1.2402133186806134e-08
3.00521e-06,1.226237685932119e-08,1.2262217702800987e-08
3.07418e-06,1.2124062474243425e-08,1.2123896131288456e-08
3.14474e-06,1.1987295406407932e-08,1.1987121549788912e-08
3.21691e-06,1.185208950306486e-08,1.1851907792399924e-08
3.29073e-06,1.1718420573728627e-08,1.1718230652802042e-08
3.36624e-06,1.1586266884994238e-08,1.158606838111575e-08
3.44348e-06,1.1455608882233434e-08,1.1455401405576507e-08
3.52249e-06,1.1326428934345716e-08,1.132621207726414e-08
3.60331e-06,1.1198711099966526e-08,1.1198484436288904e-08
3.68598e-06,1.1072440913658128e-08,1.1072203997959771e-08
3.77055e-06,1.0947590676594726e-08,1.0947343042165186e-08
3.85704e-06,1.0824177820742335e-08,1.0823918982626119e-08
3.94552e-06,1.070214907095537e-08,1.0701878518688429e-08
4.03603e-06,1.0581496802943304e-08,1.0581214003482847e-08
4.1286e-06,1.0462226538685431e-08,1.046193093695161e-08
4.22329e-06,1.034430574409327e-08,1.0343996757923637e-08
4.32015e-06,1.0227717351289994e-08,1.0227394371743298e-08
4.41922e-06,1.0112457412686745e-08,1.011211980446729e-08
4.52056e-06,9.998499815479438e-09,9.998146912914647e-09
4.62422e-06,9.88583197651453e-09,9.8854630838457e-09
4.73025e-06,9.774442427056511e-09,9.774056817264545e-09
4.8387e-06,9.664320656341574e-09,9.663917569935856e-09
4.94963e-06,9.55544732012087e-09,9.555025962225406e-09
5.0631e-06,9.447805051519739e-09,9.44736459043876e-09
5.17916e-06,9.341387251034349e-09,9.340926818510169e-09
5.29787e-06,9.236178946652637e-09,9.235697634711348e-09
5.4193e-06,9.13215816256065e-09,9.131655020120093e-09
5.54349e-06,9.029329712861598e-09,9.028803749518502e-09
5.67053e-06,8.927657917800673e-09,8.927108092983615e-09
5.80047e-06,8.82714166603538e-09,8.82656689453991e-09
5.93337e-06,8.727772174089996e-09,8.727171322472538e-09
6.06931e-06,8.629527079382184e-09,8.628898960060727e-09
6.20835e-06,8.532400179698157e-09,8.531743552838575e-09
6.35057e-06,8.436372328772852e-09,8.43568589608257e-09
6.49603e-06,8.34143923932209e-09,8.340721645978218e-09
6.64482e-06,8.247578106850616e-09,8.246827932759061e-09
6.79699e-06,8.154792622395772e-09,8.15400838849255e-09
6.95264e-06,8.063056554615719e-09,8.062236709259987e-09
7.11184e-06,7.972363425206278e-09,7.971506348152572e-09
7.27467e-06,7.882701751851943e-09,7.881805749231818e-09
7.44121e-06,7.794061101121887e-09,7.793124402549686e-09
7.61155e-06,7.706426894148683e-09,7.705447647210552e-09
7.78578e-06,7.619786016416593e-09,7.618762283367083e-09
7.96397e-06,7.534136099795084e-09,7.533065859423206e-09
8.14622e-06,7.449460949076334e-09,7.448342085561108e-09
8.33263e-06,7.365746040210171e-09,7.364576339262533e-09
8.52329e-06,7.282982603865173e-09,7.281759751560327e-09
8.71828e-06,7.201166743447671e-09,7.199888325239596e-09
8.91772e-06,7.120278701115029e-09,7.118942186326153e-09
9.1217e-06,7.040312450143363e-09,7.038915196110533e-09
