Ic,Noise_1Hz,Noise_1kHz
1.95242e-06,1.5292554232880833e-08,1.5213029375695377e-08
1.99726e-06,1.5122092699499092e-08,1.5041299549585305e-08
2.04312e-06,1.4953625482932935e-08,1.4871544248816062e-08
2.09004e-06,1.4787070376968426e-08,1.4703680496537026e-08
2.13803e-06,1.4622456345858705e-08,1.453773733761886e-08
2.18712e-06,1.445974263539322e-08,1.4373673550004329e-08
2.23734e-06,1.429889300671651e-08,1.4211452441942493e-08
2.28871e-06,1.4139905692479674e-08,1.405107207806506e-08
2.34126e-06,1.3982749041088324e-08,1.3892500377183176e-08
2.39501e-06,1.3827423234199567e-08,1.3735737371926414e-08
2.45e-06,1.3673872773828104e-08,1.3580726892465463e-08
2.50625e-06,1.3522101808702798e-08,1.3427472962163576e-08
2.56378e-06,1.3372113291029582e-08,1.3275978413709477e-08
2.62264e-06,1.322383469593821e-08,1.3126169831332406e-08
2.68285e-06,1.3077274138017133e-08,1.2978055237754e-08
2.74443e-06,1.2932438072644611e-08,1.283164100163614e-08
2.80743e-06,1.2789264328123955e-08,1.268686410884975e-08
2.87187e-06,1.2647762983275871e-08,1.2543734577483293e-08
2.93778e-06,1.2507921301433502e-08,1.2402239364632393e-08
3.00521e-06,1.2369687181737123e-08,1.226232557819808e-08
3.07418e-06,1.2233073163723597e-08,1.2124005731112933e-08
3.14474e-06,1.2098033082619189e-08,1.1987232901685953e-08
3.21691e-06,1.1964580776047702e-08,1.1852020924042636e-08
3.29073e-06,1.1832692520835838e-08,1.1718345592376929e-08
3.36624e-06,1.1702347033281828e-08,1.1586185157306755e-08
3.44348e-06,1.1573525191169102e-08,1.1455520047549416e-08
3.52249e-06,1.1446209778829245e-08,1.132633261465135e-08
3.60331e-06,1.1320385253656705e-08,1.1198606899174537e-08
3.68598e-06,1.1196037532601011e-08,1.1072328416865133e-08
3.77055e-06,1.1073139513141533e-08,1.0947469448268748e-08
3.85704e-06,1.0951708516091698e-08,1.0824047407045534e-08
3.94552e-06,1.0831692286263377e-08,1.0702008993634662e-08
4.03603e-06,1.0713083509126719e-08,1.0581346561539726e-08
4.1286e-06,1.0595887778310575e-08,1.0462065610835296e-08
4.22329e-06,1.048007328829229e-08,1.0344133581155106e-08
4.32015e-06,1.0365623452245678e-08,1.0227533378399015e-08
