Ic,Noise_1Hz,Noise_1kHz
1.95242e-06,6.661025030266928e-07,2.755767411653379e-08
1.99726e-06,6.507234591179079e-07,2.7021461993806372e-08
2.04312e-06,6.357070858154294e-07,2.6497537028031313e-08
2.09004e-06,6.210394176046232e-07,2.598541631866496e-08
2.13803e-06,6.067165466837824e-07,2.548496784510854e-08
2.18712e-06,5.927285785926928e-07,2.4995850509576182e-08
2.23734e-06,5.790662590827125e-07,2.451774531847698e-08
2.28871e-06,5.657234441438923e-07,2.4050441979593294e-08
2.34126e-06,5.526916186099498e-07,2.3593647113763893e-08
2.39501e-06,5.399650685453809e-07,2.3147165423754376e-08
2.45e-06,5.275336797890128e-07,2.2710647120223506e-08
2.50625e-06,5.153923742448231e-07,2.2283919000733967e-08
2.56378e-06,5.03536040223849e-07,2.1866806816135426e-08
2.62264e-06,4.919537704542111e-07,2.145893224908592e-08
2.68285e-06,4.806411870205648e-07,2.106014654890098e-08
2.74443e-06,4.695938266649607e-07,2.0670298142455326e-08
2.80743e-06,4.588021310176083e-07,2.028905553829883e-08
2.87187e-06,4.4826218104057594e-07,1.9916286161847528e-08
2.93778e-06,4.379684183505043e-07,1.9551799586068956e-08
3.00521e-06,4.2791254728156307e-07,1.919530823360653e-08
3.07418e-06,4.18091132894414e-07,1.8846696607825733e-08
3.14474e-06,4.0849661234826117e-07,1.850570268288517e-08
3.21691e-06,3.9912582467610635e-07,1.817222068388737e-08
3.29073e-06,3.8997302998688647e-07,1.7846053172195403e-08
3.36624e-06,3.8103278911889825e-07,1.752701323480899e-08
3.44348e-06,3.722999323586547e-07,1.7214923409774215e-08
3.52249e-06,3.637695314387804e-07,1.6909614723647216e-08
3.60331e-06,3.5543687451108253e-07,1.6610925830601562e-08
3.68598e-06,3.4729744381854695e-07,1.6318702243716697e-08
3.77055e-06,3.3934597700652617e-07,1.6032762581435982e-08
3.85704e-06,3.3158016605728185e-07,1.5753031666821326e-08
3.94552e-06,3.239933269250211e-07,1.5479276682471434e-08
4.03603e-06,3.165817668849721e-07,1.52113723093604e-08
4.1286e-06,3.093426517790839e-07,1.494922434770178e-08
4.22329e-06,3.022709055603286e-07,1.469265739959409e-08
4.32015e-06,2.9536249828639653e-07,1.44415337085403e-08
4.41922e-06,2.886142521323911e-07,1.4195746417457884e-08
4.52056e-06,2.8202176512895783e-07,1.3955144001870673e-08
4.62422e-06,2.755815146276966e-07,1.3719606792253083e-08
4.73025e-06,2.692901120757542e-07,1.348901993586404e-08
4.8387e-06,2.6314428934989063e-07,1.3263272921579846e-08
4.94963e-06,2.5714035771022814e-07,1.3042239662675462e-08
5.0631e-06,2.5127482106373835e-07,1.2825800945513545e-08
5.17916e-06,2.455448383085937e-07,1.2613861599319317e-08
5.29787e-06,2.3994717531451773e-07,1.240631185341705e-08
5.4193e-06,2.3447830199682003e-07,1.220303074438752e-08
5.54349e-06,2.2913615784097294e-07,1.2003951819780192e-08
5.67053e-06,2.23916634584807e-07,1.1808932228257034e-08
5.80047e-06,2.1881748386618677e-07,1.1617898267789692e-08
5.93337e-06,2.1383610642990008e-07,1.1430763124873024e-08
6.06931e-06,2.0896928360754763e-07,1.1247416541336285e-08
6.20835e-06,2.0421466317770166e-07,1.1067780667889345e-08
6.35057e-06,1.9956931164738796e-07,1.0891755567226283e-08
6.49603e-06,1.9503107160071652e-07,1.0719270522919049e-08
6.64482e-06,1.905969512325744e-07,1.0550222964406935e-08
6.79699e-06,1.8626526409252775e-07,1.0384559903456067e-08
6.95264e-06,1.8203296759098223e-07,1.0222176418401057e-08
7.11184e-06,1.7789799526776123e-07,1.0063004706549413e-08
7.27467e-06,1.738580934312086e-07,9.906969660792639e-09
7.44121e-06,1.6991110171429837e-07,9.753999611911557e-09
7.61155e-06,1.6605472226586092e-07,9.604017368237459e-09
7.78578e-06,1.6228677213375523e-07,9.456949956990061e-09
7.96397e-06,1.5860557511579216e-07,9.31274404892744e-09
8.14622e-06,1.550088963205646e-07,9.171324325704256e-09
8.33263e-06,1.5149462285989189e-07,9.032619956796208e-09
8.52329e-06,1.4806092710947662e-07,8.896571135214486e-09
8.71828e-06,1.447062159270966e-07,8.763127241564494e-09
8.91772e-06,1.414282831556457e-07,8.632213088361985e-09
9.1217e-06,1.3822552484885934e-07,8.503777224898766e-09
9.33032e-06,1.350962349466737e-07,8.377763978288707e-09
9.5437e-06,1.3203849362230936e-07,8.254108815046131e-09
9.76193e-06,1.2905089215337365e-07,8.132767626870692e-09
9.98512e-06,1.261317925663768e-07,8.0136868830811e-09
1.02134e-05,1.2327938233781996e-07,7.896805643799725e-09
1.04469e-05,1.2049195514571377e-07,7.782066946507962e-09
1.06856e-05,1.17769571806464e-07,7.669486714668351e-09
1.09298e-05,1.1510867155473554e-07,7.558931032405602e-09
1.11796e-05,1.125081476136278e-07,7.450366792530512e-09
1.1435e-05,1.0996787560674085e-07,7.343802210040258e-09
1.16963e-05,1.0748478051396447e-07,7.239121612293187e-09
1.19635e-05,1.0505880112976731e-07,7.136335659752402e-09
1.22367e-05,1.0268886679572167e-07,7.035412756155314e-09
1.25162e-05,1.0037229433338407e-07,6.936252069580497e-09
1.2802e-05,9.810901903891003e-08,6.838864225088743e-09
1.30943e-05,9.589734729145368e-08,6.743190009832354e-09
1.33932e-05,9.373642275855241e-08,6.649206029263614e-09
1.3699e-05,9.162402950180503e-08,6.5568293251082426e-09
1.40116e-05,8.956076500796319e-08,6.4660997133674705e-09
1.43314e-05,8.754389239222095e-08,6.37691058433555e-09
1.46584e-05,8.557335569785063e-08,6.28927300326135e-09
1.49928e-05,8.364784339754329e-08,6.203142485373691e-09
1.53349e-05,8.1765591127487e-08,6.118453580776242e-09
1.56847e-05,7.992654801843662e-08,6.0352175665147914e-09
1.60424e-05,7.81295599419036e-08,5.9533960910679815e-09
1.64082e-05,7.637353989755983e-08,5.872953431776853e-09
1.67824e-05,7.465701263376221e-08,5.793835499751746e-09
1.7165e-05,7.297992196231884e-08,5.7160533288150725e-09
1.75563e-05,7.134087401499358e-08,5.639556043014887e-09
1.79564e-05,6.973937871469879e-08,5.564334485261114e-09
1.83657e-05,6.817379349183183e-08,5.490325023532671e-09
1.87842e-05,6.664407718155587e-08,5.4175392169437365e-09
1.92121e-05,6.514940538685392e-08,5.345951689641593e-09
1.96498e-05,6.368833324573318e-08,5.275506760680394e-09
2.00974e-05,6.226049623785551e-08,5.206200238033185e-09
2.05552e-05,6.086489697704279e-08,5.137997145534341e-09
2.10233e-05,5.950118078992995e-08,5.07089363217601e-09
2.1502e-05,5.8168412939502304e-08,5.004857242903889e-09
2.19915e-05,5.6865983764995344e-08,4.939871221857672e-09
2.24922e-05,5.559279843076674e-08,4.8758941949562715e-09
2.30042e-05,5.434857384360718e-08,4.8129251445064305e-09
2.35277e-05,5.313276190023827e-08,4.7509497699059504e-09
2.40631e-05,5.194438712616197e-08,4.689931624001123e-09
2.46107e-05,5.078276444973064e-08,4.629848546388295e-09
2.51706e-05,4.9647642592882975e-08,4.5707006809522024e-09
2.57432e-05,4.8538165240020316e-08,4.512456560787499e-09
2.63288e-05,4.7453725191437894e-08,4.455097250660268e-09
2.69276e-05,4.639391704478926e-08,4.398614282040955e-09
2.754e-05,4.535799979180581e-08,4.342981072900288e-09
2.81663e-05,4.434544485868582e-08,4.288181989267734e-09
2.88067e-05,4.335589535255165e-08,4.234210531658314e-09
2.94616e-05,4.238869737573964e-08,4.1810438198343645e-09
3.01313e-05,4.1443378940538334e-08,4.128668572073783e-09
3.08162e-05,4.051935102631538e-08,4.0770647181921855e-09
3.15166e-05,3.96161873894413e-08,4.026220932332419e-09
3.22329e-05,3.873335182451373e-08,3.976119438466799e-09
3.29654e-05,3.7870454100829035e-08,3.926750440881729e-09
3.37144e-05,3.7027111181086813e-08,3.878104406602096e-09
3.44804e-05,3.6202736121203035e-08,3.830159739586944e-09
3.52637e-05,3.539698625711143e-08,3.78290866197301e-09
3.60648e-05,3.4609329682748894e-08,3.736332044718493e-09
3.6884e-05,3.383945501154836e-08,3.6904234581337654e-09
3.77218e-05,3.308687559305959e-08,3.645165803681008e-09
3.85785e-05,3.235130412996349e-08,3.6005536676651656e-09
3.94546e-05,3.163229132248016e-08,3.5565716194218128e-09
4.03506e-05,3.092941495415664e-08,3.513205487021542e-09
4.12669e-05,3.024235034892907e-08,3.4704468111442218e-09
4.22039e-05,2.957078155148786e-08,3.428287490130838e-09
4.31621e-05,2.8914333474299395e-08,3.3867154737250693e-09
4.41421e-05,2.827258591641772e-08,3.345715481950137e-09
4.51442e-05,2.7645330510934406e-08,3.3052854923758234e-09
4.61691e-05,2.7032117724465732e-08,3.2654077393508726e-09
4.72172e-05,2.6432700755134018e-08,3.226077255948748e-09
4.82891e-05,2.5846727540874082e-08,3.1872819678400834e-09
4.93852e-05,2.5273968584976377e-08,3.149017654118703e-09
5.05062e-05,2.4714048085526936e-08,3.1112700941058776e-09
5.16527e-05,2.4166663027729896e-08,3.0740295767638736e-09
5.28251e-05,2.363161472553037e-08,3.0372932829406557e-09
5.40242e-05,2.3108531636947526e-08,3.0010463052640332e-09
5.52504e-05,2.2597233456013e-08,2.9652866624218713e-09
5.65045e-05,2.2097380371554425e-08,2.930001028293508e-09
5.7787e-05,2.1608768654351938e-08,2.8951853539240455e-09
5.90987e-05,2.113108977680911e-08,2.8608278978924336e-09
6.04401e-05,2.0664158013827333e-08,2.826925460850299e-09
6.1812e-05,2.0207690521131457e-08,2.793467595483605e-09
6.32151e-05,1.9761453250956446e-08,2.7604471042649604e-09
6.465e-05,1.9325252210734025e-08,2.7278595388358526e-09
6.61176e-05,1.8898812184168437e-08,2.695694138649468e-09
6.76185e-05,1.848195808466373e-08,2.663947400029018e-09
6.91536e-05,1.807443925111668e-08,2.632609852566109e-09
7.07235e-05,1.7676095282700227e-08,2.601678703696387e-09
7.23292e-05,1.7286671937658646e-08,2.571143660145083e-09
7.39714e-05,1.6906000666016232e-08,2.5410008403374e-09
7.5651e-05,1.653387339312007e-08,2.5112430300494168e-09
7.73688e-05,1.617011382987856e-08,2.4818653015470382e-09
7.91257e-05,1.5814532154587728e-08,2.4528614121925283e-09
8.09226e-05,1.546694766043249e-08,2.4242256116924977e-09
8.27605e-05,1.5127169731303168e-08,2.395951074818848e-09
8.46402e-05,1.4795052814236054e-08,2.368034489967173e-09
8.65628e-05,1.447040512112416e-08,2.34046844589241e-09
8.85289e-05,1.4153125491087067e-08,2.3132530194309376e-09
9.05401e-05,1.3842958520561675e-08,2.2863748315340623e-09
9.25972e-05,1.3539787763128602e-08,2.259832150595797e-09
9.47013e-05,1.3243456171291755e-08,2.233619534943119e-09
9.68533e-05,1.2953841000701004e-08,2.207734366077115e-09
9.90545e-05,1.2670771705919137e-08,2.1821695419608405e-09
0.000101306,1.2394112964794314e-08,2.1569208553697735e-09
0.000103609,1.2123723728067384e-08,2.13198335078572e-09
0.000105964,1.1859546908998338e-08,2.107359687698798e-09
0.000108374,1.160125629979316e-08,2.083027106911178e-09
0.000110838,1.134896638843771e-08,2.059004007907484e-09
0.000113359,1.1102373717891635e-08,2.035269097721704e-09
0.000115937,1.0861485608571847e-08,2.0118305017105332e-09
0.000118574,1.0626118696761201e-08,1.9886777900797606e-09
0.000121272,1.0396106503037991e-08,1.965801700603033e-09
0.000124031,1.0171456820014299e-08,1.943210121271212e-09
0.000126854,9.951934347219348e-09,1.920886374801288e-09
0.000129741,9.737549147475326e-09,1.898838337447373e-09
0.000132694,9.528158125713753e-09,1.8770581580262033e-09
0.000135715,9.323630299579788e-09,1.8555388327469284e-09
0.000138805,9.123908718700241e-09,1.8342808832264405e-09
0.000141967,8.92881415806342e-09,1.8132715345996123e-09
0.0001452,8.73841802505598e-09,1.792524796718499e-09
0.000148508,8.552493505553445e-09,1.7720221891825788e-09
0.000151891,8.37105254051369e-09,1.7517710542443623e-09
0.000155352,8.193944769413769e-09,1.7317605576465967e-09
0.000158894,8.021036501283465e-09,1.7119811490553751e-09
0.000162515,7.852436375218145e-09,1.6924509467285327e-09
0.000166221,7.68787735955512e-09,1.6731445452530984e-09
0.000170011,7.527420795985587e-09,1.6540743900979359e-09
0.000173888,7.370951194534367e-09,1.6352320463410972e-09
0.000177854,7.218403128941861e-09,1.6166146653777164e-09
0.000181912,7.0696795839931786e-09,1.5982151937255447e-09
0.000186063,6.9247623055351025e-09,1.580036014411191e-09
0.000190309,6.7835971418969655e-09,1.5620749264733494e-09
0.000194653,6.64610227425619e-09,1.5443258799520378e-09
0.000199097,6.512234204164467e-09,1.5267873945306587e-09
0.000203643,6.381951780631298e-09,1.5094580838144894e-09
0.000208294,6.25518944596608e-09,1.4923330189953347e-09
0.000213052,6.131914179506844e-09,1.4754113207594453e-09
0.00021792,6.0120705075256574e-09,1.458688754865941e-09
0.0002229,5.895632021436938e-09,1.4421648187889866e-09
0.000227994,5.782573357141865e-09,1.4258389868808863e-09
0.000233206,5.672829121056311e-09,1.4097046183773429e-09
0.000238538,5.5663822663273346e-09,1.3937617435879942e-09
0.000243994,5.463179272086168e-09,1.3780046321799743e-09
0.000249575,5.3632270885144005e-09,1.3624364675215438e-09
0.000255284,5.2664957516411105e-09,1.3470546364835235e-09
0.000261126,5.172927850282196e-09,1.3318516667621865e-09
0.000267102,5.0825350358132526e-09,1.3168308921449047e-09
0.000273217,4.995269361280115e-09,1.3019855917549927e-09
0.000279472,4.911144140555216e-09,1.2873190898941647e-09
0.000285872,4.830119300073916e-09,1.2728252981722127e-09
0.00029242,4.752185767489956e-09,1.258503169297538e-09
0.00029912,4.6773249851531665e-09,1.2443496637333526e-09
0.000305974,4.6055424702915765e-09,1.2303661048386651e-09
0.000312987,4.53681331433564e-09,1.2165477730350842e-09
0.000320162,4.4711358946948816e-09,1.2028942627945672e-09
0.000327503,4.408500334274782e-09,1.1894033682747454e-09
0.000335013,4.348906478627074e-09,1.1760748730087897e-09
0.000342698,4.2923322817341825e-09,1.1629034857470782e-09
0.000350561,4.238780938313487e-09,1.1498894610515038e-09
0.000358606,4.188248135811646e-09,1.1370314159788698e-09
0.000366837,4.1407298699983945e-09,1.124328114845629e-09
0.000375259,4.096216999214832e-09,1.1117769854493876e-09
0.000383876,4.054706340345197e-09,1.0993771816458452e-09
0.000392693,4.0161896247820965e-09,1.0871265762881114e-09
0.000401715,3.980659007475128e-09,1.0750233010878e-09
0.000410946,3.9481099140454634e-09,1.0630669911111329e-09
0.000420391,3.918532787701017e-09,1.0512560815913678e-09
0.000430055,3.891917272629072e-09,1.0395891977910068e-09
0.000439943,3.8682518484200895e-09,1.0280651329179046e-09
0.000450062,3.847519742845128e-09,1.0166806171852693e-09
0.000460415,3.829711233506433e-09,1.005437085381631e-09
0.000471009,3.814806951266775e-09,9.943316532325748e-10
0.00048185,3.8027886434428e-09,9.833628154370645e-10
0.000492942,3.7936380546167435e-09,9.725311940398673e-10
0.000504291,3.787332376054068e-09,9.618354768130123e-10
0.000515905,3.783846837809144e-09,9.512727424843277e-10
0.00052779,3.783156706619704e-09,9.408422024088522e-10
0.000539951,3.785235008729893e-09,9.305440268237887e-10
0.000552396,3.790053422900844e-09,9.203759723701142e-10
0.000565131,3.797581951103177e-09,9.103376731727633e-10
0.000578162,3.807788631045539e-09,9.004288412576725e-10
0.000591497,3.8206417387550395e-09,8.90647814351102e-10
0.000605143,3.83610791991665e-09,8.809938858972906e-10
0.000619108,3.854154106179748e-09,8.714658151558646e-10
0.000633398,3.874743784860525e-09,8.620638693573902e-10
0.000648022,3.897843900350484e-09,8.527864553189419e-10
0.000662988,3.92341986941981e-09,8.436328523518499e-10
0.000678303,3.951434967896403e-09,8.346030775279525e-10
0.000693976,3.981855850840997e-09,8.256960899597255e-10
0.000710016,4.014649531100419e-09,8.169110599617977e-10
0.000726431,4.049781213070236e-09,8.082478660113136e-10
0.00074323,4.087218442050758e-09,7.997059824312446e-10
0.000760422,4.126929257077125e-09,7.912850403877007e-10
0.000778017,4.168884656790438e-09,7.829843485927284e-10
0.000796024,4.21305400711021e-09,7.748038559021157e-10
0.000814453,4.259409827519659e-09,7.667431907555103e-10
0.000833314,4.307925519478595e-09,7.588021425749825e-10
0.000852618,4.358578017847896e-09,7.509802481140581e-10
0.000872375,4.411342634483068e-09,7.432776168810138e-10
0.000892595,4.46619555422326e-09,7.356944720517365e-10
0.000913291,4.523122150207434e-09,7.282300773518038e-10
0.000934474,4.5821034720265855e-09,7.208846312139944e-10
0.000956154,4.643118690938102e-09,7.136587845177008e-10
0.000978345,4.706159219908145e-09,7.065519941065478e-10
0.00100106,4.771214786048314e-09,6.995642710380734e-10
0.00102431,4.838270335080768e-09,6.926963872835997e-10
0.0010481,4.907294166964632e-09,6.859508531468669e-10
0.00107246,4.9783281205076226e-09,6.793233094006056e-10
0.00109739,5.051327738646772e-09,6.728179628167632e-10
0.00112291,5.126307620526345e-09,6.664336771570027e-10
0.00114903,5.20325385805737e-09,6.601720714235221e-10
0.00117577,5.282182688175597e-09,6.540324942461678e-10
0.00120315,5.36311109526091e-09,6.480146558664999e-10
0.00123117,5.4459974852269336e-09,6.42122710458112e-10
0.00125985,5.530859899903962e-09,6.363564574845203e-10
0.00128922,5.6177464741007456e-09,6.307141285141156e-10
0.00131928,5.706616986825097e-09,6.251999561920325e-10
0.00135005,5.797490763952737e-09,6.198143351568014e-10
