time (s),/VCC (V),/vin1+ (V),/vout1+ (V)
0.00000,-1.65000,-815.338E-3,-905.265E-3
2.00000E-9,-1.65000,-815.338E-3,-905.265E-3
6.00000E-9,-1.65000,-815.338E-3,-905.265E-3
14.0000E-9,-1.65000,-815.338E-3,-905.265E-3
30.0000E-9,-1.65000,-815.338E-3,-905.265E-3
50.0000E-9,-1.65000,-815.338E-3,-905.265E-3
70.0000E-9,-1.65000,-815.338E-3,-905.265E-3
85.0000E-9,-1.65000,-815.338E-3,-905.265E-3
100.000E-9,-1.65000,-815.338E-3,-905.265E-3
100.020E-9,-1.63711,-808.875E-3,-900.628E-3
100.035E-9,-1.62667,-803.471E-3,-897.142E-3
100.040E-9,-1.62336,-801.736E-3,-896.079E-3
100.046E-9,-1.61962,-799.775E-3,-894.896E-3
100.052E-9,-1.61592,-797.839E-3,-893.742E-3
100.058E-9,-1.61155,-795.548E-3,-892.392E-3
100.068E-9,-1.60519,-792.219E-3,-890.461E-3
100.082E-9,-1.59607,-787.448E-3,-887.753E-3
100.098E-9,-1.58558,-781.962E-3,-884.711E-3
100.115E-9,-1.57388,-775.844E-3,-881.386E-3
100.134E-9,-1.56134,-769.283E-3,-877.871E-3
100.155E-9,-1.54784,-762.225E-3,-874.112E-3
100.177E-9,-1.53314,-754.533E-3,-870.003E-3
100.202E-9,-1.51693,-746.051E-3,-865.411E-3
100.229E-9,-1.49880,-736.575E-3,-860.150E-3
100.260E-9,-1.47825,-725.849E-3,-853.958E-3
100.296E-9,-1.45455,-713.527E-3,-846.437E-3
100.307E-9,-1.44757,-709.911E-3,-844.139E-3
100.328E-9,-1.43361,-702.706E-3,-839.410E-3
100.338E-9,-1.42663,-699.118E-3,-836.975E-3
100.360E-9,-1.41267,-691.976E-3,-831.957E-3
100.370E-9,-1.40570,-688.424E-3,-829.372E-3
100.391E-9,-1.39174,-681.361E-3,-824.040E-3
100.402E-9,-1.38476,-677.853E-3,-821.293E-3
100.423E-9,-1.37080,-670.885E-3,-815.634E-3
100.434E-9,-1.36382,-667.426E-3,-812.722E-3
100.455E-9,-1.34987,-660.565E-3,-806.734E-3
100.497E-9,-1.32195,-647.081E-3,-794.152E-3
100.508E-9,-1.31445,-643.513E-3,-790.640E-3
100.531E-9,-1.29945,-636.450E-3,-783.483E-3
