freq (Hz),input noise; V / sqrt(Hz) Rptat2 175.5376  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 219.2198  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 438.4395  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 1753.758  (V / sqrt(Hz))
1.00000,7.29363E-9,6.07344E-9,3.99173E-9,3.49522E-9
1.02329,7.20274E-9,5.99832E-9,3.94535E-9,3.46802E-9
1.04713,7.11299E-9,5.92417E-9,3.89961E-9,3.44128E-9
1.07152,7.02439E-9,5.85096E-9,3.85448E-9,3.41502E-9
1.09648,6.93692E-9,5.77869E-9,3.80997E-9,3.38921E-9
1.12202,6.85055E-9,5.70735E-9,3.76607E-9,3.36387E-9
1.14815,6.76529E-9,5.63692E-9,3.72277E-9,3.33897E-9
1.17490,6.68111E-9,5.56740E-9,3.68006E-9,3.31451E-9
1.20226,6.59800E-9,5.49877E-9,3.63793E-9,3.29049E-9
1.23027,6.51595E-9,5.43102E-9,3.59638E-9,3.26690E-9
1.25893,6.43494E-9,5.36414E-9,3.55541E-9,3.24373E-9
1.28825,6.35497E-9,5.29812E-9,3.51500E-9,3.22098E-9
1.31826,6.27601E-9,5.23295E-9,3.47515E-9,3.19865E-9
1.34896,6.19807E-9,5.16862E-9,3.43585E-9,3.17672E-9
1.38038,6.12111E-9,5.10512E-9,3.39709E-9,3.15520E-9
1.41254,6.04514E-9,5.04244E-9,3.35888E-9,3.13407E-9
1.44544,5.97014E-9,4.98056E-9,3.32119E-9,3.11333E-9
1.47911,5.89609E-9,4.91948E-9,3.28404E-9,3.09298E-9
1.51356,5.82299E-9,4.85919E-9,3.24740E-9,3.07301E-9
1.54882,5.75082E-9,4.79968E-9,3.21128E-9,3.05341E-9
1.58489,5.67958E-9,4.74094E-9,3.17566E-9,3.03418E-9
1.62181,5.60924E-9,4.68296E-9,3.14055E-9,3.01531E-9
1.65959,5.53981E-9,4.62573E-9,3.10593E-9,2.99680E-9
1.69824,5.47126E-9,4.56924E-9,3.07180E-9,2.97864E-9
1.73780,5.40359E-9,4.51348E-9,3.03816E-9,2.96082E-9
1.77828,5.33679E-9,4.45845E-9,3.00499E-9,2.94335E-9
1.81970,5.27084E-9,4.40413E-9,2.97230E-9,2.92622E-9
1.86209,5.20574E-9,4.35052E-9,2.94008E-9,2.90942E-9
1.90546,5.14147E-9,4.29760E-9,2.90832E-9,2.89294E-9
1.94984,5.07803E-9,4.24537E-9,2.87701E-9,2.87679E-9
1.99526,5.01540E-9,4.19382E-9,2.84616E-9,2.86095E-9
2.04174,4.95358E-9,4.14295E-9,2.81575E-9,2.84542E-9
2.08930,4.89255E-9,4.09273E-9,2.78579E-9,2.83020E-9
2.13796,4.83230E-9,4.04318E-9,2.75626E-9,2.81528E-9
2.18776,4.77283E-9,3.99427E-9,2.72716E-9,2.80066E-9
2.23872,4.71412E-9,3.94600E-9,2.69848E-9,2.78632E-9
2.29087,4.65617E-9,3.89836E-9,2.67023E-9,2.77228E-9
